"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	150	214	4	2	28	11	3	9	2	9	4	14	16	-466
"4"	"2"	208	221	14	6	36	12	4	8	3	19	9	27	39	-606
"5"	"3"	172	97	10	6	164	16	6	13	8	29	8	16	20	-565
"6"	"4"	118	68	7	11	167	9	7	9	7	39	5	6	11	-464
"7"	"5"	182	93	8	10	98	13	19	6	6	20	8	7	7	-477
"8"	"6"	166	160	7	2	35	5	3	3	6	9	4	13	13	-426
"9"	"7"	83	171	3	1	43	13	2	4	2	8	4	15	7	-356
"10"	"8"	80	146	3	2	38	6	4	2	1	6	0	6	4	-298
"11"	"9"	78	150	150	11	13	10	10	7	10	9	17	35	27	-527
"12"	"10"	158	262	14	7	12	14	8	13	12	9	13	55	55	-632
"13"	"11"	338	92	3	1	6	6	1	0	1	2	0	6	4	-460
"14"	"12"	296	229	12	4	4	8	1	3	3	5	3	20	9	-597
"15"	"13"	123	237	8	1	6	2	3	3	2	6	7	36	33	-467
"16"	"14"	97	122	8	6	97	8	9	10	4	37	7	8	16	-429
"17"	"15"	134	132	5	3	14	6	5	2	1	6	1	8	12	-329
"18"	"16"	172	318	3	2	38	6	4	4	2	3	4	9	7	-572
"19"	"17"	162	347	3	6	5	6	2	1	1	2	6	10	16	-567
"20"	"18"	85	384	10	0	2	8	3	3	2	2	4	20	20	-543
"21"	"19"	214	320	8	4	7	4	6	4	7	9	7	31	39	-660
"22"	"20"	162	161	3	7	14	2	5	2	5	8	1	13	19	-402
"23"	"21"	65	321	9	5	8	13	5	5	5	4	9	47	41	-537
"24"	"22"	31	159	3	5	22	18	19	16	12	7	13	56	57	-418
"25"	"23"	260	81	1	0	59	2	3	2	0	7	1	2	3	-421
"26"	"24"	428	17	11	4	98	3	2	0	2	3	0	0	3	-571
"27"	"25"	216	102	30	1	1	0	0	0	0	0	0	0	0	-350
"28"	"26"	162	301	4	2	2	1	0	0	1	1	3	23	11	-511
"29"	"27"	88	236	7	2	4	5	2	0	1	3	5	18	17	-388
"30"	"28"	76	238	8	3	24	13	3	4	0	13	13	25	46	-466
"31"	"29"	35	63	5	1	115	7	2	0	2	12	3	3	8	-256
"32"	"30"	87	210	6	3	16	10	3	3	3	10	9	26	18	-404
"33"	"31"	87	324	14	3	86	8	11	3	9	22	8	35	38	-648
"34"	"32"	77	191	12	9	56	10	10	9	4	33	12	26	32	-481
"35"	"33"	47	324	4	8	8	2	1	1	2	0	0	6	4	-407
"36"	"34"	31	264	1	1	11	1	0	3	1	2	2	10	21	-348
"37"	"35"	237	260	3	3	4	5	1	3	5	6	3	41	49	-620
"38"	"36"	151	211	9	0	37	3	2	2	0	4	1	2	3	-425
"39"	"37"	143	136	9	5	6	2	3	3	2	4	3	7	21	-344
"40"	"38"	138	215	12	3	4	4	1	2	3	1	5	20	6	-414
"41"	"39"	126	235	3	4	1	1	3	2	1	0	4	16	6	-402
"42"	"40"	292	170	10	2	35	5	2	1	2	4	2	4	10	-539
"43"	"41"	92	126	6	2	18	5	0	1	0	2	0	3	6	-261
"44"	"42"	87	155	10	2	25	4	2	2	2	5	1	15	5	-315
"45"	"43"	134	242	8	6	21	11	3	2	5	9	7	24	17	-489
"46"	"44"	78	309	16	5	73	14	9	14	6	15	8	23	25	-595
"47"	"45"	117	189	5	3	21	13	5	1	2	9	1	9	9	-384
"48"	"46"	95	110	2	0	8	4	4	2	1	2	3	19	30	-280
"49"	"47"	191	100	4	1	25	3	4	2	1	7	3	1	12	-354
"50"	"48"	155	301	6	3	18	4	4	2	0	6	3	13	24	-539
"51"	"49"	170	178	5	0	9	3	2	2	1	2	2	15	24	-413
"52"	"50"	127	209	3	2	20	1	0	2	1	10	2	5	4	-386
"53"	"51"	86	179	5	3	4	5	2	1	1	3	6	14	7	-316
"54"	"52"	864	7	3	0	0	0	0	0	0	0	0	0	0	-874
"55"	"53"	377	39	2	2	25	2	0	4	1	4	3	5	7	-471
"56"	"54"	266	257	7	3	30	2	5	1	2	7	2	15	10	-607
"57"	"55"	101	169	11	6	4	5	3	2	9	8	17	58	38	-431
"58"	"56"	123	60	4	6	119	14	4	8	6	26	6	7	13	-396
