"See.rule.56..7."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"4"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"5"	"1"	"72"	"3"	"126"	"13"	"8"	"142"	"-364"	"0"	"-364"	"0"
"6"	"2"	"6"	"0"	"299"	"0"	"0"	"5"	"-310"	"0"	"-310"	"0"
"7"	"3"	"6"	"4"	"178"	"12"	"1"	"4"	"-205"	"0"	"-205"	"0"
"8"	"4"	"21"	"3"	"347"	"22"	"8"	"386"	"-787"	"0"	"-787"	"0"
"9"	"5"	"0"	"0"	"522"	"1"	"0"	"0"	"-523"	"0"	"-523"	"0"
"10"	"6"	"107"	"3"	"508"	"2"	"0"	"1"	"-621"	"0"	"-621"	"0"
"11"	"7"	"104"	"5"	"172"	"15"	"3"	"44"	"-343"	"0"	"-343"	"0"
"12"	"8"	"16"	"0"	"0"	"0"	"1"	"123"	"-140"	"0"	"-140"	"0"
"13"	"9"	"54"	"4"	"162"	"13"	"2"	"49"	"-284"	"0"	"-284"	"0"
"14"	"10"	"1"	"8"	"213"	"5"	"1"	"322"	"-550"	"0"	"-550"	"0"
"15"	"11"	"37"	"9"	"156"	"26"	"9"	"113"	"-350"	"0"	"-350"	"0"
"16"	"12"	"69"	"1"	"76"	"5"	"5"	"174"	"-330"	"0"	"-330"	"0"
"17"	"13"	"74"	"4"	"73"	"6"	"6"	"71"	"-234"	"0"	"-234"	"0"
"18"	"14"	"60"	"17"	"38"	"6"	"8"	"342"	"-471"	"0"	"-471"	"0"
"19"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"20"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"21"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"22"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"23"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"24"	"15"	"8"	"4"	"46"	"4"	"5"	"628"	"-695"	"0"	"-695"	"0"
"25"	"16"	"89"	"3"	"26"	"3"	"5"	"17"	"-143"	"0"	"-143"	"0"
"26"	"17"	"29"	"3"	"322"	"5"	"0"	"41"	"-400"	"0"	"-400"	"0"
