"PS.NO"	"BRIJ.KISHORE.SINGH"	"SHASHI.KUMAR.RAI"	"SHYAM.BIHARI"	"SITA.RAM.SAHANI"	"BALENDRA.SINGH"	"AJAY.KUMAR.PASWAN"	"KAMLESHWAR.SINGH"	"KAILASH.RAI"	"BHUWANESHWAR.RAI"	"RAJ.MANGAL.RAM"	"RAMSAKAL.RAI"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"Total"	"TOTAL.NO.OF.TENDER.VOTES"
"1"	1	535	175	42	6	3	3	2	5	2	7	21	-801	0	-801	"NIL"
"2"	2	94	144	127	9	15	8	6	8	13	12	44	-480	0	-480	"NIL"
"3"	3	158	116	5	4	1	5	7	2	3	14	12	-327	0	-327	"NIL"
"4"	4	66	101	152	3	2	0	2	1	6	5	30	-368	0	-368	"NIL"
"5"	5	90	307	21	9	4	7	2	4	4	6	14	-468	0	-468	"NIL"
"6"	6	58	42	76	10	4	7	8	4	14	20	213	-456	0	-456	"NIL"
"7"	7	146	69	89	18	2	1	2	0	3	3	42	-375	0	-375	"NIL"
"8"	8	33	42	332	0	1	0	1	0	1	3	20	-433	0	-433	"NIL"
"9"	9	269	10	4	0	0	0	0	0	0	0	2	-285	0	-285	"NIL"
"10"	10	252	52	95	5	1	2	2	4	10	4	15	-442	0	-442	"NIL"
"11"	11	215	20	143	6	3	2	3	2	10	2	12	-418	0	-418	"NIL"
"12"	12	232	128	51	27	3	4	6	5	4	7	38	-505	0	-505	"NIL"
"13"	13	55	108	14	4	3	1	0	1	2	4	28	-220	0	-220	"NIL"
"14"	14	163	112	56	35	3	3	3	0	2	6	58	-441	0	-441	"NIL"
"15"	15	179	57	163	9	3	5	0	5	9	9	94	-533	0	-533	"NIL"
"16"	16	121	40	26	1	3	0	0	0	1	2	8	-202	0	-202	"NIL"
"17"	17	295	14	2	12	0	0	0	0	0	0	2	-325	0	-325	"NIL"
"18"	18	432	80	74	16	1	7	2	4	4	13	93	-726	0	-726	"NIL"
"19"	19	258	79	40	10	3	1	4	5	4	8	79	-491	0	-491	"NIL"
"20"	20	86	426	50	13	5	1	5	5	8	2	44	-645	0	-645	"NIL"
"21"	21	273	28	13	4	0	0	1	0	1	0	2	-322	0	-322	"NIL"
"22"	22	433	43	11	0	1	2	1	3	3	2	6	-505	0	-505	"NIL"
"23"	23	123	95	63	5	3	4	0	4	7	13	36	-353	0	-353	"NIL"
"24"	24	414	33	36	1	1	0	0	0	1	0	10	-496	0	-496	"NIL"
"25"	25	244	173	33	10	4	5	9	7	12	13	100	-610	0	-610	"NIL"
"26"	26	184	257	61	5	6	5	2	2	7	3	29	-561	0	-561	"NIL"
"27"	27	92	23	132	21	3	2	4	2	9	7	52	-347	0	-347	"NIL"
"28"	28	118	35	31	4	2	2	1	0	2	3	17	-215	0	-215	"NIL"
"29"	29	162	76	118	18	4	5	3	0	3	3	30	-422	0	-422	"NIL"
"30"	30	140	30	108	12	1	0	1	0	4	1	38	-335	0	-335	"NIL"
"31"	31	231	171	58	10	4	2	4	5	2	4	10	-501	0	-501	"NIL"
"32"	32	195	48	251	17	3	1	3	4	2	5	72	-601	0	-601	"NIL"
"33"	33	315	83	81	7	8	3	3	2	6	6	36	-550	0	-550	"NIL"
"34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL NO OF TENDER VOTES"
"35"	34	77	40	64	55	2	3	6	3	4	4	20	-278	0	-278	"NIL"
"36"	35	98	133	30	5	4	3	3	5	1	5	147	-434	0	-434	"NIL"
"37"	36	304	155	10	23	5	4	2	1	2	5	16	-527	0	-527	"NIL"
"38"	37	43	313	26	4	5	6	2	3	6	1	23	-432	0	-432	"NIL"
"39"	38	57	109	20	2	2	7	4	2	2	2	3	-210	0	-210	"NIL"
"40"	39	80	94	22	2	3	4	2	0	1	0	3	-211	0	-211	"NIL"
"41"	40	78	107	84	92	10	6	5	1	5	5	20	-413	0	-413	"NIL"
"42"	41	124	48	28	6	3	1	0	2	0	0	2	-214	0	-214	"NIL"
"43"	42	339	2	4	0	0	1	0	0	0	0	0	-346	0	-346	"NIL"
"44"	43	502	19	4	0	0	0	0	0	0	0	0	-525	0	-525	"NIL"
"45"	44	392	20	6	1	0	1	0	0	0	2	3	-425	0	-425	"NIL"
"46"	45	254	184	46	5	4	3	5	3	4	1	12	-521	0	-521	"NIL"
"47"	46	445	114	36	7	6	7	1	8	5	7	47	-683	0	-683	"NIL"
"48"	47	210	57	43	9	5	3	3	3	3	4	19	-359	0	-359	"NIL"
"49"	48	159	92	32	113	9	8	7	5	7	8	40	-480	0	-480	"NIL"
"50"	49	90	41	4	2	1	1	4	3	6	10	142	-304	0	-304	"NIL"
"51"	50	198	80	15	48	7	5	14	3	8	7	137	-522	0	-522	"NIL"
"52"	51	165	36	214	9	3	2	2	4	4	8	33	-480	0	-480	"NIL"
"53"	52	101	47	22	5	5	4	4	2	7	6	236	-439	0	-439	"NIL"
"54"	53	123	45	45	8	3	2	3	5	8	16	293	-551	0	-551	"NIL"
"55"	54	45	30	133	9	0	3	5	5	5	3	147	-385	0	-385	"NIL"
"56"	55	74	90	52	4	5	6	6	7	13	18	188	-463	0	-463	"NIL"
"57"	56	18	102	73	10	0	5	6	0	4	7	149	-374	0	-374	"NIL"
"58"	57	46	7	10	4	1	0	1	0	0	7	200	-276	0	-276	"NIL"
"59"	58	12	20	114	3	1	0	3	6	7	3	118	-287	0	-287	"NIL"
"60"	59	52	45	16	7	3	2	8	1	9	20	449	-612	0	-612	"NIL"
"61"	60	66	80	33	3	1	1	1	1	4	6	308	-504	0	-504	"NIL"
"62"	61	189	102	22	5	2	4	2	0	10	17	192	-545	0	-545	"NIL"
"63"	62	240	46	33	5	1	4	8	5	1	2	65	-410	0	-410	"NIL"
"64"	63	334	116	57	10	5	2	5	3	5	6	20	-563	0	-563	"NIL"
"65"	64	358	78	12	3	3	5	4	1	5	5	26	-500	0	-500	"NIL"
"66"	65	552	26	23	0	0	0	0	0	0	0	0	-601	0	-601	"NIL"
"67"	66	357	45	7	2	0	1	2	0	2	1	15	-432	0	-432	"NIL"
"68"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL NO OF TENDER VOTES"
"69"	67	223	233	20	6	7	4	4	0	3	6	8	-514	0	-514	"NIL"
"70"	68	272	22	0	0	0	0	0	0	0	0	0	-294	0	-294	"NIL"
"71"	69	417	34	10	1	1	0	0	1	1	3	18	-486	0	-486	"NIL"
"72"	70	412	12	55	5	1	2	0	0	0	0	8	-495	0	-495	"NIL"
"73"	71	331	33	256	15	1	4	1	1	3	1	15	-661	0	-661	"NIL"
"74"	72	239	9	42	3	2	2	1	1	2	4	23	-328	0	-328	"NIL"
"75"	73	189	97	19	19	9	2	4	4	4	7	12	-366	0	-366	"NIL"
"76"	74	411	45	36	5	1	2	2	2	6	10	61	-581	0	-581	"NIL"
"77"	75	28	17	791	5	4	0	3	0	1	2	13	-864	0	-864	"NIL"
"78"	76	80	43	67	2	0	5	1	0	2	3	12	-215	0	-215	"NIL"
"79"	77	11	13	278	0	1	1	0	2	1	1	73	-381	0	-381	"NIL"
"80"	78	162	98	11	3	6	3	9	1	12	5	138	-448	0	-448	"NIL"
"81"	79	74	264	43	5	3	3	4	4	4	3	23	-430	0	-430	"NIL"
"82"	80	83	28	114	13	4	3	1	6	6	7	73	-338	0	-338	"NIL"
"83"	81	92	82	16	4	1	5	5	3	7	15	295	-525	0	-525	"NIL"
"84"	82	159	62	34	6	4	5	3	2	9	9	90	-383	0	-383	"NIL"
"85"	83	399	10	20	2	0	0	1	0	1	5	67	-505	0	-505	"NIL"
"86"	84	171	60	89	9	2	7	10	1	10	12	124	-495	0	-495	"NIL"
"87"	85	22	12	248	0	0	0	0	1	0	0	22	-305	0	-305	"NIL"
"88"	86	59	42	126	8	5	0	3	2	5	8	312	-570	0	-570	"NIL"
"89"	87	10	229	8	0	1	6	4	1	2	11	53	-325	0	-325	"NIL"
"90"	88	44	225	15	14	13	11	10	5	9	13	120	-479	0	-479	"NIL"
"91"	89	53	247	39	11	7	8	11	4	4	7	53	-444	0	-444	"NIL"
"92"	90	153	56	81	7	4	2	1	0	1	5	22	-332	0	-332	"NIL"
"93"	91	46	40	408	8	4	5	2	4	0	3	27	-547	NA	-547	"NIL"
"94"	92	22	45	329	4	0	0	0	0	4	1	10	-415	0	-415	"NIL"
"95"	93	160	36	114	4	3	2	1	2	5	4	48	-379	0	-379	"NIL"
"96"	94	242	13	3	0	0	0	0	0	0	0	3	-261	0	-261	"NIL"
"97"	95	110	152	92	7	5	2	6	2	7	9	19	-411	0	-411	"NIL"
"98"	96	142	122	25	7	7	5	2	2	10	13	22	-357	0	-357	"NIL"
"99"	97	106	177	12	10	4	3	3	4	7	12	11	-349	0	-349	"NIL"
"100"	98	225	105	15	9	4	6	6	3	7	6	62	-448	0	-448	"NIL"
"101"	99	185	145	20	34	7	3	3	0	5	8	70	-480	0	-480	"NIL"
"102"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL NO OF TENDER VOTES"
"103"	100	137	222	25	57	9	4	10	2	6	11	44	-527	0	-527	"NIL"
"104"	101	403	25	9	24	1	0	1	0	0	1	11	-475	0	-475	"NIL"
"105"	102	55	138	54	35	5	2	4	4	2	12	97	-408	0	-408	"NIL"
"106"	103	149	92	26	43	2	4	3	4	9	17	18	-367	0	-367	"NIL"
"107"	104	323	171	43	11	7	6	10	9	9	8	24	-621	0	-621	"NIL"
"108"	105	456	92	6	24	1	3	2	1	0	2	20	-607	0	-607	"NIL"
"109"	106	46	45	17	5	1	5	1	3	2	5	39	-169	0	-169	"NIL"
"110"	107	168	195	43	9	8	8	7	2	4	10	25	-479	0	-479	"NIL"
"111"	108	39	74	11	7	191	4	5	3	7	6	10	-357	0	-357	"NIL"
"112"	109	98	113	7	22	5	1	3	0	2	5	1	-257	0	-257	"NIL"
"113"	110	69	214	60	6	27	6	8	2	8	8	23	-431	0	-431	"NIL"
"114"	111	235	192	15	6	6	4	2	2	3	4	7	-476	0	-476	"NIL"
"115"	112	236	26	25	1	6	0	3	0	1	2	10	-310	0	-310	"NIL"
"116"	113	72	172	27	4	4	6	5	1	3	8	29	-331	0	-331	"NIL"
"117"	114	83	75	507	10	4	7	9	4	5	5	68	-777	0	-777	"NIL"
"118"	115	48	186	116	21	4	2	0	0	4	6	1	-388	0	-388	"NIL"
"119"	116	33	59	88	8	1	3	5	1	13	11	150	-372	0	-372	"NIL"
"120"	117	151	86	4	8	2	1	4	4	4	3	61	-328	0	-328	"NIL"
"121"	118	111	143	204	30	9	5	5	7	6	11	86	-617	0	-617	"NIL"
"122"	119	91	29	131	99	1	0	4	2	7	3	5	-372	0	-372	"NIL"
"123"	120	82	83	108	16	3	3	4	3	9	11	125	-447	0	-447	"NIL"
"124"	121	31	122	22	1	4	1	5	0	3	2	31	-222	0	-222	"NIL"
"125"	122	20	17	59	29	2	2	0	1	1	3	8	-142	0	-142	"NIL"
"126"	123	268	111	45	10	6	1	6	6	5	6	37	-501	0	-501	"NIL"
"127"	124	226	33	5	1	3	0	1	0	0	0	0	-269	0	-269	"NIL"
"128"	125	178	28	182	10	4	3	4	2	4	4	31	-450	0	-450	"NIL"
"129"	126	62	76	179	33	4	2	3	3	9	5	34	-410	0	-410	"NIL"
"130"	127	338	16	17	2	0	0	0	0	0	0	7	-380	0	-380	"NIL"
"131"	128	65	123	7	3	3	3	2	4	7	18	15	-250	0	-250	"NIL"
"132"	129	607	42	7	2	1	0	0	0	2	0	5	-666	0	-666	"NIL"
"133"	130	147	133	56	5	3	3	6	2	3	4	11	-373	0	-373	"NIL"
"134"	131	139	83	96	38	6	4	5	3	2	3	13	-392	0	-392	"NIL"
"135"	132	411	147	26	46	5	9	12	4	13	9	23	-705	0	-705	"NIL"
"136"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL NO OF TENDER VOTES"
"137"	133	96	122	35	6	6	7	1	2	3	4	24	-306	0	-306	"NIL"
"138"	134	94	32	8	1	0	1	0	1	0	2	219	-358	0	-358	"NIL"
"139"	135	96	294	7	11	2	4	7	4	2	18	387	-832	0	-832	"NIL"
"140"	136	104	25	22	2	1	4	6	2	6	11	189	-372	0	-372	"NIL"
"141"	137	28	10	167	2	0	0	3	4	3	5	38	-260	0	-260	"NIL"
"142"	138	11	13	772	15	2	0	0	0	0	0	2	-815	0	-815	"NIL"
"143"	139	49	181	91	69	22	11	5	6	7	18	36	-495	0	-495	"NIL"
"144"	140	12	61	5	4	2	3	2	3	1	2	516	-611	0	-611	"NIL"
"145"	141	25	5	383	0	1	0	0	0	0	0	17	-431	0	-431	"NIL"
"146"	142	110	93	53	3	6	5	9	5	12	12	336	-644	0	-644	"NIL"
"147"	143	117	89	52	3	6	1	1	2	3	10	245	-529	0	-529	"NIL"
"148"	144	37	23	21	2	1	0	0	2	3	6	229	-324	0	-324	"NIL"
"149"	145	505	2	3	1	2	1	3	0	2	0	58	-577	0	-577	"NIL"
"150"	146	244	137	174	50	14	6	3	0	5	4	5	-642	0	-642	"NIL"
"151"	147	397	58	36	61	10	3	6	3	4	13	38	-629	0	-629	"NIL"
"152"	148	119	325	73	15	15	20	5	5	5	6	20	-608	0	-608	"NIL"
"153"	149	111	198	22	0	2	4	1	2	4	6	10	-360	0	-360	"NIL"
"154"	150	146	87	389	36	5	2	3	3	9	4	12	-696	0	-696	"NIL"
"155"	151	185	148	42	27	0	6	9	4	3	6	65	-495	0	-495	"NIL"
"156"	152	125	181	54	13	4	4	7	3	1	7	61	-460	0	-460	"NIL"
"157"	153	25	323	37	34	9	5	3	1	2	6	20	-465	0	-465	"NIL"
"158"	154	211	222	51	3	7	8	6	6	8	14	44	-580	0	-580	"NIL"
"159"	155	187	327	33	6	7	14	5	3	4	11	43	-640	0	-640	"NIL"
"160"	156	67	287	83	2	3	0	0	1	1	3	6	-453	0	-453	"NIL"
"161"	157	37	374	19	0	5	0	2	1	1	1	7	-447	0	-447	"NIL"
"162"	158	76	286	54	10	12	1	3	2	0	1	8	-453	0	-453	"NIL"
"163"	159	20	428	37	37	7	3	8	7	10	15	33	-605	0	-605	"NIL"
"164"	160	8	530	6	1	3	1	0	0	3	2	6	-560	0	-560	"NIL"
"165"	161	22	99	40	2	3	4	2	1	2	0	3	-178	0	-178	"NIL"
"166"	162	33	305	37	2	1	2	3	1	0	3	10	-397	0	-397	"NIL"
"167"	163	22	314	64	3	3	5	3	2	5	1	11	-433	0	-433	"NIL"
"168"	164	75	67	20	2	2	0	5	3	1	8	57	-240	0	-240	"NIL"
"169"	165	203	142	51	38	6	5	3	2	4	8	14	-476	0	-476	"NIL"
"170"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TOTAL NO OF TENDER VOTES"
