"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[ SEE RULE 56C (2) © ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 175 - ASTHAWAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[ To be used both for Parliamentary And Assembly Election ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment  :-  Name of the Assembly Segment     :-  175   Asthawan (the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"7"	""	"Dr. Kumar Pushpanjay"	"Jitendra Kumar"	"Suren Das"	"Kiran Devi"	"Mukesh Kumar"	"Krishna Ballabh Prasad Singh"	"Naushad"	"Bhushan Singh"	"Manoj Prasad Singh"	"Vidya Sagar Singh"	"Shailendra Kumar"	"Sanjay Paswan"	"Sudhir Pandey"	""	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"2"	"3"	"4"	"5"	"6"
"9"	"1"	"136"	"20"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"1"	"0"	"6"	"171"	"0"	"171"	""	""
"10"	"2"	"77"	"89"	"1"	"5"	"100"	"3"	"8"	"5"	"2"	"4"	"3"	"1"	"11"	"309"	"0"	"309"	""	""
"11"	"3"	"5"	"13"	"6"	"1"	"21"	"2"	"3"	"0"	"2"	"0"	"4"	"2"	"0"	"59"	"0"	"59"	""	""
"12"	"4"	"23"	"153"	"7"	"0"	"45"	"8"	"1"	"3"	"2"	"4"	"5"	"2"	"13"	"266"	"0"	"266"	""	""
"13"	"5"	"23"	"146"	"20"	"4"	"13"	"4"	"5"	"0"	"5"	"5"	"5"	"1"	"7"	"238"	"0"	"238"	""	""
"14"	"6"	"141"	"231"	"5"	"0"	"28"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"0"	"412"	"0"	"412"	""	""
"15"	"7"	"31"	"389"	"10"	"1"	"9"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"444"	"0"	"444"	""	""
"16"	"8"	"78"	"174"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"265"	"0"	"265"	""	""
"17"	"9"	"7"	"201"	"23"	"3"	"86"	"7"	"5"	"2"	"5"	"1"	"0"	"1"	"9"	"350"	"0"	"350"	""	""
"18"	"10"	"24"	"132"	"5"	"4"	"51"	"5"	"5"	"1"	"0"	"2"	"3"	"1"	"4"	"237"	"0"	"237"	""	""
"19"	"11"	"46"	"120"	"0"	"2"	"7"	"1"	"1"	"1"	"1"	"0"	"4"	"0"	"7"	"190"	"0"	"190"	""	""
"20"	"12"	"202"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"209"	"0"	"209"	""	""
"21"	"13"	"25"	"132"	"2"	"2"	"55"	"1"	"1"	"0"	"5"	"1"	"1"	"4"	"6"	"235"	"0"	"235"	""	""
"22"	"14"	"17"	"193"	"1"	"2"	"11"	"1"	"2"	"1"	"0"	"3"	"3"	"3"	"3"	"240"	"0"	"240"	""	""
"23"	"Round 1"	"835"	"1995"	"86"	"34"	"427"	"34"	"32"	"14"	"26"	"23"	"33"	"18"	"68"	"3625"	"0"	"3625"	""	""
"24"	"15"	"51"	"80"	"10"	"2"	"27"	"1"	"3"	"2"	"0"	"0"	"3"	"4"	"2"	"185"	"0"	"185"	""	""
"25"	"16"	"57"	"249"	"7"	"6"	"147"	"11"	"3"	"5"	"5"	"4"	"6"	"13"	"10"	"523"	"0"	"523"	""	""
"26"	"17"	"61"	"357"	"0"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"1"	"429"	"0"	"429"	""	""
"27"	"18"	"6"	"90"	"0"	"4"	"76"	"7"	"3"	"1"	"4"	"7"	"5"	"6"	"3"	"212"	"0"	"212"	""	""
"28"	"19"	"20"	"222"	"2"	"1"	"37"	"3"	"3"	"2"	"1"	"2"	"6"	"6"	"19"	"324"	"0"	"324"	""	""
"29"	"20"	"21"	"297"	"1"	"0"	"10"	"0"	"2"	"0"	"0"	"1"	"5"	"52"	"8"	"397"	"0"	"397"	""	""
"30"	"21"	"29"	"296"	"2"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"2"	"8"	"4"	"351"	"0"	"351"	""	""
