"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	6	4	12	91	33	2	3	3	3	16	148	7	9	4	112	9	9	-471
"4"	"2"	2	2	10	88	237	5	1	1	2	9	156	6	1	6	24	33	13	-596
"5"	"3"	2	3	29	18	4	12	0	0	0	5	21	0	2	1	5	362	0	-464
"6"	"4"	2	1	33	85	78	2	1	2	0	1	25	3	1	2	12	363	0	-611
"7"	"5"	2	4	31	7	37	13	0	5	0	11	31	2	1	4	3	71	59	-281
"8"	"6"	5	1	11	101	159	9	1	2	1	18	74	1	0	1	3	9	33	-429
"9"	"7"	2	6	147	376	139	23	3	4	4	4	17	10	6	5	8	8	2	-764
"10"	"8"	3	3	196	99	154	14	3	6	4	7	57	1	2	13	5	7	3	-577
"11"	"9"	10	0	18	87	138	14	1	0	2	1	19	4	3	2	2	23	1	-325
"12"	"10"	10	2	180	53	45	3	1	9	2	14	30	7	3	4	3	7	79	-452
"13"	"11"	5	1	6	78	195	4	1	1	1	5	35	1	2	1	2	1	9	-348
"14"	"12"	3	1	42	53	169	12	3	3	4	28	194	12	4	1	2	12	35	-578
"15"	"13"	17	1	17	181	151	5	1	4	1	2	101	4	4	2	44	0	3	-538
"16"	"14"	0	0	45	166	67	5	0	2	0	6	172	2	2	0	0	47	0	-514
"17"	"15"	0	0	21	102	87	3	1	0	0	2	86	3	3	0	0	4	4	-316
"18"	"16"	1	12	122	42	85	11	4	5	3	6	193	6	3	4	7	2	1	-507
"19"	"17"	0	1	37	67	212	4	4	0	4	3	208	8	3	5	4	12	3	-575
"20"	"18"	2	1	13	154	136	6	1	0	1	1	272	3	0	3	42	5	22	-662
"21"	"19"	1	1	47	116	12	12	1	2	0	5	158	12	3	1	3	1	3	-378
"22"	"20"	5	0	4	218	321	14	3	2	6	2	114	1	2	6	1	2	1	-702
"23"	"21"	1	2	2	141	137	1	1	0	0	3	36	5	0	1	216	8	8	-562
"24"	"22"	4	1	11	196	157	16	3	3	0	18	45	4	9	1	27	7	0	-502
"25"	"23"	9	2	3	92	196	8	1	2	2	0	43	6	1	3	13	4	3	-388
"26"	"24"	3	1	4	35	102	6	0	0	2	3	109	6	3	2	3	13	0	-292
"27"	"25"	0	1	1	141	73	7	2	5	0	12	205	15	16	5	1	43	2	-529
"28"	"26"	4	2	5	160	84	6	4	0	3	3	6	5	11	5	43	21	2	-364
"29"	"27"	2	2	5	71	238	3	2	1	0	3	15	33	5	4	201	18	2	-605
"30"	"27A"	1	2	3	123	96	2	1	0	2	0	7	7	1	5	1	11	0	-262
"31"	"28"	0	1	1	18	49	0	1	0	0	1	5	3	0	3	174	4	1	-261
"32"	"29"	4	1	3	93	70	1	0	0	0	0	2	2	4	1	3	3	1	-188
