"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Chandeshw ar Ram"	"Dinkar Ram"	"Lalita Devi"	"Sanjeev
Prasad Tony"	"Anil Kumar Chaudhary"	"Satyendra
Ram Satyarthi"	"Kapil Deo Paswan"	"Ram Babu Baitha"	"Virendra Ram"	""	""	""	""
"2"	"1"	"37"	"276"	"181"	"103"	"9"	"7"	"8"	"23"	"14"	"658"	""	"658"	""
"3"	"2"	"19"	"489"	"50"	"68"	"3"	"9"	"2"	"6"	"21"	"667"	""	"667"	""
"4"	"3"	"9"	"82"	"14"	"134"	"3"	"1"	"2"	"2"	"3"	"250"	""	"250"	""
"5"	"4"	"17"	"360"	"19"	"41"	"5"	"7"	"4"	"7"	"4"	"464"	""	"464"	""
"6"	"5"	"14"	"331"	"87"	"41"	"7"	"7"	"2"	"7"	"7"	"503"	""	"503"	""
"7"	"6"	"15"	"174"	"204"	"26"	"5"	"1"	"5"	"6"	"3"	"439"	""	"439"	""
"8"	"7"	"13"	"496"	"79"	"59"	"2"	"3"	"4"	"3"	"1"	"660"	""	"660"	""
"9"	"8"	"6"	"378"	"93"	"47"	"3"	"2"	"1"	"2"	"3"	"535"	""	"535"	""
"10"	"8A"	"9"	"284"	"66"	"19"	"2"	"3"	"1"	"3"	"1"	"388"	""	"388"	""
"11"	"9"	"17"	"465"	"75"	"55"	"10"	"5"	"4"	"5"	"10"	"646"	""	"646"	""
"12"	"10"	"4"	"354"	"70"	"45"	"4"	"3"	"0"	"1"	"0"	"481"	""	"481"	""
"13"	"11"	"3"	"347"	"21"	"74"	"0"	"4"	"2"	"2"	"4"	"457"	""	"457"	""
