"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"7"	"1"	"8"	"290"	"9"	"54"	"7"	"1"	"2"	"58"	"5"	"3"	"3"	"440"	"0"	"440"	"0"	""
"8"	"2"	"24"	"297"	"105"	"52"	"4"	"2"	"2"	"54"	"5"	"3"	"9"	"557"	"0"	"557"	"0"	""
"9"	"3"	"3"	"299"	"57"	"61"	"3"	"1"	"1"	"16"	"5"	"0"	"4"	"450"	"0"	"450"	"0"	""
"10"	"4"	"53"	"426"	"47"	"34"	"4"	"3"	"5"	"48"	"15"	"5"	"3"	"643"	"0"	"643"	"0"	""
"11"	"5"	"22"	"319"	"62"	"74"	"0"	"4"	"4"	"79"	"6"	"0"	"1"	"571"	"0"	"571"	"0"	""
"12"	"6"	"21"	"25"	"29"	"205"	"4"	"5"	"4"	"165"	"41"	"6"	"8"	"513"	"0"	"513"	"0"	""
"13"	"7"	"71"	"56"	"30"	"68"	"7"	"4"	"6"	"76"	"15"	"2"	"6"	"341"	"0"	"341"	"0"	""
"14"	"8"	"81"	"3"	"61"	"188"	"15"	"0"	"15"	"13"	"61"	"17"	"23"	"477"	"0"	"477"	"0"	""
"15"	"9"	"45"	"56"	"144"	"149"	"7"	"2"	"3"	"31"	"11"	"7"	"1"	"456"	"0"	"456"	"0"	""
"16"	"10"	"12"	"66"	"146"	"26"	"5"	"2"	"3"	"133"	"51"	"4"	"4"	"452"	"0"	"452"	"0"	""
"17"	"11"	"87"	"5"	"126"	"113"	"6"	"5"	"7"	"45"	"13"	"10"	"3"	"420"	"0"	"420"	"0"	""
"18"	"12"	"13"	"27"	"180"	"41"	"7"	"5"	"2"	"166"	"24"	"6"	"4"	"475"	"0"	"475"	"0"	""
"19"	"13"	"4"	"38"	"138"	"103"	"4"	"1"	"4"	"59"	"7"	"2"	"4"	"364"	"0"	"364"	"0"	""
"20"	"14"	"18"	"78"	"113"	"120"	"3"	"5"	"4"	"211"	"27"	"3"	"1"	"583"	"0"	"583"	"0"	""
"21"	";ksx"	"462"	"1985"	"1247"	"1288"	"76"	"40"	"62"	"1154"	"286"	"68"	"74"	"6742"	"0"	"6742"	"0"	""
"22"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"29"	"15"	"85"	"13"	"51"	"101"	"5"	"6"	"10"	"165"	"16"	"3"	"10"	"465"	"0"	"465"	"0"	""
"30"	"16"	"2"	"0"	"3"	"547"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"559"	"0"	"559"	"0"	""
"31"	"17"	"8"	"0"	"19"	"585"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"617"	"0"	"617"	"0"	""
"32"	"18"	"124"	"2"	"22"	"366"	"19"	"5"	"13"	"10"	"7"	"2"	"14"	"584"	"0"	"584"	"0"	""
"33"	"19"	"17"	"3"	"259"	"260"	"5"	"1"	"3"	"5"	"12"	"0"	"1"	"566"	"0"	"566"	"0"	""
"34"	"20"	"19"	"5"	"113"	"426"	"8"	"9"	"4"	"17"	"11"	"2"	"3"	"617"	"0"	"617"	"0"	""
"35"	"21"	"15"	"7"	"39"	"116"	"3"	"3"	"1"	"77"	"8"	"2"	"0"	"271"	"0"	"271"	"0"	""
"36"	"22"	"7"	"17"	"87"	"257"	"7"	"5"	"8"	"257"	"50"	"5"	"1"	"701"	"0"	"701"	"0"	""
"37"	"23"	"11"	"6"	"231"	"571"	"11"	"5"	"8"	"9"	"13"	"5"	"4"	"874"	"0"	"874"	"0"	""
"38"	"24"	"14"	"2"	"134"	"241"	"6"	"1"	"23"	"12"	"4"	"5"	"3"	"445"	"0"	"445"	"0"	""
"39"	"25"	"105"	"5"	"167"	"277"	"8"	"6"	"1"	"7"	"7"	"2"	"0"	"585"	"0"	"585"	"0"	""
"40"	"26"	"89"	"2"	"114"	"329"	"15"	"8"	"12"	"16"	"32"	"3"	"7"	"627"	"0"	"627"	"0"	""
"41"	"27"	"108"	"9"	"159"	"335"	"20"	"14"	"15"	"12"	"4"	"5"	"23"	"704"	"0"	"704"	"0"	""
"42"	"28"	"80"	"9"	"281"	"190"	"20"	"3"	"15"	"12"	"3"	"5"	"8"	"626"	"0"	"626"	"0"	""
"43"	";ksx"	"684"	"80"	"1679"	"4601"	"135"	"66"	"114"	"601"	"167"	"39"	"75"	"8241"	"0"	"8241"	"0"	""
"44"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
