"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"[See Rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Last Result sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"111- Kishanpur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Assembly From the 111- Kishanpur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"No. of Vlid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Booth No."	"Aniruddh Prasad Yadav"	"Upendra Prasad Mehta"	"Yadubansh Kumar Yadav"	"Prakash Chandra Mehta"	"Bhogi Mandal"	"Bijay Kumar Gupta"	"Shivjee
Sah"	"Aman Kumar Samajsebi"	"Ram Udgar Yadav"	"Total Valid Votes"	"No. of Rejected Votes"	"No. of Tendered Votes"
"8"	"1"	"172"	"9"	"53"	"13"	"27"	"344"	"34"	"42"	"55"	"749"	"0"	"0"
"9"	"2"	"282"	"9"	"139"	"11"	"15"	"447"	"31"	"23"	"25"	"982"	"0"	"0"
"10"	"3"	"366"	"18"	"42"	"9"	"20"	"308"	"12"	"13"	"24"	"812"	"0"	"0"
"11"	"4"	"81"	"5"	"7"	"10"	"6"	"203"	"16"	"9"	"9"	"346"	"0"	"0"
"12"	"5"	"262"	"55"	"53"	"23"	"5"	"145"	"4"	"12"	"30"	"589"	"0"	"0"
"13"	"6"	"163"	"9"	"21"	"8"	"12"	"214"	"16"	"20"	"52"	"515"	"0"	"0"
"14"	"7"	"325"	"8"	"28"	"228"	"8"	"69"	"10"	"4"	"11"	"691"	"0"	"0"
"15"	"8"	"187"	"11"	"46"	"110"	"12"	"77"	"5"	"6"	"14"	"468"	"0"	"0"
"16"	"9"	"120"	"10"	"87"	"103"	"44"	"270"	"40"	"35"	"24"	"733"	"0"	"0"
"17"	"10"	"158"	"21"	"128"	"49"	"12"	"168"	"14"	"15"	"23"	"588"	"0"	"0"
"18"	"11"	"295"	"5"	"7"	"39"	"11"	"82"	"10"	"7"	"5"	"461"	"0"	"0"
"19"	"12"	"189"	"16"	"114"	"11"	"8"	"69"	"9"	"11"	"34"	"461"	"0"	"0"
"20"	"13"	"126"	"6"	"110"	"12"	"9"	"32"	"9"	"3"	"23"	"330"	"0"	"0"
"21"	"14"	"507"	"6"	"50"	"11"	"10"	"72"	"12"	"16"	"30"	"714"	"0"	"0"
"22"	"15"	"424"	"10"	"15"	"8"	"7"	"197"	"19"	"29"	"14"	"723"	"0"	"0"
"23"	"16"	"311"	"12"	"33"	"17"	"14"	"144"	"4"	"26"	"15"	"576"	"0"	"0"
"24"	"17"	"290"	"5"	"55"	"5"	"8"	"104"	"17"	"12"	"20"	"516"	"0"	"0"
"25"	"18"	"362"	"6"	"109"	"5"	"10"	"154"	"21"	"17"	"10"	"694"	"0"	"0"
"26"	"19"	"162"	"5"	"4"	"6"	"17"	"205"	"15"	"26"	"15"	"455"	"0"	"0"
"27"	"20"	"334"	"3"	"10"	"9"	"8"	"41"	"6"	"43"	"37"	"491"	"0"	"0"
"28"	"21"	"243"	"4"	"13"	"4"	"8"	"39"	"13"	"49"	"160"	"533"	"0"	"0"
"29"	"22"	"196"	"6"	"8"	"4"	"5"	"55"	"9"	"232"	"82"	"597"	"0"	"0"
"30"	"23"	"240"	"6"	"26"	"9"	"11"	"64"	"13"	"199"	"131"	"699"	"0"	"0"
"31"	"24"	"76"	"4"	"10"	"4"	"8"	"70"	"7"	"23"	"65"	"267"	"0"	"0"
"32"	"25"	"147"	"3"	"1"	"7"	"1"	"39"	"5"	"6"	"116"	"325"	"0"	"0"
"33"	"26"	"187"	"5"	"8"	"2"	"11"	"76"	"13"	"10"	"89"	"401"	"0"	"0"
"34"	"27"	"50"	"3"	"5"	"1"	"4"	"63"	"1"	"8"	"20"	"155"	"0"	"0"
"35"	"28"	"264"	"9"	"56"	"11"	"8"	"100"	"20"	"16"	"73"	"557"	"0"	"0"
"36"	"29"	"376"	"15"	"61"	"12"	"9"	"47"	"8"	"10"	"51"	"589"	"0"	"0"
"37"	"30"	"213"	"3"	"71"	"10"	"3"	"42"	"10"	"12"	"106"	"470"	"0"	"0"
"38"	"31"	"276"	"7"	"17"	"10"	"14"	"134"	"24"	"29"	"39"	"550"	"0"	"0"
"39"	"32"	"448"	"16"	"59"	"16"	"19"	"105"	"35"	"24"	"15"	"737"	"0"	"0"
"40"	"33"	"141"	"7"	"3"	"7"	"4"	"8"	"41"	"8"	"26"	"245"	"0"	"0"
"41"	"34"	"67"	"5"	"80"	"1"	"8"	"8"	"2"	"4"	"147"	"322"	"0"	"0"
"42"	"35"	"50"	"0"	"5"	"0"	"1"	"0"	"1"	"0"	"194"	"251"	"0"	"0"
"43"	"36"	"238"	"7"	"12"	"2"	"0"	"23"	"7"	"12"	"98"	"399"	"0"	"0"
"44"	"37"	"285"	"16"	"8"	"21"	"26"	"161"	"33"	"33"	"70"	"653"	"0"	"0"
"45"	"38"	"243"	"7"	"4"	"17"	"10"	"77"	"12"	"16"	"14"	"400"	"0"	"0"
"46"	"39"	"370"	"15"	"11"	"8"	"17"	"153"	"19"	"21"	"54"	"668"	"0"	"0"
"47"	"40"	"479"	"6"	"20"	"6"	"4"	"70"	"23"	"11"	"40"	"659"	"0"	"0"
"48"	"41"	"548"	"6"	"31"	"7"	"5"	"69"	"22"	"10"	"28"	"726"	"0"	"0"
"49"	"42"	"315"	"8"	"15"	"10"	"8"	"41"	"6"	"7"	"31"	"441"	"0"	"0"
"50"	"43"	"416"	"10"	"13"	"15"	"9"	"89"	"9"	"15"	"65"	"641"	"0"	"0"
"51"	"44"	"342"	"12"	"48"	"13"	"13"	"166"	"20"	"10"	"33"	"657"	"0"	"0"
"52"	"45"	"477"	"12"	"33"	"7"	"1"	"72"	"11"	"2"	"8"	"623"	"0"	"0"
"53"	"46"	"162"	"3"	"29"	"11"	"9"	"143"	"11"	"5"	"10"	"383"	"0"	"0"
"54"	"47"	"541"	"4"	"60"	"6"	"3"	"91"	"5"	"5"	"57"	"772"	"0"	"0"
"55"	"48"	"567"	"5"	"18"	"10"	"8"	"78"	"9"	"7"	"24"	"726"	"0"	"0"
"56"	"49"	"96"	"8"	"31"	"2"	"12"	"336"	"16"	"20"	"18"	"539"	"0"	"0"
"57"	"50"	"335"	"17"	"173"	"15"	"8"	"51"	"8"	"8"	"28"	"643"	"0"	"0"
"58"	"51"	"483"	"7"	"27"	"10"	"15"	"84"	"11"	"6"	"8"	"651"	"0"	"0"
"59"	"52"	"371"	"7"	"15"	"10"	"15"	"44"	"16"	"18"	"54"	"550"	"0"	"0"
"60"	"53"	"262"	"10"	"91"	"11"	"19"	"164"	"14"	"16"	"37"	"624"	"0"	"0"
"61"	"54"	"483"	"15"	"30"	"4"	"13"	"81"	"20"	"14"	"29"	"689"	"0"	"0"
"62"	"55"	"438"	"9"	"51"	"15"	"8"	"62"	"7"	"11"	"71"	"672"	"0"	"0"
"63"	"56"	"122"	"4"	"24"	"3"	"3"	"13"	"6"	"15"	"31"	"221"	"0"	"0"
"64"	"57"	"217"	"8"	"41"	"11"	"6"	"75"	"13"	"10"	"42"	"423"	"0"	"0"
"65"	"58"	"436"	"5"	"6"	"5"	"6"	"67"	"4"	"10"	"13"	"552"	"0"	"0"
"66"	"59"	"307"	"8"	"12"	"7"	"4"	"82"	"8"	"11"	"30"	"469"	"0"	"0"
"67"	"60"	"326"	"6"	"12"	"10"	"3"	"18"	"4"	"5"	"5"	"389"	"0"	"0"
"68"	"61"	"308"	"17"	"90"	"23"	"16"	"167"	"31"	"33"	"35"	"720"	"0"	"0"
"69"	"62"	"338"	"5"	"19"	"10"	"12"	"109"	"4"	"22"	"19"	"538"	"0"	"0"
"70"	"63"	"48"	"4"	"41"	"20"	"30"	"321"	"37"	"36"	"46"	"583"	"0"	"0"
"71"	"64"	"323"	"6"	"59"	"19"	"7"	"91"	"17"	"12"	"24"	"558"	"0"	"0"
"72"	"65"	"119"	"7"	"193"	"17"	"19"	"131"	"13"	"10"	"42"	"551"	"0"	"0"
"73"	"66"	"194"	"4"	"115"	"8"	"7"	"50"	"6"	"4"	"21"	"409"	"0"	"0"
"74"	"67"	"134"	"5"	"220"	"3"	"3"	"34"	"5"	"2"	"8"	"414"	"0"	"0"
"75"	"68"	"65"	"3"	"191"	"7"	"5"	"24"	"4"	"4"	"7"	"310"	"0"	"0"
"76"	"69"	"85"	"11"	"247"	"13"	"8"	"105"	"7"	"9"	"9"	"494"	"0"	"0"
"77"	"70"	"162"	"2"	"93"	"6"	"1"	"79"	"11"	"7"	"11"	"372"	"0"	"0"
"78"	"71"	"199"	"9"	"244"	"16"	"11"	"67"	"6"	"12"	"18"	"582"	"0"	"0"
"79"	"72"	"126"	"1"	"310"	"4"	"2"	"52"	"4"	"3"	"16"	"518"	"0"	"0"
"80"	"73"	"212"	"1"	"17"	"1"	"2"	"150"	"7"	"7"	"3"	"400"	"0"	"0"
"81"	"74"	"126"	"13"	"16"	"4"	"99"	"98"	"14"	"8"	"14"	"392"	"0"	"0"
"82"	"75"	"70"	"5"	"8"	"5"	"13"	"305"	"22"	"12"	"21"	"461"	"0"	"0"
"83"	"76"	"48"	"3"	"21"	"10"	"28"	"534"	"21"	"23"	"4"	"692"	"0"	"0"
"84"	"77"	"256"	"5"	"9"	"7"	"9"	"139"	"14"	"28"	"10"	"477"	"0"	"0"
"85"	"78"	"254"	"11"	"40"	"22"	"27"	"336"	"48"	"26"	"29"	"793"	"0"	"0"
"86"	"79"	"134"	"6"	"126"	"7"	"4"	"47"	"1"	"10"	"5"	"340"	"0"	"0"
"87"	"80"	"276"	"4"	"18"	"3"	"2"	"61"	"3"	"20"	"0"	"387"	"0"	"0"
"88"	"81"	"199"	"9"	"45"	"12"	"14"	"147"	"10"	"40"	"34"	"510"	"0"	"0"
"89"	"82"	"126"	"10"	"271"	"14"	"15"	"240"	"20"	"18"	"13"	"727"	"0"	"0"
"90"	"83"	"18"	"6"	"261"	"9"	"7"	"252"	"10"	"6"	"7"	"576"	"0"	"0"
"91"	"84"	"71"	"10"	"149"	"7"	"9"	"153"	"9"	"18"	"9"	"435"	"0"	"0"
"92"	"85"	"171"	"8"	"272"	"21"	"11"	"31"	"9"	"5"	"18"	"546"	"0"	"0"
"93"	"86"	"26"	"7"	"253"	"9"	"10"	"25"	"6"	"8"	"75"	"419"	"0"	"0"
"94"	"87"	"170"	"11"	"147"	"12"	"15"	"72"	"14"	"19"	"10"	"470"	"0"	"0"
"95"	"88"	"145"	"8"	"105"	"10"	"14"	"157"	"19"	"27"	"35"	"520"	"0"	"0"
"96"	"89"	"79"	"7"	"111"	"6"	"3"	"52"	"3"	"5"	"7"	"273"	"0"	"0"
"97"	"90"	"217"	"11"	"236"	"17"	"10"	"16"	"8"	"7"	"49"	"571"	"0"	"0"
"98"	"91"	"204"	"3"	"102"	"10"	"6"	"36"	"5"	"7"	"23"	"396"	"0"	"0"
"99"	"92"	"153"	"7"	"117"	"14"	"6"	"56"	"4"	"6"	"25"	"388"	"0"	"0"
"100"	"93"	"126"	"8"	"211"	"12"	"12"	"101"	"12"	"13"	"32"	"527"	"0"	"0"
"101"	"94"	"229"	"8"	"140"	"16"	"9"	"33"	"7"	"12"	"51"	"505"	"0"	"0"
"102"	"95"	"77"	"10"	"209"	"9"	"6"	"36"	"9"	"9"	"40"	"405"	"0"	"0"
"103"	"96"	"100"	"10"	"128"	"11"	"8"	"37"	"10"	"8"	"71"	"383"	"0"	"0"
"104"	"97"	"81"	"9"	"144"	"7"	"21"	"74"	"14"	"15"	"99"	"464"	"0"	"0"
"105"	"98"	"31"	"9"	"118"	"4"	"12"	"92"	"13"	"15"	"46"	"340"	"0"	"0"
"106"	"99"	"211"	"9"	"75"	"6"	"10"	"52"	"8"	"14"	"16"	"401"	"0"	"0"
"107"	"100"	"181"	"9"	"16"	"6"	"14"	"79"	"5"	"9"	"28"	"347"	"0"	"0"
"108"	"101"	"128"	"6"	"179"	"15"	"16"	"97"	"15"	"16"	"15"	"487"	"0"	"0"
"109"	"102"	"184"	"13"	"94"	"13"	"11"	"40"	"15"	"22"	"33"	"425"	"0"	"0"
"110"	"103"	"179"	"8"	"98"	"10"	"6"	"33"	"12"	"12"	"75"	"433"	"0"	"0"
"111"	"104"	"151"	"7"	"135"	"13"	"14"	"53"	"10"	"24"	"80"	"487"	"0"	"0"
"112"	"105"	"31"	"7"	"227"	"9"	"8"	"44"	"13"	"11"	"18"	"368"	"0"	"0"
"113"	"106"	"29"	"6"	"190"	"7"	"6"	"37"	"6"	"43"	"15"	"339"	"0"	"0"
"114"	"107"	"93"	"16"	"141"	"12"	"26"	"165"	"34"	"38"	"33"	"558"	"0"	"0"
"115"	"108"	"116"	"6"	"205"	"10"	"8"	"39"	"3"	"11"	"10"	"408"	"0"	"0"
"116"	"109"	"119"	"11"	"41"	"8"	"21"	"122"	"14"	"26"	"25"	"387"	"0"	"0"
"117"	"110"	"105"	"5"	"197"	"11"	"11"	"81"	"11"	"10"	"35"	"466"	"0"	"0"
"118"	"111"	"254"	"10"	"108"	"8"	"1"	"37"	"8"	"6"	"6"	"438"	"0"	"0"
"119"	"112"	"248"	"13"	"220"	"11"	"5"	"19"	"7"	"6"	"21"	"550"	"0"	"0"
"120"	"113"	"173"	"5"	"240"	"13"	"6"	"22"	"10"	"4"	"9"	"482"	"0"	"0"
"121"	"114"	"369"	"4"	"97"	"6"	"11"	"171"	"11"	"22"	"14"	"705"	"0"	"0"
"122"	"115"	"112"	"2"	"76"	"7"	"5"	"54"	"8"	"17"	"3"	"284"	"0"	"0"
"123"	"116"	"45"	"3"	"101"	"3"	"1"	"29"	"5"	"8"	"5"	"200"	"0"	"0"
"124"	"117"	"101"	"6"	"39"	"9"	"30"	"448"	"18"	"20"	"22"	"693"	"0"	"0"
"125"	"118"	"61"	"9"	"73"	"18"	"31"	"392"	"29"	"20"	"15"	"648"	"0"	"0"
"126"	"119"	"46"	"9"	"33"	"9"	"31"	"307"	"26"	"20"	"35"	"516"	"0"	"0"
"127"	"120"	"110"	"14"	"403"	"13"	"24"	"155"	"18"	"20"	"13"	"770"	"0"	"0"
"128"	"121"	"79"	"9"	"101"	"9"	"19"	"251"	"15"	"8"	"7"	"498"	"0"	"0"
"129"	"122"	"123"	"14"	"169"	"9"	"16"	"134"	"16"	"12"	"12"	"505"	"0"	"0"
"130"	"123"	"108"	"9"	"199"	"19"	"13"	"104"	"16"	"14"	"19"	"501"	"0"	"0"
"131"	"124"	"76"	"5"	"110"	"12"	"19"	"272"	"14"	"13"	"24"	"545"	"0"	"0"
"132"	"125"	"399"	"9"	"151"	"20"	"6"	"29"	"9"	"11"	"16"	"650"	"0"	"0"
"133"	"126"	"114"	"4"	"108"	"2"	"1"	"53"	"4"	"7"	"8"	"301"	"0"	"0"
"134"	"127"	"106"	"5"	"18"	"3"	"4"	"65"	"9"	"5"	"1"	"216"	"0"	"0"
"135"	"128"	"320"	"21"	"162"	"19"	"31"	"162"	"18"	"22"	"17"	"772"	"0"	"0"
"136"	"129"	"211"	"14"	"143"	"22"	"23"	"109"	"17"	"20"	"33"	"592"	"0"	"0"
"137"	"130"	"205"	"5"	"67"	"7"	"5"	"121"	"11"	"22"	"11"	"454"	"0"	"0"
"138"	"131"	"200"	"16"	"171"	"18"	"19"	"229"	"24"	"21"	"15"	"713"	"0"	"0"
"139"	"132"	"305"	"4"	"63"	"17"	"24"	"225"	"20"	"31"	"16"	"705"	"0"	"0"
"140"	"133"	"264"	"14"	"69"	"23"	"20"	"295"	"21"	"24"	"21"	"751"	"0"	"0"
"141"	"134"	"235"	"4"	"9"	"2"	"4"	"71"	"6"	"5"	"14"	"350"	"0"	"0"
"142"	"135"	"218"	"13"	"48"	"20"	"36"	"284"	"25"	"22"	"26"	"692"	"0"	"0"
"143"	"136"	"63"	"2"	"6"	"3"	"7"	"84"	"11"	"8"	"18"	"202"	"0"	"0"
"144"	"137"	"140"	"8"	"88"	"6"	"11"	"147"	"9"	"16"	"9"	"434"	"0"	"0"
"145"	"138"	"107"	"7"	"12"	"1"	"6"	"99"	"2"	"9"	"7"	"250"	"0"	"0"
"146"	"139"	"81"	"5"	"39"	"3"	"5"	"107"	"7"	"14"	"13"	"274"	"0"	"0"
"147"	"140"	"195"	"6"	"23"	"3"	"5"	"42"	"1"	"6"	"8"	"289"	"0"	"0"
"148"	"141"	"182"	"2"	"6"	"5"	"2"	"39"	"6"	"6"	"24"	"272"	"0"	"0"
"149"	"142"	"84"	"2"	"47"	"6"	"3"	"9"	"4"	"0"	"3"	"158"	"0"	"0"
"150"	"143"	"33"	"7"	"46"	"4"	"3"	"133"	"10"	"29"	"3"	"268"	"0"	"0"
"151"	"144"	"99"	"6"	"157"	"9"	"18"	"134"	"12"	"14"	"22"	"471"	"0"	"0"
"152"	"145"	"138"	"11"	"83"	"9"	"25"	"144"	"15"	"18"	"7"	"450"	"0"	"0"
"153"	"146"	"103"	"10"	"177"	"8"	"14"	"161"	"16"	"24"	"13"	"526"	"0"	"0"
"154"	"147"	"46"	"3"	"80"	"7"	"15"	"558"	"25"	"11"	"8"	"753"	"0"	"0"
"155"	"148"	"176"	"14"	"68"	"15"	"22"	"120"	"17"	"28"	"33"	"493"	"0"	"0"
