"Total.No..of.Electors.in.Assembly.Constituency......188947"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Name of the Assembly :- 92 - HAYAGHAT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Ambar Imam Hashmi"	"Uma Kant Choudhar y"	"Mansur Alam"	"Lalan Choudhar y"	"Hari Nandan Yadav"	"Jagannat h Singh"	"Jhingur Sahu"	"Nilambar Jha"	"Ram Nandan Bhagat"	"Vipin Kumar Rai"	"Umadhar Prasad Singh"	"Ghanshy am Prasad"	"Mahendra Yadav"	"Raj Kumar Ram"	"Lakshmi Giri"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"8"	"1"	"1"	"61"	"5"	"3"	"8"	"283"	"25"	"4"	"5"	"3"	"6"	"29"	"3"	"8"	"13"	"45"	"501"	"0"	"501"	""
"9"	"2"	"2"	"43"	"32"	"5"	"7"	"269"	"22"	"5"	"3"	"2"	"9"	"33"	"8"	"4"	"8"	"19"	"469"	"0"	"469"	""
"10"	"3"	"3"	"233"	"23"	"3"	"5"	"203"	"15"	"2"	"1"	"7"	"6"	"31"	"3"	"2"	"3"	"11"	"548"	"0"	"548"	""
"11"	"4"	"4"	"49"	"123"	"2"	"18"	"134"	"8"	"2"	"2"	"0"	"4"	"89"	"1"	"3"	"15"	"0"	"450"	"0"	"450"	""
"12"	"5"	"5"	"32"	"38"	"2"	"9"	"119"	"15"	"12"	"5"	"5"	"5"	"140"	"8"	"6"	"8"	"22"	"426"	"0"	"426"	""
