"Total.No..of.Electors.in.Assembly.Constituency....218467"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"7"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"8"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"9"	"1"	"1"	"9"	"86"	"100"	"10"	"2"	"21"	"7"	"17"	"14"	"26"	"217"	"82"	""	"591"	""	""	""
"10"	"2"	"2"	"13"	"144"	"103"	"3"	"19"	"57"	"2"	"8"	"12"	"9"	"172"	"13"	""	"555"	""	""	""
"11"	"3"	"3"	"4"	"107"	"62"	"3"	"8"	"20"	"1"	"11"	"11"	"9"	"226"	"35"	""	"497"	""	""	""
"12"	"4"	"4"	"6"	"48"	"23"	"3"	"1"	"20"	"5"	"8"	"6"	"3"	"121"	"7"	""	"251"	""	""	""
"13"	"5"	"5"	"14"	"35"	"31"	"5"	"67"	"37"	"3"	"13"	"5"	"10"	"378"	"17"	""	"615"	""	""	""
"14"	"6"	"6"	"5"	"5"	"9"	"1"	"11"	"6"	"0"	"5"	"4"	"7"	"426"	"26"	""	"505"	""	""	""
"15"	"7"	"7"	"7"	"59"	"97"	"1"	"3"	"25"	"2"	"21"	"3"	"2"	"260"	"3"	""	"483"	""	""	""
"16"	"8"	"8"	"11"	"92"	"50"	"1"	"12"	"18"	"3"	"19"	"8"	"10"	"377"	"26"	""	"627"	""	""	""
"17"	"9"	"9"	"23"	"33"	"67"	"4"	"6"	"87"	"10"	"1"	"6"	"7"	"108"	"11"	""	"363"	""	""	""
"18"	"10"	"10"	"19"	"18"	"20"	"5"	"18"	"11"	"7"	"3"	"1"	"6"	"190"	"15"	""	"313"	""	""	""
"19"	"11"	"11"	"6"	"93"	"12"	"7"	"26"	"61"	"4"	"13"	"6"	"7"	"97"	"9"	""	"341"	""	""	""
"20"	"12"	"12"	"17"	"37"	"28"	"3"	"8"	"15"	"3"	"25"	"10"	"5"	"364"	"22"	""	"537"	""	""	""
"21"	"13"	"13"	"13"	"61"	"53"	"3"	"7"	"186"	"4"	"8"	"11"	"10"	"181"	"26"	""	"563"	""	""	""
"22"	"14"	"14"	"6"	"93"	"6"	"3"	"19"	"27"	"4"	"22"	"3"	"2"	"143"	"10"	""	"338"	""	""	""
"23"	""	"Total Round 1"	"153"	"911"	"661"	"52"	"207"	"591"	"55"	"174"	"100"	"113"	"3260"	"302"	"0"	"6579"	"0"	""	""
