"Election.to.the.Bihar.Legislative.Assembly.from.the.230..Konch.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No."	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	""	"Total No. of"	""	""	""	""	""	""	""	""
"4"	"of"	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	"LALITA  SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	"JAGDISH YADAV"	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	"of valid votes"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""
"5"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"6"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"8"	"1"	"16"	""	""	"6"	""	""	"102"	""	""	""	"526"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"656"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"656"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"2"	"349"	""	""	"14"	""	""	"5"	""	""	""	"51"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"37"	""	""	""	""	""	"1"	""	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"2(Ka)"	"130"	""	""	"86"	""	""	"16"	""	""	""	"82"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
