"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"¼dkuwuh  fu;e  vkSj  vkns'k½  ¿iz:i  20À"	""	""	""	""	""	""	""	""	""	""	""
"2"	"¿fu;e  56  ¼7½  nsf[k,À"	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""
"4"	"¼vf/klwfpr ernku dsUnzksa ls fHké ernku dsUnzksa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""
"5"	"153 & lqyrkuxat ¼v0 tk0½ fo/kku LkHkk {kss= ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx   1"	""	""	""	""	""	""	""	""	""	""	""
"7"	"¼ lalnh; vkSj fo/kku lHkk nkssuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k ------------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""
"9"	"                fo/kku lHkk [kaM dk uke ¼lalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa -------------------------------------------------------------------- "	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la"	""
"11"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk nsoh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"13"	"1"	"66"	"1"	"360"	"30"	"8"	"14"	"182"	"661"	""	""	""
"14"	"2"	"111"	"2"	"207"	"26"	"5"	"3"	"73"	"427"	""	""	""
"15"	"3"	"293"	"5"	"149"	"63"	"6"	"3"	"54"	"573"	""	""	""
"16"	"4"	"35"	"2"	"329"	"49"	"21"	"11"	"54"	"501"	""	""	""
"17"	"5"	"68"	"1"	"331"	"27"	"2"	"2"	"80"	"511"	""	""	""
"18"	"6"	"227"	"17"	"192"	"32"	"10"	"16"	"95"	"589"	""	""	""
"19"	"7"	"93"	"14"	"37"	"7"	"13"	"14"	"362"	"540"	""	""	""
"20"	"8"	"268"	"11"	"85"	"9"	"7"	"5"	"105"	"490"	""	""	""
"21"	"9"	"323"	"13"	"34"	"9"	"6"	"4"	"87"	"476"	""	""	""
"22"	"10"	"114"	"4"	"294"	"16"	"7"	"1"	"75"	"511"	""	""	""
"23"	"11"	"103"	"2"	"398"	"17"	"9"	"12"	"136"	"677"	""	""	""
"24"	"12"	"83"	"10"	"273"	"20"	"12"	"12"	"164"	"574"	""	""	""
"25"	"13"	"26"	"1"	"244"	"10"	"5"	"5"	"50"	"341"	""	""	""
"26"	"14"	"31"	"5"	"254"	"18"	"1"	"1"	"228"	"538"	""	""	""
