"Total..No..of.Electors.in.Assembly.consitiuency...201457"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Name of Assembly - 85 BAHERA"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26 9)"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"FINAL RESULT SHEET [ (SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"PART -I"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.No."	"No.of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"8"	""	""	"Abdul Bari Siddiqui"	"Mahendra Jha Azad"	"Shamim Ahmad"	"Binod Yadav"	"Yugeshw ar Sahni"	"Bishwamb
har Mishra"	"Shah
Najmul Hoda"	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"10"	"1"	"1"	"56"	"121"	"7"	"7"	"54"	"23"	"29"	"297"	"0"	"297"	"0"
"11"	"2"	"2"	"181"	"136"	"12"	"3"	"43"	"10"	"20"	"405"	"0"	"405"	"0"
"12"	"3"	"3"	"38"	"380"	"15"	"1"	"36"	"10"	"2"	"482"	"0"	"482"	"0"
"13"	"4"	"4"	"62"	"133"	"4"	"4"	"169"	"2"	"2"	"376"	"0"	"376"	"0"
"14"	"5"	"5"	"432"	"29"	"8"	"3"	"18"	"0"	"12"	"502"	"0"	"502"	"0"
"15"	"6"	"6"	"508"	"28"	"4"	"4"	"16"	"3"	"6"	"569"	"0"	"569"	"0"
"16"	"7"	"7"	"345"	"12"	"7"	"1"	"17"	"1"	"7"	"390"	"0"	"390"	"0"
"17"	"8"	"8"	"128"	"256"	"8"	"5"	"63"	"13"	"11"	"484"	"0"	"484"	"0"
"18"	"9"	"9"	"53"	"244"	"7"	"6"	"26"	"6"	"19"	"361"	"0"	"361"	"0"
"19"	"10"	"10"	"272"	"63"	"16"	"14"	"133"	"22"	"16"	"536"	"0"	"536"	"0"
"20"	"11"	"11"	"276"	"26"	"7"	"3"	"76"	"6"	"13"	"407"	"0"	"407"	"0"
"21"	"12"	"12"	"82"	"84"	"20"	"9"	"144"	"38"	"39"	"416"	"0"	"416"	"0"
"22"	"13"	"13"	"33"	"201"	"4"	"3"	"38"	"6"	"14"	"299"	"0"	"299"	"0"
"23"	"14"	"14"	"249"	"74"	"7"	"9"	"86"	"17"	"32"	"474"	"0"	"474"	"0"
"24"	"15"	"15"	"259"	"72"	"8"	"1"	"39"	"7"	"22"	"408"	"0"	"408"	"0"
"25"	"16"	"16"	"282"	"70"	"9"	"3"	"57"	"11"	"14"	"446"	"0"	"446"	"0"
"26"	"17"	"17"	"57"	"217"	"6"	"3"	"5"	"8"	"6"	"302"	"0"	"302"	"0"
"27"	"18"	"18"	"312"	"101"	"7"	"4"	"36"	"5"	"19"	"484"	"0"	"484"	"0"
"28"	"19"	"19"	"168"	"266"	"15"	"9"	"49"	"14"	"19"	"540"	"0"	"540"	"0"
"29"	"20"	"20"	"44"	"114"	"11"	"5"	"90"	"16"	"14"	"294"	"0"	"294"	"0"
"30"	"21"	"21"	"45"	"108"	"5"	"3"	"32"	"11"	"1"	"205"	"0"	"205"	"0"
"31"	"22"	"22"	"437"	"54"	"7"	"6"	"26"	"8"	"35"	"573"	"0"	"573"	"0"
"32"	"23"	"23"	"345"	"24"	"2"	"1"	"6"	"3"	"24"	"405"	"0"	"405"	"0"
"33"	"24"	"24"	"256"	"89"	"13"	"6"	"49"	"14"	"21"	"448"	"0"	"448"	"0"
"34"	"25"	"25"	"133"	"143"	"19"	"6"	"29"	"8"	"7"	"345"	"0"	"345"	"0"
"35"	"26"	"26"	"386"	"31"	"7"	"4"	"45"	"11"	"27"	"511"	"0"	"511"	"0"
