"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 231- Gaya Muffasil Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No."	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	""	"Total No. of"	""	""	""	""	""	""	""	""	""	""
"6"	"of"	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	"RAM
KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"of valid votes"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""	""	""
"7"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""
"8"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""
"10"	"1"	"219"	""	""	"154"	""	""	"28"	""	""	""	"6"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	""	""	"197"	""	""	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"673"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"673"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
