"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"2"	"ROUND- I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"27"	"255"	"147"	"34"	"4"	"134"	"7"	"5"	"15"	"2"	"3"	"10"	"643"	""	""	"643"
"4"	"2"	"10"	"109"	"116"	"13"	"4"	"116"	"10"	"1"	"77"	"5"	"6"	"6"	"473"	""	""	"473"
"5"	"3"	"6"	"3"	"177"	"9"	"2"	"104"	"10"	"1"	"45"	"2"	"2"	"3"	"364"	""	""	"364"
"6"	"4"	"3"	"26"	"46"	"8"	"26"	"153"	"7"	"2"	"17"	"2"	"1"	"21"	"312"	""	""	"312"
"7"	"5"	"1"	"3"	"163"	"3"	"0"	"6"	"2"	"0"	"101"	"0"	"0"	"3"	"282"	""	""	"282"
"8"	"6"	"13"	"181"	"17"	"69"	"5"	"156"	"5"	"6"	"70"	"0"	"2"	"7"	"531"	""	""	"531"
"9"	"7"	"12"	"169"	"153"	"8"	"6"	"68"	"5"	"2"	"78"	"3"	"5"	"10"	"519"	""	""	"519"
"10"	"8"	"6"	"94"	"52"	"46"	"2"	"51"	"9"	"11"	"8"	"1"	"7"	"5"	"292"	""	""	"292"
"11"	"9"	"6"	"43"	"96"	"35"	"4"	"90"	"5"	"8"	"79"	"2"	"4"	"1"	"373"	""	""	"373"
"12"	"10"	"3"	"13"	"174"	"4"	"2"	"92"	"4"	"2"	"75"	"0"	"1"	"0"	"370"	""	""	"370"
"13"	"11"	"36"	"356"	"45"	"43"	"8"	"69"	"10"	"16"	"4"	"13"	"24"	"21"	"645"	""	""	"645"
"14"	"12"	"13"	"392"	"31"	"47"	"2"	"36"	"12"	"10"	"6"	"4"	"17"	"15"	"585"	""	""	"585"
"15"	"13"	"13"	"48"	"31"	"14"	"3"	"10"	"5"	"3"	"5"	"2"	"4"	"6"	"144"	""	""	"144"
"16"	"14"	"9"	"7"	"51"	"76"	"7"	"89"	"5"	"13"	"2"	"2"	"2"	"11"	"274"	""	""	"274"
"17"	"Round Total"	"158"	"1699"	"1299"	"409"	"75"	"1174"	"96"	"80"	"582"	"38"	"78"	"119"	"5807"	"0"	"0"	"5807"
