"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Legislative assembly from the 140-KORHA constituency.                               Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly elections                                                            Total No. of Electors in Assembly constituency/Segment ............. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"7"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"1"	"20"	"175"	""	"7"	""	"4"	""	"282"	""	""	"4"	""	""	"2"	""	"7"	""	""	"4"	""	""	"6"	""	""	"2"	""	"4"	""	""	"9"	""	"28"	""	""	"554"	"0"	""	""	"554"	""	""	"0"	""	""	""	""
"9"	"2"	"34"	"259"	""	"8"	""	"24"	""	"189"	""	""	"6"	""	""	"5"	""	"11"	""	""	"7"	""	""	"9"	""	""	"4"	""	"9"	""	""	"16"	""	"30"	""	""	"611"	"0"	""	""	"611"	""	""	"0"	""	""	""	""
"10"	"3"	"8"	"81"	""	"4"	""	"6"	""	"258"	""	""	"4"	""	""	"1"	""	"1"	""	""	"0"	""	""	"3"	""	""	"0"	""	"2"	""	""	"4"	""	"8"	""	""	"380"	"0"	""	""	"380"	""	""	"0"	""	""	""	""
