"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[SEE  RULE 56(7) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 159- CHAKAI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency- 2,17,234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	"ONKAR NATH BURNWAL"	"PHALGUNI PRASAD YADAV"	"BRAHMADEO MANDAL"	"VIJAY SINGH"	""	"ABHAY SINGH"	"JULIANA SOREN"	"RAMESHWAR YADAV"	"MONIRUDDIN"	"RAJESH YADAV"	"SHANKAR PD. SWARNKAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	""	"No. of tendered votes"
"6"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"
"7"	"1"	"12"	"195"	"8"	"86"	""	"15"	"6"	"13"	"4"	"8"	"26"	"373"	"&"	"373"	""	"&"
"8"	"2"	"5"	"100"	"10"	"194"	""	"99"	"8"	"16"	"1"	"3"	"10"	"446"	"&"	"446"	""	"&"
"9"	"3"	"31"	"136"	"6"	"55"	""	"248"	"11"	"9"	"4"	"2"	"4"	"506"	"&"	"506"	""	"&"
"10"	"4"	"19"	"216"	"14"	"132"	""	"104"	"14"	"33"	"2"	"4"	"3"	"541"	"&"	"541"	""	"&"
"11"	"5"	"15"	"164"	"18"	"161"	""	"147"	"10"	"8"	"4"	"10"	"16"	"553"	"&"	"553"	""	"&"
"12"	"6"	"86"	"37"	"11"	"65"	""	"269"	"2"	"1"	"0"	"0"	"7"	"478"	"&"	"478"	""	"&"
"13"	"7"	"62"	"135"	"8"	"113"	""	"93"	"3"	"5"	"0"	"8"	"7"	"434"	"&"	"434"	""	"&"
"14"	"8"	"15"	"66"	"5"	"29"	""	"141"	"10"	"0"	"3"	"1"	"5"	"275"	"&"	"275"	""	"&"
"15"	"9"	"3"	"230"	"8"	"321"	""	"7"	"2"	"1"	"2"	"0"	"1"	"575"	"&"	"575"	""	"&"
"16"	"10"	"9"	"71"	"4"	"279"	""	"135"	"9"	"9"	"0"	"2"	"10"	"528"	"&"	"528"	""	"&"
"17"	"11"	"5"	"201"	"12"	"105"	""	"57"	"2"	"4"	"3"	"6"	"1"	"396"	"&"	"396"	""	"&"
"18"	"12"	"6"	"63"	"2"	"71"	""	"458"	"18"	"0"	"0"	"1"	"14"	"633"	"&"	"633"	""	"&"
"19"	"13"	"31"	"71"	"139"	"43"	""	"171"	"15"	"12"	"11"	"12"	"40"	"545"	"&"	"545"	""	"&"
"20"	"14"	"51"	"203"	"13"	"139"	""	"183"	"9"	"14"	"46"	"9"	"16"	"683"	"&"	"683"	""	"&"
"21"	"15"	"21"	"219"	"34"	"55"	""	"92"	"4"	"3"	"6"	"8"	"15"	"457"	"&"	"457"	""	"&"
