"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"9"	""	""	"Kumar Verma"	""	"Paswan"	""	"Kishor"	"Prasad Singh"	"Singh"	"Kumar"	""	"Sharan"	""	"Kumar"	"Prasad Yadav"	"Kumar"	""	"Sharma"	""	"Kumar"	""	""	""	""	""	""	""
"10"	"1"	""	"229"	""	"12"	""	"7"	"127"	"9"	"4"	""	"4"	""	"4"	"40"	"11"	""	"2"	""	"12"	"-461"	""	""	"0"	""	"-461"	"0"
"11"	"2"	""	"0"	""	"0"	""	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"0"	""	""	"0"	""	"0"	"0"
"12"	"3"	""	"203"	""	"2"	""	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"25"	"0"	""	"1"	""	"0"	"-231"	""	""	"0"	""	"-231"	"0"
"13"	"4"	""	"7"	""	"0"	""	"3"	"117"	"6"	"3"	""	"2"	""	"1"	"2"	"1"	""	"2"	""	"8"	"-152"	""	""	"0"	""	"-152"	"0"
"14"	"5"	""	"68"	""	"0"	""	"0"	"2"	"0"	"0"	""	"0"	""	"0"	"1"	"0"	""	"0"	""	"0"	"-71"	""	""	"0"	""	"-71"	"0"
"15"	"6"	""	"84"	""	"13"	""	"312"	"50"	"1"	"0"	""	"1"	""	"0"	"22"	"6"	""	"2"	""	"3"	"-494"	""	""	"0"	""	"-494"	"0"
"16"	"7"	""	"72"	""	"119"	""	"15"	"158"	"2"	"2"	""	"0"	""	"1"	"70"	"9"	""	"1"	""	"7"	"-456"	""	""	"0"	""	"-456"	"0"
"17"	"8"	""	"198"	""	"0"	""	"60"	"0"	"138"	"1"	""	"0"	""	"1"	"61"	"1"	""	"0"	""	"1"	"-461"	""	""	"0"	""	"-461"	"0"
"18"	"9"	""	"51"	""	"0"	""	"0"	"6"	"1"	"0"	""	"0"	""	"0"	"74"	"0"	""	"0"	""	"0"	"-132"	""	""	"0"	""	"-132"	"0"
"19"	"10"	""	"44"	""	"35"	""	"9"	"319"	"7"	"1"	""	"2"	""	"6"	"16"	"43"	""	"8"	""	"6"	"-496"	""	""	"0"	""	"-496"	"0"
"20"	"11"	""	"233"	""	"6"	""	"36"	"41"	"11"	"1"	""	"2"	""	"2"	"84"	"7"	""	"5"	""	"10"	"-438"	""	""	"0"	""	"-438"	"0"
"21"	"12"	""	"183"	""	"3"	""	"63"	"136"	"1"	"2"	""	"2"	""	"5"	"123"	"2"	""	"1"	""	"0"	"-521"	""	""	"0"	""	"-521"	"0"
"22"	"13"	""	"69"	""	"6"	""	"217"	"45"	"8"	"1"	""	"1"	""	"2"	"5"	"15"	""	"5"	""	"2"	"-376"	""	""	"0"	""	"-376"	"0"
"23"	"14"	""	"33"	""	"0"	""	"9"	"248"	"0"	"99"	""	"1"	""	"0"	"3"	"0"	""	"0"	""	"0"	"-393"	""	""	"0"	""	"-393"	"0"
"24"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"30"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"31"	"15"	""	"9"	""	"4"	""	"21"	"485"	"13"	"2"	""	"2"	""	"2"	"0"	"5"	""	"2"	""	"5"	"-550"	""	""	"0"	""	"-550"	"0"
"32"	"16"	""	"106"	""	"3"	""	"7"	"120"	"8"	"0"	""	"0"	""	"3"	"10"	"1"	""	"2"	""	"4"	"-264"	""	""	"0"	""	"-264"	"0"
"33"	"17"	""	"378"	""	"0"	""	"0"	"36"	"19"	"0"	""	"0"	""	"1"	"16"	"0"	""	"0"	""	"0"	"-450"	""	""	"0"	""	"-450"	"0"
"34"	"18"	""	"599"	""	"0"	""	"0"	"0"	"4"	"0"	""	"0"	""	"0"	"1"	"0"	""	"1"	""	"0"	"-605"	""	""	"0"	""	"-605"	"0"
"35"	"19"	""	"54"	""	"8"	""	"9"	"410"	"6"	"4"	""	"0"	""	"0"	"2"	"4"	""	"1"	""	"7"	"-505"	""	""	"0"	""	"-505"	"0"
"36"	"20"	""	"25"	""	"6"	""	"19"	"257"	"5"	"4"	""	"0"	""	"0"	"7"	"1"	""	"3"	""	"4"	"-331"	""	""	"0"	""	"-331"	"0"
"37"	"21"	""	"11"	""	"3"	""	"35"	"594"	"3"	"0"	""	"1"	""	"0"	"28"	"0"	""	"2"	""	"4"	"-681"	""	""	"0"	""	"-681"	"0"
"38"	"22"	""	"5"	""	"5"	""	"15"	"21"	"1"	"1"	""	"0"	""	"1"	"178"	"2"	""	"0"	""	"1"	"-230"	""	""	"0"	""	"-230"	"0"
"39"	"23"	""	"392"	""	"8"	""	"6"	"13"	"2"	"2"	""	"2"	""	"1"	"10"	"0"	""	"2"	""	"13"	"-451"	""	""	"0"	""	"-451"	"0"
"40"	"24"	""	"57"	""	"3"	""	"2"	"534"	"1"	"1"	""	"0"	""	"1"	"9"	"1"	""	"0"	""	"2"	"-611"	""	""	"0"	""	"-611"	"0"
"41"	"25"	""	"81"	""	"18"	""	"4"	"120"	"1"	"0"	""	"0"	""	"2"	"11"	"6"	""	"2"	""	"10"	"-255"	""	""	"0"	""	"-255"	"0"
"42"	"26"	""	"92"	""	"13"	""	"21"	"132"	"66"	"5"	""	"1"	""	"7"	"120"	"17"	""	"4"	""	"5"	"-483"	""	""	"0"	""	"-483"	"0"
"43"	"27"	""	"92"	""	"6"	""	"3"	"21"	"1"	"1"	""	"0"	""	"1"	"4"	"3"	""	"1"	""	"3"	"-136"	""	""	"0"	""	"-136"	"0"
"44"	"28"	""	"86"	""	"82"	""	"28"	"376"	"32"	"6"	""	"6"	""	"5"	"6"	"9"	""	"7"	""	"15"	"-658"	""	""	"0"	""	"-658"	"0"
"45"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"51"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"52"	"29"	""	"19"	""	"0"	""	"3"	"372"	"7"	"2"	""	"4"	""	"1"	"4"	"6"	""	"2"	""	"6"	"-426"	""	""	"0"	""	"-426"	"0"
"53"	"30"	""	"26"	""	"0"	""	"4"	"273"	"5"	"3"	""	"1"	""	"1"	"1"	"13"	""	"2"	""	"4"	"-333"	""	""	"0"	""	"-333"	"0"
"54"	"31"	""	"73"	""	"3"	""	"3"	"147"	"4"	"1"	""	"2"	""	"3"	"92"	"7"	""	"4"	""	"8"	"-347"	""	""	"0"	""	"-347"	"0"
"55"	"32"	""	"212"	""	"4"	""	"3"	"3"	"2"	"0"	""	"0"	""	"1"	"8"	"1"	""	"0"	""	"1"	"-235"	""	""	"0"	""	"-235"	"0"
"56"	"33"	""	"169"	""	"0"	""	"1"	"32"	"9"	"0"	""	"0"	""	"0"	"36"	"5"	""	"2"	""	"1"	"-255"	""	""	"0"	""	"-255"	"0"
"57"	"34"	""	"322"	""	"7"	""	"1"	"21"	"0"	"1"	""	"0"	""	"2"	"2"	"4"	""	"5"	""	"11"	"-376"	""	""	"0"	""	"-376"	"0"
"58"	"35"	""	"70"	""	"1"	""	"2"	"53"	"1"	"0"	""	"1"	""	"1"	"2"	"3"	""	"2"	""	"0"	"-136"	""	""	"0"	""	"-136"	"0"
"59"	"36"	""	"343"	""	"11"	""	"10"	"177"	"8"	"9"	""	"1"	""	"1"	"3"	"4"	""	"5"	""	"19"	"-591"	""	""	"0"	""	"-591"	"0"
"60"	"37"	""	"41"	""	"2"	""	"4"	"99"	"3"	"0"	""	"2"	""	"2"	"5"	"0"	""	"5"	""	"13"	"-176"	""	""	"0"	""	"-176"	"0"
"61"	"38"	""	"1"	""	"0"	""	"8"	"487"	"2"	"3"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-501"	""	""	"0"	""	"-501"	"0"
"62"	"39"	""	"0"	""	"1"	""	"1"	"228"	"2"	"0"	""	"0"	""	"1"	"0"	"0"	""	"0"	""	"0"	"-233"	""	""	"0"	""	"-233"	"0"
"63"	"40"	""	"524"	""	"5"	""	"0"	"92"	"1"	"3"	""	"0"	""	"1"	"14"	"1"	""	"0"	""	"1"	"-642"	""	""	"0"	""	"-642"	"0"
"64"	"41"	""	"342"	""	"1"	""	"0"	"91"	"4"	"0"	""	"0"	""	"3"	"3"	"0"	""	"1"	""	"1"	"-446"	""	""	"0"	""	"-446"	"0"
"65"	"42"	""	"219"	""	"0"	""	"6"	"321"	"1"	"1"	""	"1"	""	"1"	"31"	"0"	""	"2"	""	"1"	"-584"	""	""	"0"	""	"-584"	"0"
"66"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"75"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"76"	"43"	""	"1"	""	"0"	""	"0"	"625"	"1"	"1"	""	"0"	""	"0"	"0"	"2"	""	"0"	""	"0"	"-630"	""	""	"0"	""	"-630"	"0"
"77"	"44"	""	"359"	""	"1"	""	"1"	"27"	"0"	"0"	""	"1"	""	"1"	"42"	"0"	""	"0"	""	"0"	"-432"	""	""	"0"	""	"-432"	"0"
"78"	"45"	""	"259"	""	"2"	""	"0"	"3"	"1"	"0"	""	"0"	""	"0"	"5"	"0"	""	"0"	""	"1"	"-271"	""	""	"0"	""	"-271"	"0"
"79"	"46"	""	"73"	""	"7"	""	"3"	"385"	"5"	"7"	""	"0"	""	"0"	"2"	"14"	""	"1"	""	"5"	"-502"	""	""	"0"	""	"-502"	"0"
"80"	"47"	""	"132"	""	"3"	""	"2"	"382"	"6"	"8"	""	"0"	""	"1"	"2"	"4"	""	"4"	""	"7"	"-551"	""	""	"0"	""	"-551"	"0"
"81"	"48"	""	"4"	""	"0"	""	"14"	"447"	"1"	"1"	""	"0"	""	"0"	"1"	"7"	""	"0"	""	"0"	"-475"	""	""	"0"	""	"-475"	"0"
"82"	"49"	""	"222"	""	"2"	""	"1"	"44"	"1"	"0"	""	"0"	""	"1"	"4"	"2"	""	"0"	""	"0"	"-277"	""	""	"0"	""	"-277"	"0"
"83"	"50"	""	"143"	""	"1"	""	"1"	"39"	"5"	"0"	""	"0"	""	"0"	"0"	"1"	""	"1"	""	"4"	"-195"	""	""	"0"	""	"-195"	"0"
"84"	"51"	""	"137"	""	"7"	""	"2"	"88"	"2"	"2"	""	"1"	""	"0"	"1"	"0"	""	"2"	""	"0"	"-242"	""	""	"0"	""	"-242"	"0"
