"izFke.pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"1"	"fuokZpuksa dk lapkyu fu;e] 1961"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"izi= &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼fu;e 56 ¼7½ nsf[k;s ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vafre &ifj.kkei="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"¼ fu;e 59, ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, iz;ksx fd;s tkus gsrq½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"24 & xksikyxat fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dsUnz la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh l[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""	""
"8"	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""	""
"10"	"1"	"41"	""	"20"	""	"2"	""	"1"	""	"3"	""	"50"	""	"0"	""	"33"	""	"0"	""	"2"	""	"152"	""	""	""	""	""	"152"	""	""	""	""
"11"	"2"	"49"	""	"171"	""	"14"	""	"5"	""	"13"	""	"75"	""	"5"	""	"188"	""	"6"	""	"7"	""	"533"	""	""	""	""	""	"533"	""	""	""	""
"12"	"3"	"21"	""	"68"	""	"26"	""	"1"	""	"13"	""	"133"	""	"10"	""	"54"	""	"12"	""	"10"	""	"348"	""	""	""	""	""	"348"	""	""	""	""
"13"	"4"	"32"	""	"139"	""	"13"	""	"3"	""	"15"	""	"107"	""	"8"	""	"86"	""	"2"	""	"0"	""	"405"	""	""	""	""	""	"405"	""	""	""	""
"14"	"5"	"8"	""	"214"	""	"12"	""	"2"	""	"24"	""	"171"	""	"3"	""	"31"	""	"10"	""	"19"	""	"494"	""	""	""	""	""	"494"	""	""	""	""
"15"	"6"	"25"	""	"53"	""	"4"	""	"4"	""	"5"	""	"111"	""	"3"	""	"70"	""	"2"	""	"2"	""	"279"	""	""	""	""	""	"279"	""	""	""	""
"16"	"7"	"31"	""	"208"	""	"18"	""	"10"	""	"24"	""	"176"	""	"11"	""	"87"	""	"10"	""	"20"	""	"595"	""	""	""	""	""	"595"	""	""	""	""
"17"	"8"	"35"	""	"198"	""	"28"	""	"3"	""	"8"	""	"27"	""	"3"	""	"97"	""	"9"	""	"7"	""	"415"	""	""	""	""	""	"415"	""	""	""	""
"18"	"9"	"49"	""	"69"	""	"12"	""	"1"	""	"2"	""	"43"	""	"2"	""	"440"	""	"3"	""	"0"	""	"621"	""	""	""	""	""	"621"	""	""	""	""
