"ROUND...1...CUMMULATIVE"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"
"1"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"2"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"3"	"FORM - 20"	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"5"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"6"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"7"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"8"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"9"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"10"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"206"	"0"	"206"	""	""
"11"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"1611"	"0"	"1611"	""	""
"12"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"975"	"0"	"975"	""	""
"13"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"1919"	"0"	"1919"	""	""
"14"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"81"	"0"	"81"	""	""
"15"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"84"	"0"	"84"	""	""
"16"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"267"	"0"	"267"	""	""
"17"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"50"	"0"	"50"	""	""
"18"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"62"	"0"	"62"	""	""
"19"	"10"	"GHANSHYAM DAS"	""	"Independent"	"106"	"0"	"106"	""	""
"20"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"53"	"0"	"53"	""	""
"21"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"63"	"0"	"63"	""	""
"22"	"13"	"SURESH BAITHA"	""	"Independent"	"199"	"0"	"199"	""	""
"23"	"Place -"	""	""	""	""	""	""	""	""
"24"	"Date  -"	""	""	""	""	""	""	""	""
"25"	"Returning Officer"	""	""	""	""	""	""	""	""
"26"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"27"	"ROUND - 2 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"28"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"29"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"30"	"FORM - 20"	""	""	""	""	""	""	""	""
"31"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"32"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"33"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"34"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"35"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"36"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"37"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"516"	"0"	"516"	""	""
"38"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"2942"	"0"	"2942"	""	""
"39"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"1942"	"0"	"1942"	""	""
"40"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"3674"	"0"	"3674"	""	""
"41"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"182"	"0"	"182"	""	""
"42"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"125"	"0"	"125"	""	""
"43"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"665"	"0"	"665"	""	""
"44"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"108"	"0"	"108"	""	""
"45"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"195"	"0"	"195"	""	""
"46"	"10"	"GHANSHYAM DAS"	""	"Independent"	"213"	"0"	"213"	""	""
"47"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"228"	"0"	"228"	""	""
"48"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"135"	"0"	"135"	""	""
"49"	"13"	"SURESH BAITHA"	""	"Independent"	"397"	"0"	"397"	""	""
"50"	"Place -"	""	""	""	""	""	""	""	""
"51"	"Date  -"	""	""	""	""	""	""	""	""
"52"	"Returning Officer"	""	""	""	""	""	""	""	""
"53"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"54"	"ROUND - 3 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"55"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"56"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"57"	"FORM - 20"	""	""	""	""	""	""	""	""
"58"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"59"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"60"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"61"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"62"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"63"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"64"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"776"	"0"	"776"	""	""
"65"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"4561"	"0"	"4561"	""	""
"66"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"2342"	"0"	"2342"	""	""
"67"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"5107"	"0"	"5107"	""	""
"68"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"282"	"0"	"282"	""	""
"69"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"189"	"0"	"189"	""	""
"70"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"2187"	"0"	"2187"	""	""
"71"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"199"	"0"	"199"	""	""
"72"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"401"	"0"	"401"	""	""
"73"	"10"	"GHANSHYAM DAS"	""	"Independent"	"395"	"0"	"395"	""	""
"74"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"319"	"0"	"319"	""	""
"75"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"234"	"0"	"234"	""	""
"76"	"13"	"SURESH BAITHA"	""	"Independent"	"679"	"0"	"679"	""	""
"77"	"Place -"	""	""	""	""	""	""	""	""
"78"	"Date  -"	""	""	""	""	""	""	""	""
"79"	"Returning Officer"	""	""	""	""	""	""	""	""
"80"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"81"	"ROUND - 4 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"82"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"83"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"84"	"FORM - 20"	""	""	""	""	""	""	""	""
"85"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"86"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"87"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"88"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"89"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"90"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"91"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"1042"	"0"	"1042"	""	""
"92"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"7192"	"0"	"7192"	""	""
"93"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"2878"	"0"	"2878"	""	""
"94"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"6543"	"0"	"6543"	""	""
"95"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"405"	"0"	"405"	""	""
"96"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"237"	"0"	"237"	""	""
"97"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"2750"	"0"	"2750"	""	""
"98"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"252"	"0"	"252"	""	""
"99"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"505"	"0"	"505"	""	""
"100"	"10"	"GHANSHYAM DAS"	""	"Independent"	"520"	"0"	"520"	""	""
"101"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"387"	"0"	"387"	""	""
"102"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"317"	"0"	"317"	""	""
"103"	"13"	"SURESH BAITHA"	""	"Independent"	"884"	"0"	"884"	""	""
"104"	"Place -"	""	""	""	""	""	""	""	""
"105"	"Date  -"	""	""	""	""	""	""	""	""
"106"	"Returning Officer"	""	""	""	""	""	""	""	""
"107"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"108"	"ROUND - 5 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"109"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
