"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.of.valid.votes"	"No.of.votes"	"Total"	"No..of.Tendered.votes"
"1"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"3"	"1"	"45"	"18"	"440"	"18"	"10"	"243"	"774"	"0"	"774"	"0"
"4"	"2"	"9"	"9"	"75"	"4"	"10"	"584"	"691"	"0"	"691"	"0"
"5"	"3"	"19"	"7"	"60"	"2"	"3"	"609"	"700"	"0"	"700"	"0"
"6"	"4"	"38"	"33"	"90"	"9"	"10"	"459"	"639"	"0"	"639"	"0"
"7"	"5"	"17"	"5"	"123"	"4"	"1"	"119"	"269"	"0"	"269"	"0"
"8"	"6"	"38"	"16"	"111"	"10"	"9"	"828"	"1012"	"0"	"1012"	"0"
"9"	"7"	"32"	"5"	"367"	"23"	"5"	"333"	"765"	"0"	"765"	"0"
"10"	"8"	"25"	"18"	"233"	"31"	"11"	"437"	"755"	"0"	"755"	"0"
"11"	"9"	"26"	"108"	"261"	"12"	"17"	"268"	"692"	"0"	"692"	"0"
"12"	"10"	"49"	"39"	"130"	"133"	"5"	"349"	"705"	"0"	"705"	"0"
"13"	"11"	"46"	"109"	"106"	"24"	"14"	"348"	"647"	"0"	"647"	"0"
"14"	"12"	"57"	"114"	"212"	"55"	"16"	"300"	"754"	"0"	"754"	"0"
"15"	"13"	"35"	"66"	"141"	"290"	"33"	"255"	"820"	"0"	"820"	"0"
"16"	"14"	"24"	"61"	"155"	"218"	"13"	"197"	"668"	"0"	"668"	"0"
"17"	"Total"	"460"	"608"	"2504"	"833"	"157"	"5329"	"9891"	"0"	"9891"	"0"
"18"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"19"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"20"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"21"	"15"	"58"	"26"	"153"	"57"	"22"	"310"	"626"	"0"	"626"	"0"
"22"	"16"	"39"	"34"	"89"	"29"	"8"	"281"	"480"	"0"	"480"	"0"
"23"	"17"	"40"	"22"	"42"	"39"	"7"	"446"	"596"	"0"	"596"	"0"
"24"	"18"	"26"	"40"	"140"	"23"	"5"	"186"	"420"	"0"	"420"	"0"
"25"	"19"	"37"	"13"	"193"	"14"	"10"	"217"	"484"	"0"	"484"	"0"
"26"	"20"	"16"	"30"	"69"	"54"	"25"	"336"	"530"	"0"	"530"	"0"
"27"	"21"	"57"	"14"	"81"	"286"	"11"	"324"	"773"	"0"	"773"	"0"
"28"	"22"	"16"	"37"	"60"	"13"	"5"	"650"	"781"	"0"	"781"	"0"
"29"	"23"	"51"	"25"	"219"	"33"	"12"	"205"	"545"	"0"	"545"	"0"
"30"	"24"	"24"	"18"	"248"	"26"	"4"	"184"	"504"	"0"	"504"	"0"
"31"	"25"	"18"	"7"	"124"	"60"	"7"	"191"	"407"	"0"	"407"	"0"
"32"	"26"	"26"	"6"	"51"	"62"	"10"	"350"	"505"	"0"	"505"	"0"
"33"	"27"	"25"	"10"	"131"	"20"	"11"	"470"	"667"	"0"	"667"	"0"
"34"	"28"	"16"	"9"	"132"	"7"	"5"	"176"	"345"	"0"	"345"	"0"
"35"	"Total"	"449"	"291"	"1732"	"723"	"142"	"4326"	"7663"	"0"	"7663"	"0"
"36"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"37"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"38"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"39"	"29"	"47"	"39"	"305"	"28"	"34"	"497"	"950"	"0"	"950"	"0"
"40"	"30"	"45"	"93"	"173"	"167"	"13"	"306"	"797"	"0"	"797"	"0"
"41"	"31"	"22"	"139"	"166"	"83"	"6"	"275"	"691"	"0"	"691"	"0"
"42"	"32"	"22"	"25"	"469"	"33"	"9"	"97"	"655"	"0"	"655"	"0"
"43"	"33"	"14"	"20"	"272"	"8"	"10"	"116"	"440"	"0"	"440"	"0"
"44"	"34"	"47"	"32"	"263"	"23"	"19"	"316"	"700"	"0"	"700"	"0"
"45"	"35"	"28"	"38"	"220"	"25"	"9"	"185"	"505"	"0"	"505"	"0"
"46"	"36"	"28"	"24"	"72"	"4"	"6"	"201"	"335"	"0"	"335"	"0"
"47"	"37"	"47"	"21"	"148"	"14"	"4"	"268"	"502"	"0"	"502"	"0"
"48"	"38"	"37"	"88"	"264"	"18"	"15"	"232"	"654"	"0"	"654"	"0"
"49"	"39"	"47"	"20"	"162"	"10"	"10"	"261"	"510"	"0"	"510"	"0"
"50"	"40"	"31"	"16"	"184"	"10"	"9"	"311"	"561"	"0"	"561"	"0"
"51"	"41"	"10"	"10"	"67"	"6"	"2"	"262"	"357"	"0"	"357"	"0"
"52"	"42"	"51"	"16"	"109"	"14"	"11"	"627"	"828"	"0"	"828"	"0"
"53"	"Total"	"476"	"581"	"2874"	"443"	"157"	"3954"	"8485"	"0"	"8485"	"0"
"54"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"55"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"57"	"43"	"27"	"8"	"213"	"10"	"7"	"336"	"601"	"0"	"601"	"0"
"58"	"44"	"19"	"41"	"112"	"18"	"10"	"342"	"542"	"0"	"542"	"0"
"59"	"45"	"45"	"34"	"174"	"58"	"15"	"445"	"771"	"0"	"771"	"0"
"60"	"46"	"20"	"24"	"89"	"7"	"15"	"652"	"807"	"0"	"807"	"0"
"61"	"47"	"13"	"16"	"292"	"68"	"12"	"167"	"568"	"0"	"568"	"0"
"62"	"48"	"14"	"17"	"184"	"168"	"6"	"43"	"432"	"0"	"432"	"0"
"63"	"49"	"14"	"6"	"678"	"62"	"4"	"104"	"868"	"0"	"868"	"0"
"64"	"50"	"69"	"60"	"248"	"38"	"11"	"276"	"702"	"0"	"702"	"0"
"65"	"51"	"45"	"23"	"344"	"6"	"6"	"125"	"549"	"0"	"549"	"0"
"66"	"52"	"24"	"291"	"102"	"73"	"2"	"162"	"654"	"0"	"654"	"0"
"67"	"53"	"25"	"342"	"60"	"20"	"11"	"176"	"634"	"0"	"634"	"0"
"68"	"54"	"27"	"310"	"40"	"20"	"15"	"62"	"474"	"0"	"474"	"0"
"69"	"55"	"3"	"266"	"72"	"25"	"0"	"45"	"411"	"0"	"411"	"0"
"70"	"56"	"69"	"27"	"196"	"41"	"10"	"245"	"588"	"0"	"588"	"0"
"71"	"Total"	"414"	"1465"	"2804"	"614"	"124"	"3180"	"8601"	"0"	"8601"	"0"
"72"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No. of Tendered votes"
"73"	""	"Niranjan Rai Patel"	"Pramod Kumar sharma"	"Rajendra Rajan"	"Dr.
Dhamendr a Patel"	"Shashi Dhar Jha"	"Narendra Kumar Singh"	""	""	""	""
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"75"	"57"	"4"	"119"	"40"	"15"	"1"	"39"	"218"	"0"	"218"	"0"
"76"	"58"	"24"	"65"	"106"	"41"	"6"	"324"	"566"	"0"	"566"	"0"
"77"	"59"	"7"	"85"	"38"	"18"	"4"	"454"	"606"	"0"	"606"	"0"
"78"	"60"	"40"	"109"	"117"	"200"	"33"	"273"	"772"	"0"	"772"	"0"
"79"	"61"	"23"	"86"	"66"	"421"	"20"	"70"	"686"	"0"	"686"	"0"
