"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"[ SEE RULE 56C (2) © ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 176 - Bihar  ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[ To be used both for Parliamentary And Assembly Election ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment  :-  2005 Name of the Assembly Segment     :-          176   Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"8"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"10"	"1"	"410"	"41"	"1"	"0"	"1"	"2"	"6"	"1"	"1"	"16"	"479"	"0"	"479"	""	""
"11"	"2"	"275"	"3"	"0"	"1"	"0"	"0"	"3"	"1"	"0"	"0"	"283"	"0"	"283"	""	""
"12"	"3"	"708"	"24"	"1"	"0"	"2"	"1"	"4"	"0"	"0"	"8"	"748"	"0"	"748"	""	""
"13"	"4"	"52"	"503"	"8"	"0"	"0"	"3"	"2"	"2"	"9"	"9"	"588"	"0"	"588"	""	""
"14"	"5"	"5"	"549"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"560"	"0"	"560"	""	""
"15"	"6"	"195"	"271"	"7"	"5"	"4"	"1"	"8"	"2"	"5"	"12"	"510"	"0"	"510"	""	""
"16"	"7"	"52"	"189"	"2"	"0"	"0"	"2"	"2"	"3"	"5"	"2"	"257"	"0"	"257"	""	""
"17"	"8"	"37"	"561"	"9"	"0"	"0"	"0"	"1"	"1"	"6"	"4"	"619"	"0"	"619"	""	""
"18"	"9"	"237"	"180"	"4"	"6"	"3"	"3"	"15"	"3"	"4"	"2"	"457"	"0"	"457"	""	""
"19"	"10"	"107"	"162"	"1"	"11"	"3"	"1"	"10"	"0"	"4"	"7"	"306"	"0"	"306"	""	""
"20"	"11"	"236"	"183"	"3"	"5"	"5"	"1"	"8"	"1"	"1"	"6"	"449"	"0"	"449"	""	""
"21"	"12"	"257"	"236"	"3"	"2"	"3"	"1"	"4"	"2"	"4"	"7"	"519"	"0"	"519"	""	""
"22"	"13"	"326"	"163"	"4"	"4"	"4"	"3"	"7"	"3"	"3"	"3"	"520"	"0"	"520"	""	""
"23"	"14"	"240"	"180"	"5"	"2"	"0"	"2"	"7"	"2"	"0"	"6"	"444"	"0"	"444"	""	""
"24"	"Round- 1"	"3137"	"3245"	"51"	"37"	"25"	"20"	"77"	"21"	"43"	"83"	"6739"	"0"	"6739"	""	""
"25"	"15"	"431"	"17"	"1"	"2"	"6"	"0"	"7"	"2"	"3"	"2"	"471"	""	"471"	""	""
"26"	"16"	"514"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"515"	"0"	"515"	""	""
"27"	"17"	"533"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"534"	"0"	"534"	""	""
"28"	"18"	"734"	"14"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"752"	"0"	"752"	""	""
"29"	"19"	"809"	"25"	"1"	"0"	"5"	"1"	"2"	"0"	"1"	"7"	"851"	"0"	"851"	""	""
"30"	"20"	"347"	"22"	"2"	"2"	"8"	"1"	"8"	"0"	"2"	"3"	"395"	"0"	"395"	""	""
"31"	"21"	"211"	"92"	"5"	"3"	"10"	"2"	"2"	"1"	"3"	"2"	"331"	"0"	"331"	""	""
"32"	"22"	"75"	"415"	"3"	"0"	"2"	"0"	"0"	"0"	"2"	"3"	"500"	"0"	"500"	""	""
"33"	"23"	"468"	"78"	"3"	"0"	"1"	"0"	"6"	"1"	"2"	"4"	"563"	"0"	"563"	""	""
"34"	"24"	"360"	"27"	"9"	"2"	"9"	"0"	"4"	"2"	"3"	"8"	"424"	"0"	"424"	""	""
"35"	"25"	"73"	"211"	"2"	"7"	"2"	"0"	"5"	"3"	"6"	"8"	"317"	"0"	"317"	""	""
"36"	"26"	"124"	"134"	"3"	"2"	"3"	"1"	"1"	"0"	"1"	"0"	"269"	"0"	"269"	""	""
"37"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"38"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"39"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"40"	"27"	"226"	"297"	"2"	"4"	"2"	"4"	"8"	"1"	"11"	"34"	"589"	"0"	"589"	""	""
"41"	"28"	"53"	"171"	"4"	"0"	"3"	"1"	"3"	"1"	"5"	"8"	"249"	"0"	"249"	""	""
"42"	"Round- 2"	"8095"	"4749"	"86"	"59"	"77"	"30"	"123"	"32"	"83"	"165"	"13499"	"0"	"13499"	""	""
"43"	"29"	"239"	"333"	"4"	"1"	"2"	"1"	"8"	"0"	"6"	"2"	"596"	"0"	"596"	""	""
"44"	"30"	"313"	"96"	"0"	"1"	"0"	"0"	"4"	"2"	"2"	"3"	"421"	"0"	"421"	""	""
"45"	"31"	"531"	"131"	"5"	"6"	"13"	"2"	"10"	"3"	"1"	"6"	"708"	"0"	"708"	""	""
"46"	"32"	"84"	"550"	"8"	"1"	"3"	"2"	"5"	"0"	"7"	"3"	"663"	"0"	"663"	""	""
"47"	"33"	"28"	"642"	"7"	"1"	"1"	"0"	"0"	"0"	"10"	"11"	"700"	"0"	"700"	""	""
"48"	"34"	"72"	"497"	"2"	"2"	"2"	"0"	"6"	"0"	"5"	"5"	"591"	"0"	"591"	""	""
"49"	"35"	"449"	"163"	"4"	"2"	"8"	"4"	"4"	"2"	"3"	"7"	"646"	"0"	"646"	""	""
"50"	"36"	"131"	"557"	"21"	"5"	"3"	"1"	"4"	"3"	"3"	"7"	"735"	"0"	"735"	""	""
"51"	"37"	"53"	"295"	"8"	"2"	"4"	"0"	"1"	"3"	"1"	"0"	"367"	"0"	"367"	""	""
"52"	"38"	"243"	"273"	"6"	"1"	"3"	"0"	"3"	"4"	"3"	"10"	"546"	"0"	"546"	""	""
"53"	"39"	"394"	"11"	"0"	"0"	"1"	"2"	"7"	"5"	"2"	"12"	"434"	"0"	"434"	""	""
"54"	"40"	"164"	"212"	"2"	"0"	"1"	"1"	"5"	"2"	"7"	"4"	"398"	"0"	"398"	""	""
"55"	"41"	"40"	"443"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"488"	"0"	"488"	""	""
"56"	"42"	"42"	"521"	"9"	"0"	"2"	"0"	"2"	"0"	"1"	"0"	"577"	"0"	"577"	""	""
"57"	"Round- 3"	"10878"	"9473"	"162"	"81"	"120"	"43"	"184"	"56"	"136"	"236"	"21369"	"0"	"21369"	""	""
"58"	"43"	"85"	"342"	"9"	"0"	"0"	"2"	"1"	"2"	"5"	"2"	"448"	"0"	"448"	""	""
"59"	"44"	"41"	"405"	"9"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"460"	"0"	"460"	""	""
"60"	"45"	"51"	"383"	"13"	"5"	"5"	"0"	"3"	"4"	"9"	"3"	"476"	"0"	"476"	""	""
"61"	"46"	"60"	"233"	"24"	"0"	"0"	"2"	"1"	"2"	"8"	"4"	"334"	"0"	"334"	""	""
"62"	"47"	"182"	"66"	"1"	"1"	"1"	"0"	"4"	"3"	"2"	"4"	"264"	"0"	"264"	""	""
"63"	"48"	"489"	"26"	"1"	"1"	"3"	"0"	"10"	"1"	"0"	"4"	"535"	"0"	"535"	""	""
"64"	"49"	"571"	"13"	"7"	"2"	"24"	"3"	"4"	"0"	"0"	"1"	"625"	"0"	"625"	""	""
"65"	"50"	"236"	"41"	"1"	"2"	"21"	"1"	"6"	"0"	"0"	"3"	"311"	"0"	"311"	""	""
"66"	"51"	"169"	"56"	"2"	"0"	"14"	"1"	"5"	"4"	"3"	"7"	"261"	"0"	"261"	""	""
"67"	"52"	"474"	"31"	"1"	"7"	"4"	"2"	"15"	"3"	"3"	"8"	"548"	"0"	"548"	""	""
"68"	"53"	"491"	"71"	"3"	"6"	"15"	"1"	"23"	"6"	"4"	"29"	"649"	"0"	"649"	""	""
"69"	"54"	"498"	"59"	"4"	"2"	"6"	"2"	"10"	"0"	"7"	"20"	"608"	"0"	"608"	""	""
"70"	"55"	"334"	"147"	"3"	"1"	"2"	"2"	"6"	"1"	"2"	"7"	"505"	"0"	"505"	""	""
"71"	"56"	"390"	"50"	"5"	"2"	"6"	"0"	"10"	"1"	"2"	"12"	"478"	"0"	"478"	""	""
"72"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"73"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"75"	"Round- 4"	"14949"	"11396"	"245"	"111"	"221"	"59"	"284"	"83"	"182"	"341"	"27871"	"0"	"27871"	""	""
