"PS.NO"	"AJAY.NISHAD"	"UMESH.PD..YADAV"	"RAM.VICHAR.RAI"	"RAJU.KUMAR.SINGH"	"AMLESH.KUMAR"	"YADAV.LAL.PATEL"	"RAJ.KISHOR.RAM"	"VISHWA.KARMA.SHARMA"	"SHIV.CHARAN.RAM"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"Total"	"TOTAL.NO.OF.TENDER.VOTES"
"1"	1	16	4	69	264	12	20	6	6	22	-419	0	-419	0
"2"	2	50	4	65	179	11	31	6	9	24	-379	0	-379	0
"3"	3	16	9	199	234	14	19	7	3	28	-529	0	-529	0
"4"	4	17	4	367	54	1	5	3	4	7	-462	0	-462	0
"5"	5	18	9	251	218	21	20	12	6	30	-585	0	-585	0
"6"	6	85	8	143	96	9	19	9	4	26	-399	0	-399	0
"7"	7	104	15	279	221	21	31	16	12	46	-745	0	-745	0
"8"	8	107	14	197	236	14	43	9	4	23	-647	0	-647	0
"9"	9	73	3	185	235	10	13	3	0	10	-532	0	-532	0
"10"	10	74	3	76	297	7	10	4	3	9	-483	0	-483	0
"11"	11	27	9	131	179	11	12	3	4	12	-388	0	-388	0
"12"	12	94	9	104	171	12	11	6	6	17	-430	0	-430	0
"13"	13	70	3	127	327	8	10	7	6	8	-566	0	-566	0
"14"	14	39	4	78	393	8	16	3	3	6	-550	0	-550	0
"15"	15	31	10	212	375	10	22	17	4	18	-699	0	-699	0
"16"	16	36	2	65	268	5	8	5	2	1	-392	0	-392	0
"17"	17	24	1	85	299	14	13	2	1	13	-452	0	-452	0
"18"	18	43	10	127	324	15	22	11	5	27	-584	0	-584	0
"19"	19	173	9	50	244	22	85	16	7	28	-634	0	-634	0
"20"	20	25	3	73	377	16	57	5	3	13	-572	0	-572	0
"21"	21	33	5	126	361	8	33	10	10	33	-619	0	-619	0
"22"	22	30	7	193	209	16	10	11	5	19	-500	0	-500	0
"23"	23	30	1	75	116	5	8	3	3	14	-255	0	-255	0
"24"	24	31	3	139	277	13	18	4	2	28	-515	0	-515	0
"25"	25	9	3	137	247	17	20	5	9	15	-462	0	-462	0
"26"	26	71	18	29	91	7	8	2	0	9	-235	0	-235	0
"27"	27	2	0	858	67	2	7	0	1	4	-941	0	-941	0
"28"	28	22	4	108	279	8	27	5	2	28	-483	0	-483	0
"29"	29	27	8	128	133	12	6	10	6	15	-345	0	-345	0
"30"	30	18	8	133	211	13	20	6	3	7	-419	0	-419	0
"31"	31	23	5	278	52	6	4	8	3	15	-394	0	-394	0
"32"	32	20	18	417	33	3	8	5	5	17	-526	0	-526	0
"33"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"34"	33	4	3	455	99	3	4	0	2	4	-574	0	-574	0
"35"	34	67	15	322	171	10	16	12	13	54	-680	0	-680	0
"36"	35	18	5	235	147	3	16	2	1	6	-433	0	-433	0
"37"	36	16	3	70	187	8	10	4	0	8	-306	0	-306	0
"38"	37	34	12	148	70	2	15	2	3	8	-294	0	-294	0
"39"	38	31	4	24	125	12	17	6	10	10	-239	0	-239	0
"40"	39	26	10	155	372	17	54	15	12	28	-689	0	-689	0
"41"	40	82	9	100	148	4	15	10	6	12	-386	0	-386	0
"42"	41	76	8	99	127	11	13	4	3	16	-357	0	-357	0
"43"	42	4	3	213	67	3	4	0	1	13	-308	0	-308	0
"44"	43	0	0	648	1	0	0	1	1	1	-652	0	-652	0
"45"	44	44	10	178	163	9	14	3	1	9	-431	0	-431	0
"46"	45	15	2	80	294	15	20	8	5	22	-461	0	-461	0
"47"	46	9	1	70	450	19	8	4	4	10	-575	0	-575	0
"48"	47	36	10	90	266	9	14	8	8	23	-464	0	-464	0
"49"	48	35	6	78	254	9	10	4	8	11	-415	0	-415	0
"50"	49	155	18	255	188	11	14	4	3	11	-659	0	-659	0
"51"	50	23	14	280	227	12	27	8	9	31	-631	0	-631	0
"52"	51	27	1	252	319	2	6	2	1	6	-616	0	-616	0
"53"	52	206	15	37	157	5	12	3	1	10	-446	0	-446	0
"54"	53	181	12	30	22	1	6	4	3	14	-273	0	-273	0
"55"	54	19	1	71	215	2	3	0	1	4	-316	0	-316	0
"56"	55	10	5	179	71	4	7	0	1	8	-285	0	-285	0
"57"	56	12	4	116	284	6	6	3	1	8	-440	0	-440	0
"58"	57	16	3	164	133	7	10	7	4	9	-353	0	-353	0
"59"	58	59	0	29	615	6	6	2	1	1	-719	0	-719	0
