"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Final Result Sheet [SEE RULE 56C(2)( C )]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency / Segment     :-         215807"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly Segment                :-                    196 - SANDESH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(In the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"10"	""	""	"ANIL KUMAR TIWARI"	"KAMLA PRASAD SINGH"	"VIJENDRA KUMAR YADAV"	"DILEEP SINGH"	"MAMTA KUWAR"	"RAMESHWAR PRASAD"	"SHIVJEE SINGH"	"ANIL SAMRAT"	"JHULANI SINGH"	"VIRENDRA KUMAR PANDEY"	"VIJAY YADAV"	"SATYENDRA SINGH"	"SITA RAM SINGH"	""	""	""	""
"11"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"12"	"1"	"P/S BARGAHI"	"5"	"16"	"157"	"2"	"0"	"31"	"5"	"83"	"2"	"3"	"1"	"0"	"5"	"310"	"0"	"310"	"0"
"13"	"2"	"P/S SASARAM(N)"	"9"	"224"	"64"	"9"	"5"	"61"	"18"	"32"	"2"	"5"	"9"	"5"	"16"	"459"	"0"	"459"	"0"
"14"	"3"	"P/S SASARAM(S)"	"11"	"63"	"104"	"10"	"10"	"192"	"41"	"37"	"8"	"8"	"14"	"7"	"24"	"529"	"0"	"529"	"0"
