"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"1"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"3"	"1"	"108"	"85"	"9"	"2"	"3"	"4"	"8"	"3"	"4"	"26"	"379"	"39"	"670"	"0"	"670"	"0"
"4"	"2"	"146"	"106"	"7"	"3"	"1"	"2"	"3"	"3"	"1"	"8"	"222"	"25"	"527"	"0"	"527"	"0"
"5"	"3"	"71"	"9"	"0"	"0"	"0"	"1"	"5"	"3"	"3"	"3"	"198"	"15"	"308"	"0"	"308"	"0"
"6"	"4"	"212"	"88"	"21"	"4"	"4"	"6"	"27"	"9"	"9"	"20"	"274"	"38"	"712"	"0"	"712"	"0"
"7"	"5"	"126"	"26"	"3"	"4"	"4"	"4"	"5"	"3"	"4"	"9"	"299"	"24"	"511"	"0"	"511"	"0"
"8"	"6"	"323"	"157"	"7"	"7"	"2"	"3"	"34"	"4"	"6"	"13"	"19"	"51"	"626"	"0"	"626"	"0"
"9"	"7"	"260"	"124"	"6"	"0"	"4"	"2"	"29"	"1"	"4"	"6"	"13"	"23"	"472"	"0"	"472"	"0"
"10"	"8"	"269"	"173"	"8"	"1"	"0"	"4"	"22"	"1"	"2"	"1"	"9"	"5"	"495"	"0"	"495"	"0"
"11"	"9"	"426"	"190"	"9"	"3"	"7"	"4"	"35"	"1"	"8"	"8"	"224"	"21"	"936"	"0"	"936"	"0"
"12"	"10"	"37"	"228"	"9"	"1"	"3"	"3"	"53"	"4"	"11"	"4"	"103"	"22"	"478"	"0"	"478"	"0"
"13"	"11"	"80"	"67"	"7"	"2"	"5"	"2"	"10"	"3"	"5"	"8"	"345"	"22"	"556"	"0"	"556"	"0"
"14"	"12"	"147"	"157"	"10"	"2"	"5"	"3"	"46"	"33"	"5"	"5"	"100"	"8"	"521"	"0"	"521"	"0"
"15"	"13"	"108"	"12"	"3"	"0"	"0"	"3"	"10"	"2"	"1"	"7"	"366"	"25"	"537"	"0"	"537"	"0"
"16"	"14"	"173"	"30"	"5"	"4"	"4"	"3"	"8"	"33"	"0"	"8"	"284"	"21"	"573"	"0"	"573"	"0"
"17"	"Total"	"2486"	"1452"	"104"	"33"	"42"	"44"	"295"	"103"	"63"	"126"	"2835"	"339"	"7922"	"0"	"7922"	"0"
"18"	"15"	"95"	"38"	"2"	"2"	"3"	"1"	"21"	"5"	"3"	"4"	"214"	"7"	"395"	"0"	"395"	"0"
"19"	"16"	"110"	"52"	"4"	"7"	"1"	"4"	"24"	"19"	"6"	"5"	"241"	"26"	"499"	"0"	"499"	"0"
"20"	"17"	"223"	"93"	"6"	"5"	"2"	"2"	"20"	"51"	"4"	"3"	"84"	"15"	"508"	"0"	"508"	"0"
"21"	"18"	"190"	"76"	"9"	"1"	"3"	"1"	"39"	"15"	"35"	"9"	"174"	"26"	"578"	"0"	"578"	"0"
"22"	"19"	"190"	"36"	"4"	"3"	"0"	"0"	"5"	"46"	"2"	"8"	"18"	"8"	"320"	"0"	"320"	"0"
"23"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"24"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"25"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"26"	"20"	"217"	"58"	"9"	"9"	"6"	"3"	"3"	"5"	"5"	"11"	"299"	"19"	"644"	"0"	"644"	"0"
"27"	"21"	"284"	"32"	"27"	"5"	"1"	"4"	"40"	"10"	"6"	"15"	"225"	"52"	"701"	"0"	"701"	"0"
"28"	"22"	"305"	"111"	"3"	"0"	"4"	"2"	"11"	"101"	"2"	"2"	"183"	"9"	"733"	"0"	"733"	"0"
"29"	"23"	"113"	"96"	"5"	"4"	"11"	"1"	"17"	"2"	"7"	"5"	"374"	"17"	"652"	"0"	"652"	"0"
"30"	"24"	"91"	"61"	"9"	"3"	"2"	"2"	"36"	"5"	"3"	"4"	"257"	"24"	"497"	"0"	"497"	"0"
"31"	"25"	"233"	"224"	"9"	"3"	"9"	"4"	"6"	"2"	"2"	"9"	"215"	"20"	"736"	"0"	"736"	"0"
"32"	"26"	"25"	"52"	"4"	"0"	"0"	"0"	"6"	"0"	"2"	"1"	"368"	"7"	"465"	"0"	"465"	"0"
"33"	"27"	"169"	"130"	"15"	"37"	"6"	"5"	"143"	"7"	"19"	"12"	"111"	"31"	"685"	"0"	"685"	"0"
"34"	"28"	"49"	"91"	"13"	"42"	"9"	"1"	"31"	"120"	"10"	"8"	"115"	"19"	"508"	"0"	"508"	"0"
"35"	"Total"	"2294"	"1150"	"119"	"121"	"57"	"30"	"402"	"388"	"106"	"96"	"2878"	"280"	"7921"	"0"	"7921"	"0"
"36"	"29"	"141"	"96"	"5"	"13"	"1"	"0"	"4"	"1"	"4"	"6"	"210"	"17"	"498"	"0"	"498"	"0"
"37"	"30"	"70"	"31"	"3"	"280"	"20"	"5"	"22"	"81"	"20"	"18"	"48"	"18"	"616"	"0"	"616"	"0"
"38"	"31"	"81"	"62"	"10"	"101"	"10"	"6"	"24"	"12"	"14"	"12"	"152"	"23"	"507"	"0"	"507"	"0"
"39"	"32"	"235"	"26"	"4"	"4"	"4"	"2"	"3"	"1"	"3"	"4"	"191"	"18"	"495"	"0"	"495"	"0"
"40"	"33"	"347"	"19"	"3"	"0"	"2"	"5"	"7"	"5"	"1"	"2"	"121"	"19"	"531"	"0"	"531"	"0"
"41"	"34"	"329"	"52"	"0"	"2"	"0"	"2"	"5"	"3"	"0"	"6"	"169"	"16"	"584"	"0"	"584"	"0"
"42"	"35"	"274"	"79"	"5"	"3"	"0"	"4"	"11"	"5"	"2"	"8"	"275"	"22"	"688"	"0"	"688"	"0"
"43"	"36"	"215"	"100"	"4"	"3"	"8"	"1"	"13"	"4"	"4"	"6"	"269"	"18"	"645"	"0"	"645"	"0"
"44"	"37"	"450"	"35"	"6"	"0"	"3"	"0"	"4"	"2"	"3"	"6"	"140"	"14"	"663"	"0"	"663"	"0"
"45"	"38"	"349"	"30"	"5"	"6"	"5"	"3"	"6"	"2"	"1"	"10"	"148"	"15"	"580"	"0"	"580"	"0"
"46"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"47"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"48"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"49"	"39"	"329"	"59"	"8"	"7"	"1"	"4"	"3"	"1"	"6"	"14"	"295"	"27"	"754"	"0"	"754"	"0"
"50"	"40"	"228"	"20"	"2"	"5"	"0"	"1"	"7"	"5"	"2"	"9"	"357"	"20"	"656"	"0"	"656"	"0"
"51"	"41"	"162"	"50"	"2"	"4"	"1"	"1"	"45"	"3"	"5"	"1"	"259"	"14"	"547"	"0"	"547"	"0"
"52"	"42"	"72"	"64"	"5"	"24"	"1"	"4"	"17"	"6"	"3"	"4"	"103"	"14"	"317"	"0"	"317"	"0"
"53"	"Total"	"3282"	"723"	"62"	"452"	"56"	"38"	"171"	"131"	"68"	"106"	"2737"	"255"	"8081"	"0"	"8081"	"0"
"54"	"43"	"98"	"228"	"7"	"1"	"4"	"2"	"8"	"1"	"3"	"3"	"49"	"18"	"422"	"0"	"422"	"0"
"55"	"44"	"126"	"28"	"2"	"3"	"1"	"1"	"2"	"4"	"1"	"6"	"97"	"8"	"279"	"0"	"279"	"0"
"56"	"45"	"180"	"76"	"9"	"6"	"3"	"7"	"10"	"3"	"9"	"17"	"330"	"34"	"684"	"0"	"684"	"0"
"57"	"46"	"421"	"19"	"1"	"1"	"1"	"0"	"11"	"0"	"3"	"5"	"214"	"11"	"687"	"0"	"687"	"0"
