"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 229-Belaganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	"SURENDRA PRASAD YADAV"	""	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""	""
"8"	"1"	""	"15"	""	""	"8"	""	"114"	""	""	"23"	""	""	"5"	""	""	"297"	""	"4"	""	"1"	""	"0"	""	"3"	""	"470"	""	""	"0"	""	""	"470"	""	""	""	""	""	""	""	""	""	""
"9"	"2"	""	"1"	""	""	"1"	""	"60"	""	""	"6"	""	""	"5"	""	""	"193"	""	"4"	""	"0"	""	"0"	""	"1"	""	"271"	""	""	"0"	""	""	"271"	""	""	""	""	""	""	""	""	""	""
"10"	"3"	""	"16"	""	""	"8"	""	"213"	""	""	"159"	""	""	"11"	""	""	"209"	""	"23"	""	"4"	""	"9"	""	"28"	""	"680"	""	""	"0"	""	""	"680"	""	""	""	""	""	""	""	""	""	""
"11"	"4"	""	"11"	""	""	"7"	""	"120"	""	""	"35"	""	""	"10"	""	""	"158"	""	"10"	""	"8"	""	"7"	""	"10"	""	"376"	""	""	"0"	""	""	"376"	""	""	""	""	""	""	""	""	""	""
"12"	"5"	""	"1"	""	""	"1"	""	"487"	""	""	"4"	""	""	"0"	""	""	"9"	""	"1"	""	"0"	""	"0"	""	"0"	""	"503"	""	""	"0"	""	""	"503"	""	""	""	""	""	""	""	""	""	""
"13"	"6"	""	"5"	""	""	"0"	""	"159"	""	""	"349"	""	""	"5"	""	""	"51"	""	"2"	""	"0"	""	"0"	""	"1"	""	"572"	""	""	"0"	""	""	"572"	""	""	""	""	""	""	""	""	""	""
"14"	"7"	""	"6"	""	""	"54"	""	"110"	""	""	"147"	""	""	"3"	""	""	"38"	""	"4"	""	"1"	""	"2"	""	"1"	""	"366"	""	""	"0"	""	""	"366"	""	""	""	""	""	""	""	""	""	""
"15"	"8"	""	"19"	""	""	"2"	""	"75"	""	""	"114"	""	""	"0"	""	""	"1"	""	"8"	""	"0"	""	"1"	""	"1"	""	"221"	""	""	"0"	""	""	"221"	""	""	""	""	""	""	""	""	""	""
"16"	"9"	""	"0"	""	""	"16"	""	"181"	""	""	"41"	""	""	"1"	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"240"	""	""	"0"	""	""	"240"	""	""	""	""	""	""	""	""	""	""
"17"	"10"	""	"3"	""	""	"2"	""	"133"	""	""	"50"	""	""	"23"	""	""	"0"	""	"5"	""	"1"	""	"0"	""	"3"	""	"220"	""	""	"0"	""	""	"220"	""	""	""	""	""	""	""	""	""	""
"18"	"11"	""	"15"	""	""	"2"	""	"82"	""	""	"129"	""	""	"5"	""	""	"4"	""	"12"	""	"5"	""	"6"	""	"20"	""	"280"	""	""	"0"	""	""	"280"	""	""	""	""	""	""	""	""	""	""
"19"	"12"	""	"20"	""	""	"33"	""	"102"	""	""	"132"	""	""	"28"	""	""	"61"	""	"12"	""	"2"	""	"5"	""	"9"	""	"404"	""	""	"0"	""	""	"404"	""	""	""	""	""	""	""	""	""	""
"20"	"13"	""	"20"	""	""	"29"	""	"70"	""	""	"198"	""	""	"7"	""	""	"3"	""	"10"	""	"3"	""	"0"	""	"4"	""	"344"	""	""	"0"	""	""	"344"	""	""	""	""	""	""	""	""	""	""
"21"	"14"	""	"54"	""	""	"13"	""	"287"	""	""	"338"	""	""	"9"	""	""	"6"	""	"9"	""	"1"	""	"0"	""	"0"	""	"717"	""	""	"0"	""	""	"717"	""	""	""	""	""	""	""	""	""	""
"22"	"Total"	""	"186"	""	""	"176"	""	"2193"	""	""	"1725"	""	""	"112"	""	""	"1030"	""	"105"	""	"26"	""	"30"	""	"81"	""	"5664"	""	""	"0"	""	""	"5664"	""	""	""	""	""	""	""	""	""	""
"23"	"Place           Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Date            27-02-2005                                                                                                                                                                                   Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""	""
"26"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"28"	"15"	"8"	""	""	"5"	""	""	"213"	""	""	"136"	""	""	"6"	""	"12"	""	""	"6"	""	"7"	""	"3"	""	"15"	""	""	"411"	""	""	"0"	""	""	"411"	""	""	""	""	""	""	""	""	""
"29"	"16"	"5"	""	""	"10"	""	""	"298"	""	""	"39"	""	""	"2"	""	"4"	""	""	"4"	""	"2"	""	"1"	""	"4"	""	""	"369"	""	""	"0"	""	""	"369"	""	""	""	""	""	""	""	""	""
"30"	"17"	"8"	""	""	"2"	""	""	"451"	""	""	"89"	""	""	"5"	""	"32"	""	""	"10"	""	"3"	""	"0"	""	"4"	""	""	"604"	""	""	"0"	""	""	"604"	""	""	""	""	""	""	""	""	""
"31"	"18"	"16"	""	""	"6"	""	""	"158"	""	""	"220"	""	""	"6"	""	"65"	""	""	"13"	""	"3"	""	"7"	""	"11"	""	""	"505"	""	""	"0"	""	""	"505"	""	""	""	""	""	""	""	""	""
"32"	"19"	"2"	""	""	"3"	""	""	"534"	""	""	"12"	""	""	"1"	""	"1"	""	""	"0"	""	"1"	""	"0"	""	"1"	""	""	"555"	""	""	"0"	""	""	"555"	""	""	""	""	""	""	""	""	""
"33"	"20"	"37"	""	""	"4"	""	""	"33"	""	""	"198"	""	""	"6"	""	"5"	""	""	"17"	""	"3"	""	"2"	""	"7"	""	""	"312"	""	""	"0"	""	""	"312"	""	""	""	""	""	""	""	""	""
