"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..Tender.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"3"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"4"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"5"	"1"	267	122	12	6	199	9	10	8	6	19	5	"663"	"0"	"663"	"0"
"6"	"2"	230	104	9	3	107	7	10	0	3	14	19	"506"	"0"	"506"	"0"
"7"	"3"	165	6	3	2	244	9	8	1	0	8	10	"456"	"0"	"456"	"0"
"8"	"4"	247	175	14	6	133	6	9	7	8	21	24	"650"	"0"	"650"	"0"
"9"	"5"	116	16	6	4	201	7	15	1	0	13	9	"388"	"0"	"388"	"0"
"10"	"6"	117	54	1	3	185	12	12	2	5	16	25	"432"	"0"	"432"	"0"
"11"	"7"	290	14	1	3	94	9	2	3	2	20	16	"454"	"0"	"454"	"0"
"12"	"8"	198	13	5	2	160	7	9	2	2	15	10	"423"	"0"	"423"	"0"
"13"	"9"	197	41	7	5	118	0	20	5	1	10	9	"413"	"0"	"413"	"0"
"14"	"10"	90	24	10	5	218	8	31	10	8	25	37	"466"	"0"	"466"	"0"
"15"	"11"	239	63	2	0	127	2	14	1	2	1	2	"453"	"0"	"453"	"0"
"16"	"12"	26	53	3	1	330	4	2	2	0	6	4	"431"	"0"	"431"	"0"
"17"	"13"	86	65	8	5	146	9	14	6	4	27	15	"385"	"0"	"385"	"0"
"18"	"14"	84	90	49	8	345	12	34	4	12	42	25	"705"	"0"	"705"	"0"
"19"	"15"	20	118	5	2	128	2	1	2	2	1	0	"281"	"0"	"281"	"0"
"20"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"21"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"22"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"23"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"24"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"25"	"16"	96	94	8	3	108	5	8	1	1	9	12	"345"	"0"	"345"	"0"
"26"	"17"	81	30	6	2	137	13	22	9	9	20	37	"366"	"0"	"366"	"0"
"27"	"18"	142	216	12	1	149	17	61	36	6	28	19	"687"	"0"	"687"	"0"
"28"	"19"	101	113	8	3	100	6	49	2	4	23	23	"432"	"0"	"432"	"0"
"29"	"20"	98	199	13	9	103	7	26	6	11	16	13	"501"	"0"	"501"	"0"
"30"	"21"	145	20	1	7	287	18	11	4	1	19	12	"525"	"0"	"525"	"0"
"31"	"22"	72	131	6	2	137	2	10	5	2	8	8	"383"	"0"	"383"	"0"
"32"	"23"	221	103	6	1	143	8	5	3	2	9	8	"509"	"0"	"509"	"0"
"33"	"24"	28	446	1	0	50	0	1	0	1	3	1	"531"	"0"	"531"	"0"
"34"	"25"	45	257	20	3	129	7	12	3	7	22	18	"523"	"0"	"523"	"0"
"35"	"26"	308	95	18	15	140	4	16	2	1	17	12	"628"	"0"	"628"	"0"
"36"	"27"	37	231	9	3	72	5	8	1	2	13	5	"386"	"0"	"386"	"0"
"37"	"28"	147	291	17	5	131	7	14	2	4	13	27	"658"	"0"	"658"	"0"
"38"	"29"	64	296	11	6	83	4	6	2	3	11	6	"492"	"0"	"492"	"0"
"39"	"30"	49	383	16	7	41	3	1	3	0	4	3	"510"	"0"	"510"	"0"
"40"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"41"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"42"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"43"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"44"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"45"	"31"	29	258	7	3	91	0	4	0	2	9	10	"413"	"0"	"413"	"0"
"46"	"32"	164	175	8	0	90	2	9	1	5	8	7	"469"	"0"	"469"	"0"
"47"	"33"	83	65	10	6	227	15	27	1	1	14	45	"494"	"0"	"494"	"0"
"48"	"34"	133	29	8	3	157	9	7	1	2	8	15	"372"	"0"	"372"	"0"
"49"	"35"	180	82	10	1	191	6	15	4	3	13	23	"528"	"0"	"528"	"0"
"50"	"36"	63	115	4	6	326	5	13	5	7	11	5	"560"	"0"	"560"	"0"
"51"	"37"	181	35	11	7	241	12	35	9	8	29	29	"597"	"0"	"597"	"0"
"52"	"38"	60	33	11	3	137	4	13	0	4	13	1	"279"	"0"	"279"	"0"
"53"	"39"	559	17	1	2	33	1	2	0	0	0	1	"616"	"0"	"616"	"0"
"54"	"40"	194	15	4	0	107	5	15	2	6	10	11	"369"	"0"	"369"	"0"
"55"	"41"	201	25	2	11	230	5	16	4	6	21	35	"556"	"0"	"556"	"0"
"56"	"42"	232	14	2	0	73	1	4	0	1	2	4	"333"	"0"	"333"	"0"
"57"	"43"	202	32	8	3	131	10	10	2	0	7	20	"425"	"0"	"425"	"0"
"58"	"44"	290	14	8	6	174	9	13	3	1	18	12	"548"	"0"	"548"	"0"
"59"	"45"	210	12	3	4	117	4	14	0	2	11	11	"388"	"0"	"388"	"0"
"60"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"61"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"62"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"63"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"64"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"65"	"46"	16	16	6	1	303	1	1	1	1	3	2	"351"	"0"	"351"	"0"
"66"	"47"	11	36	2	0	251	0	2	0	0	1	2	"305"	"0"	"305"	"0"
"67"	"48"	117	22	9	6	72	1	8	7	3	12	19	"276"	"0"	"276"	"0"
"68"	"49"	365	30	7	7	146	7	16	2	1	10	10	"601"	"0"	"601"	"0"
"69"	"50"	62	83	0	1	209	2	2	2	2	2	13	"378"	"0"	"378"	"0"
"70"	"51"	36	48	5	2	599	2	1	1	0	3	4	"701"	"0"	"701"	"0"
"71"	"52"	272	15	3	9	65	0	5	2	2	4	30	"407"	"0"	"407"	"0"
"72"	"53"	231	73	13	10	294	19	15	6	4	34	35	"734"	"0"	"734"	"0"
"73"	"54"	124	14	7	5	181	9	13	4	3	20	21	"401"	"0"	"401"	"0"
"74"	"55"	14	12	0	1	421	1	0	0	0	0	1	"450"	"0"	"450"	"0"
"75"	"56"	250	27	11	3	162	6	14	6	7	14	17	"517"	"0"	"517"	"0"
"76"	"57"	182	35	14	9	221	10	15	4	5	13	16	"524"	"0"	"524"	"0"
"77"	"58"	211	20	29	10	245	14	25	7	9	33	50	"653"	"0"	"653"	"0"
"78"	"59"	184	33	10	8	281	8	21	5	6	27	26	"609"	"0"	"609"	"0"
"79"	"60"	250	47	8	1	126	1	7	2	5	16	16	"479"	"0"	"479"	"0"
"80"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"81"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""	""
"82"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"83"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"84"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	"14"	"15"	"16"
"85"	"61"	323	20	8	6	184	9	13	5	9	29	44	"650"	"0"	"650"	"0"
"86"	"62"	123	42	22	4	104	10	15	11	10	23	35	"399"	"0"	"399"	"0"
"87"	"63"	171	56	3	5	165	3	8	6	5	15	17	"454"	"0"	"454"	"0"
"88"	"64"	232	38	11	5	152	10	12	1	3	12	12	"488"	"0"	"488"	"0"
"89"	"65"	125	59	3	6	327	5	19	2	1	11	15	"573"	"0"	"573"	"0"
"90"	"66"	43	43	3	10	299	11	19	2	4	19	29	"482"	"0"	"482"	"0"
"91"	"67"	38	44	8	8	170	6	16	2	1	14	19	"326"	"0"	"326"	"0"
"92"	"68"	268	24	24	3	175	10	12	5	11	24	20	"576"	"0"	"576"	"0"
"93"	"69"	261	28	3	3	92	0	3	1	3	5	12	"411"	"0"	"411"	"0"
"94"	"70"	124	17	34	4	176	7	22	2	0	7	12	"405"	"0"	"405"	"0"
"95"	"71"	253	12	8	8	163	3	14	3	2	10	31	"507"	"0"	"507"	"0"
"96"	"72"	490	16	6	2	84	5	10	1	5	15	34	"668"	"0"	"668"	"0"
