"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	92	3	150	7	150	1	6	3	3	3	16	34	5	58	54	-585
"4"	"2"	107	6	141	15	240	9	6	11	4	4	15	13	10	22	55	-658
"5"	"3"	16	60	241	3	78	1	1	7	1	1	1	4	3	20	60	-497
"6"	"4"	180	3	60	0	147	5	0	3	1	0	3	12	5	15	278	-712
"7"	"5"	29	285	170	7	8	1	1	3	0	1	4	2	2	20	189	-722
"8"	"6"	83	4	176	7	223	7	7	1	0	0	16	9	3	9	32	-577
"9"	"7"	70	17	105	11	117	12	17	14	9	9	28	16	16	161	88	-690
"10"	"8"	63	305	100	8	100	4	2	3	4	3	20	9	11	36	146	-814
"11"	"9"	10	248	4	2	235	2	14	2	0	2	12	7	2	81	19	-640
"12"	"10"	52	80	46	2	370	3	6	6	0	0	8	5	6	30	13	-627
"13"	"11"	91	27	105	2	15	1	4	0	0	2	6	13	5	129	12	-412
"14"	"12"	2	44	240	2	15	0	0	1	0	0	1	1	0	34	11	-351
"15"	"13"	4	11	355	6	47	1	3	7	0	2	14	13	20	64	160	-707
"16"	"14"	117	13	101	3	226	7	8	1	2	1	21	5	4	24	24	-557
"17"	"15"	106	103	86	5	93	3	5	0	1	5	17	8	9	222	17	-680
"18"	"16"	12	186	51	6	133	2	6	7	3	4	17	3	9	12	65	-516
"19"	"17"	23	60	25	2	65	6	2	3	1	3	33	11	10	166	57	-467
"20"	"18"	17	308	33	4	43	4	5	5	2	3	14	3	7	35	51	-534
"21"	"19"	24	125	50	3	71	6	6	6	0	3	14	8	9	69	71	-465
"22"	"20"	21	132	141	11	189	6	8	6	3	2	24	7	3	85	16	-654
"23"	"21"	45	280	112	4	114	69	14	2	2	6	12	5	3	21	11	-700
"24"	"22"	37	68	156	2	61	0	1	1	0	0	5	4	3	46	1	-385
"25"	"23"	23	258	174	4	47	7	0	2	2	2	16	1	5	15	15	-571
"26"	"24"	87	151	40	2	182	5	4	1	2	3	11	7	3	6	9	-513
"27"	"25"	15	1	276	5	43	7	2	2	0	2	3	4	5	4	5	-374
"28"	"26"	288	122	9	2	37	8	1	1	0	0	3	0	1	4	4	-480
"29"	"27"	37	6	175	2	152	1	6	1	0	4	8	8	5	5	13	-423
"30"	"28"	99	41	154	13	201	10	9	6	4	7	19	8	9	32	19	-631
"31"	"29"	58	49	172	7	114	2	6	3	2	3	19	5	6	10	14	-470
"32"	"30"	9	25	212	20	163	4	8	2	0	1	6	10	6	61	21	-548
"33"	"31"	26	9	101	3	182	2	2	1	1	3	12	12	5	19	11	-389
"34"	"32"	34	29	197	1	145	6	3	2	2	14	13	13	7	4	18	-488
"35"	"33"	119	3	42	5	188	6	8	1	0	3	6	5	4	0	8	-398
"36"	"34"	196	24	64	10	276	10	5	4	1	4	43	7	2	3	17	-666
"37"	"35"	87	30	262	13	211	13	5	4	4	11	27	21	14	7	26	-735
"38"	"36"	174	87	42	2	56	7	5	2	0	1	9	3	8	17	14	-427
"39"	"37"	339	13	95	3	106	8	7	4	2	3	9	11	6	9	20	-635
"40"	"38"	294	14	97	8	208	16	12	5	5	3	20	11	6	6	29	-734
"41"	"39"	466	9	47	2	84	3	7	4	1	0	0	9	1	2	19	-654
"42"	"40"	135	19	179	9	107	5	11	7	5	3	11	7	4	46	20	-568
"43"	"41"	160	15	240	15	90	13	6	8	3	6	6	15	8	9	31	-625
"44"	"42"	41	297	132	2	61	5	5	0	2	3	12	6	8	72	48	-694
"45"	"43"	114	42	149	5	127	7	12	11	1	13	17	16	10	12	38	-574
"46"	"44"	157	268	38	1	85	3	3	2	2	3	13	9	6	6	18	-614
"47"	"45"	120	203	63	9	34	5	3	2	0	3	7	4	3	20	27	-503
"48"	"46"	179	301	178	11	132	5	8	1	4	5	22	17	10	13	14	-900
"49"	"47"	251	410	63	5	55	6	2	0	2	5	10	10	9	29	30	-887
"50"	"48"	201	563	45	3	23	0	3	4	2	0	9	2	0	31	10	-896
"51"	"49"	143	248	38	4	85	6	5	2	4	4	10	18	4	50	23	-644
"52"	"50"	201	184	42	4	31	4	1	2	1	4	5	13	1	19	18	-530
"53"	"51"	163	103	37	1	164	7	8	5	4	1	17	34	9	9	21	-583
"54"	"52"	183	117	83	4	21	9	5	3	3	6	4	6	2	7	17	-470
"55"	"53"	141	8	53	10	117	5	6	1	1	2	6	3	4	7	17	-381
"56"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"58"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	"54"	89	92	240	1	186	2	7	2	3	3	10	4	4	19	16	-678
"60"	"55"	86	31	278	4	184	3	8	9	2	3	13	8	5	8	36	-678
"61"	"56"	57	17	326	9	213	6	12	6	0	0	25	9	5	44	75	-804
"62"	"57"	4	74	120	4	59	3	1	6	1	3	14	11	13	43	204	-560
"63"	"58"	37	16	168	10	87	4	2	6	2	9	12	16	10	67	83	-529
"64"	"59"	264	104	132	10	226	16	6	2	4	6	9	9	10	96	23	-917
"65"	"60"	30	32	409	11	99	2	5	3	1	3	9	3	6	12	12	-637
"66"	"61"	27	35	147	3	73	7	5	6	5	3	8	9	17	59	31	-435
"67"	"62"	2	11	79	2	84	0	4	1	0	0	1	5	1	0	3	-193
"68"	"63"	103	103	68	5	41	5	3	1	1	2	3	7	1	10	32	-385
"69"	"64"	10	170	18	3	243	6	2	1	2	1	5	2	1	6	2	-472
"70"	"65"	44	83	57	4	253	12	3	2	1	2	17	8	3	19	12	-520
"71"	"66"	4	1	481	0	20	1	1	0	0	0	0	0	0	2	2	-512
"72"	"67"	2	28	63	0	738	2	2	1	0	1	1	4	3	18	33	-896
"73"	"68"	11	301	67	3	21	1	2	8	1	2	2	2	5	15	34	-475
"74"	"69"	8	307	100	3	84	3	1	3	0	0	3	2	0	0	8	-522
"75"	"70"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"76"	"71"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"77"	"72"	2	2	608	2	0	0	0	0	0	0	0	0	0	0	14	-628
"78"	"73"	9	478	154	12	8	3	2	2	2	1	1	1	1	7	13	-694
"79"	"74"	9	147	79	3	310	1	6	4	0	1	14	10	4	1	28	-617
"80"	"75"	8	127	159	4	114	4	11	3	1	2	16	4	6	9	13	-481
"81"	"76"	8	132	19	3	74	3	1	7	1	0	4	3	4	7	60	-326
"82"	"77"	6	25	271	10	149	3	2	0	0	2	3	2	4	11	8	-496
"83"	"78"	1	37	153	17	264	2	2	3	2	1	16	8	3	18	5	-532
"84"	"79"	72	213	102	3	62	4	1	2	0	2	5	5	15	26	10	-522
"85"	"80"	28	148	112	5	98	4	3	5	0	2	9	19	1	26	9	-469
"86"	"81"	19	32	198	16	121	5	2	14	1	3	10	3	12	12	195	-643
"87"	"82"	10	23	253	7	6	0	1	13	1	4	6	3	11	8	84	-430
"88"	"83"	2	13	267	14	4	0	0	0	0	0	0	3	12	6	99	-420
"89"	"84"	8	71	204	8	8	0	0	8	0	0	2	2	3	12	187	-513
"90"	"85"	7	140	94	1	28	0	1	3	0	1	8	4	1	15	47	-350
"91"	"86"	14	193	51	4	242	6	10	2	2	5	29	16	9	8	11	-602
"92"	"87"	8	101	44	5	251	11	8	1	4	2	26	16	10	10	15	-512
"93"	"88"	6	70	30	3	109	0	4	0	0	3	8	6	2	6	2	-249
"94"	"89"	9	101	38	2	297	6	9	0	0	1	19	9	6	7	9	-513
