"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 182  -  HARNAUT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency / Segment  :- Name of the Assembly Segment     :-          182  HARNAUT (the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"5"	""	"Upendra Kumar Singh"	"Sita Sharan Bind"	"Sunil Kumar"	"Jitendra Kumar"	"Rakesh Kumar"	"Bishb Mohan Chaudhar y"	"Sudhir Kumar"	"Amar Kant Paswan"	"Arun Kumar Singh"	"Arun Kumar"	"Awadhesh Kumar Nirala"	"Jay Narayan Prasad Sinha"	"Ranjeet Kumar"	"Sindhu Devi"	"Surendra Prasad Akela"	"Surya Prakash Purusharthi"	""	""	""	""	""
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"7"	"1"	"115"	"2"	"109"	"3"	"2"	"1"	"8"	"4"	"0"	"5"	"0"	"1"	"4"	"0"	"2"	"4"	"260"	"0"	"260"	""	""
"8"	"2"	"16"	"121"	"80"	"3"	"5"	"19"	"94"	"4"	"10"	"6"	"2"	"5"	"7"	"13"	"4"	"16"	"405"	"0"	"405"	""	""
"9"	"3"	"123"	"7"	"220"	"2"	"0"	"17"	"47"	"4"	"3"	"5"	"0"	"0"	"0"	"1"	"0"	"2"	"431"	"0"	"431"	""	""
"10"	"4"	"6"	"1"	"473"	"0"	"0"	"44"	"6"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"533"	"0"	"533"	""	""
"11"	"5"	"39"	"198"	"337"	"8"	"0"	"4"	"55"	"6"	"3"	"3"	"2"	"6"	"0"	"4"	"3"	"1"	"669"	"0"	"669"	""	""
"12"	"6"	"13"	"117"	"201"	"1"	"1"	"0"	"85"	"0"	"1"	"0"	"0"	"14"	"0"	"4"	"0"	"1"	"438"	"0"	"438"	""	""
"13"	"7"	"78"	"10"	"638"	"4"	"0"	"0"	"16"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"2"	"753"	"0"	"753"	""	""
"14"	"8"	"56"	"72"	"129"	"1"	"4"	"13"	"41"	"3"	"4"	"5"	"1"	"3"	"1"	"5"	"2"	"3"	"343"	"0"	"343"	""	""
"15"	"9"	"35"	"11"	"279"	"1"	"1"	"14"	"27"	"1"	"3"	"0"	"2"	"1"	"1"	"4"	"0"	"6"	"386"	"0"	"386"	""	""
"16"	"10"	"12"	"31"	"122"	"1"	"1"	"15"	"218"	"3"	"5"	"1"	"3"	"3"	"3"	"5"	"6"	"5"	"434"	"0"	"434"	""	""
"17"	"11"	"12"	"0"	"445"	"1"	"1"	"0"	"9"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"476"	"0"	"476"	""	""
"18"	"12"	"10"	"1"	"174"	"3"	"4"	"1"	"97"	"2"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"300"	"0"	"300"	""	""
"19"	"13"	"11"	"132"	"335"	"2"	"0"	"0"	"20"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"503"	"0"	"503"	""	""
"20"	"14"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	""	""
"21"	"Round- 1"	"526"	"703"	"3543"	"30"	"19"	"128"	"723"	"29"	"32"	"29"	"13"	"38"	"17"	"39"	"18"	"45"	"5932"	"0"	"5932"	""	""
"22"	"15"	"4"	"19"	"256"	"0"	"2"	"0"	"48"	"2"	"3"	"0"	"0"	"5"	"3"	"3"	"0"	"1"	"346"	"0"	"346"	""	""
"23"	"16"	"5"	"23"	"37"	"1"	"0"	"3"	"93"	"1"	"0"	"2"	"0"	"0"	"0"	"4"	"1"	"0"	"170"	"0"	"170"	""	""
"24"	"17"	"7"	"18"	"50"	"2"	"1"	"1"	"40"	"1"	"4"	"3"	"4"	"4"	"2"	"0"	"3"	"3"	"143"	"0"	"143"	""	""
"25"	"18"	"10"	"42"	"181"	"1"	"1"	"2"	"149"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"4"	"396"	"0"	"396"	""	""
"26"	"19"	"182"	"4"	"13"	"116"	"0"	"0"	"27"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"346"	"0"	"346"	""	""
"27"	"20"	"1"	"0"	"199"	"0"	"0"	"0"	"27"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"235"	"0"	"235"	""	""
"28"	"21"	"84"	"27"	"189"	"3"	"1"	"0"	"56"	"3"	"5"	"3"	"2"	"4"	"1"	"5"	"3"	"0"	"386"	"0"	"386"	""	""
"29"	"22"	"55"	"3"	"367"	"6"	"2"	"2"	"64"	"2"	"6"	"5"	"1"	"2"	"1"	"6"	"0"	"1"	"523"	"0"	"523"	""	""
"30"	"23"	"1"	"0"	"398"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"405"	"0"	"405"	""	""
"31"	"24"	"120"	"9"	"150"	"2"	"2"	"0"	"62"	"1"	"0"	"3"	"1"	"1"	"0"	"2"	"0"	"2"	"355"	"0"	"355"	""	""
"32"	"25"	"46"	"2"	"192"	"4"	"8"	"0"	"272"	"1"	"1"	"1"	"2"	"3"	"2"	"3"	"3"	"2"	"542"	"0"	"542"	""	""
"33"	"26"	"33"	"5"	"153"	"0"	"2"	"1"	"302"	"3"	"2"	"2"	"2"	"2"	"1"	"3"	"0"	"0"	"511"	"0"	"511"	""	""
"34"	"27"	"48"	"2"	"335"	"1"	"0"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"396"	"0"	"396"	""	""
"35"	"28"	"0"	"0"	"239"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"243"	"0"	"243"	""	""
"36"	"Round- 2"	"1122"	"857"	"6302"	"167"	"38"	"138"	"1876"	"45"	"62"	"52"	"26"	"60"	"28"	"67"	"29"	"60"	"10929"	"0"	"10929"	""	""
"37"	"29"	"7"	"3"	"475"	"0"	"0"	"0"	"24"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"511"	"0"	"511"	""	""
"38"	"30"	"0"	"3"	"442"	"0"	"1"	"1"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"472"	"0"	"472"	""	""
"39"	"31"	"24"	"13"	"261"	"4"	"8"	"4"	"33"	"3"	"6"	"7"	"1"	"2"	"3"	"8"	"7"	"6"	"390"	"0"	"390"	""	""
"40"	"32"	"3"	"0"	"0"	"0"	"0"	"0"	"340"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"344"	"0"	"344"	""	""
"41"	"33"	"8"	"3"	"151"	"3"	"1"	"1"	"146"	"5"	"3"	"5"	"2"	"2"	"3"	"3"	"0"	"7"	"343"	"0"	"343"	""	""
"42"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"43"	""	"Upendra Kumar Singh"	"Sita Sharan Bind"	"Sunil Kumar"	"Jitendra Kumar"	"Rakesh Kumar"	"Bishb Mohan Chaudhar y"	"Sudhir Kumar"	"Amar Kant Paswan"	"Arun Kumar Singh"	"Arun Kumar"	"Awadhesh Kumar Nirala"	"Jay Narayan Prasad Sinha"	"Ranjeet Kumar"	"Sindhu Devi"	"Surendra Prasad Akela"	"Surya Prakash Purusharthi"	""	""	""	""	""
"44"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"45"	"34"	"20"	"2"	"98"	"1"	"0"	"4"	"95"	"4"	"6"	"6"	"3"	"149"	"5"	"7"	"1"	"10"	"411"	"0"	"411"	""	""
"46"	"35"	"90"	"49"	"50"	"2"	"0"	"0"	"183"	"0"	"2"	"9"	"2"	"2"	"0"	"4"	"1"	"1"	"395"	"0"	"395"	""	""
"47"	"36"	"35"	"28"	"174"	"2"	"4"	"3"	"31"	"5"	"7"	"1"	"1"	"8"	"2"	"5"	"2"	"2"	"310"	"0"	"310"	""	""
"48"	"37"	"68"	"35"	"169"	"6"	"3"	"7"	"73"	"2"	"2"	"3"	"3"	"7"	"6"	"7"	"5"	"5"	"401"	"0"	"401"	""	""
"49"	"38"	"6"	"0"	"146"	"1"	"0"	"1"	"221"	"2"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"2"	"385"	"0"	"385"	""	""
"50"	"39"	"15"	"4"	"233"	"3"	"2"	"28"	"10"	"1"	"1"	"1"	"0"	"0"	"3"	"2"	"0"	"1"	"304"	"0"	"304"	""	""
"51"	"40"	"84"	"4"	"174"	"3"	"0"	"3"	"80"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"7"	"360"	"0"	"360"	""	""
"52"	"41"	"67"	"5"	"114"	"3"	"1"	"7"	"112"	"2"	"3"	"5"	"6"	"11"	"2"	"8"	"5"	"3"	"354"	"0"	"354"	""	""
"53"	"42"	"51"	"7"	"62"	"3"	"0"	"3"	"4"	"0"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"136"	"0"	"136"	""	""
"54"	"Round- 3"	"1600"	"1013"	"8851"	"198"	"58"	"200"	"3253"	"70"	"96"	"92"	"45"	"244"	"54"	"116"	"51"	"104"	"16045"	"0"	"16045"	""	""
"55"	"43"	"13"	"3"	"380"	"0"	"0"	"2"	"30"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"2"	"434"	"0"	"434"	""	""
"56"	"44"	"18"	"60"	"177"	"1"	"0"	"2"	"149"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"412"	"0"	"412"	""	""
"57"	"45"	"41"	"17"	"496"	"5"	"1"	"0"	"26"	"1"	"1"	"2"	"3"	"1"	"5"	"9"	"1"	"0"	"609"	"0"	"609"	""	""
"58"	"46"	"72"	"1"	"192"	"3"	"2"	"28"	"9"	"0"	"1"	"4"	"0"	"2"	"2"	"4"	"2"	"5"	"327"	"0"	"327"	""	""
"59"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"60"	"48"	"8"	"0"	"90"	"5"	"1"	"8"	"54"	"15"	"1"	"3"	"2"	"0"	"0"	"1"	"1"	"1"	"190"	"0"	"190"	""	""
"61"	"49"	"11"	"7"	"345"	"5"	"0"	"34"	"24"	"0"	"1"	"2"	"0"	"5"	"3"	"4"	"1"	"3"	"445"	"0"	"445"	""	""
"62"	"50"	"37"	"5"	"43"	"28"	"4"	"6"	"116"	"7"	"3"	"6"	"6"	"2"	"3"	"5"	"2"	"7"	"280"	"0"	"280"	""	""
"63"	"51"	"0"	"0"	"128"	"1"	"0"	"0"	"77"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"1"	"2"	"216"	"0"	"216"	""	""
"64"	"52"	"11"	"2"	"303"	"4"	"0"	"4"	"22"	"2"	"15"	"4"	"0"	"1"	"1"	"5"	"0"	"4"	"378"	"0"	"378"	""	""
"65"	"53"	"103"	"3"	"107"	"3"	"1"	"14"	"97"	"1"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"335"	"0"	"335"	""	""
"66"	"54"	"23"	"7"	"151"	"0"	"1"	"16"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"0"	"250"	""	""
"67"	"55"	"34"	"12"	"187"	"6"	"2"	"1"	"28"	"1"	"3"	"4"	"0"	"2"	"1"	"5"	"2"	"11"	"299"	"0"	"299"	""	""
"68"	"56"	"12"	"94"	"39"	"2"	"0"	"7"	"13"	"2"	"1"	"0"	"0"	"3"	"1"	"0"	"1"	"4"	"179"	"0"	"179"	""	""
"69"	"Round- 4"	"1983"	"1224"	"11489"	"261"	"70"	"322"	"3950"	"100"	"122"	"120"	"57"	"268"	"73"	"154"	"62"	"144"	"20399"	"0"	"20399"	""	""
"70"	"57"	"79"	"60"	"133"	"18"	"0"	"9"	"8"	"1"	"0"	"0"	"1"	"10"	"0"	"0"	"2"	"3"	"324"	"0"	"324"	""	""
"71"	"58"	"27"	"4"	"368"	"9"	"0"	"4"	"63"	"6"	"1"	"2"	"1"	"0"	"2"	"2"	"1"	"2"	"492"	"0"	"492"	""	""
"72"	"59"	"2"	"0"	"144"	"191"	"1"	"11"	"10"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"365"	"0"	"365"	""	""
"73"	"60"	"199"	"9"	"100"	"4"	"3"	"3"	"120"	"5"	"3"	"5"	"0"	"7"	"4"	"3"	"3"	"17"	"485"	"0"	"485"	""	""
"74"	"61"	"65"	"14"	"385"	"14"	"5"	"4"	"69"	"7"	"12"	"4"	"5"	"12"	"1"	"10"	"3"	"2"	"612"	"0"	"612"	""	""
"75"	"62"	"13"	"4"	"289"	"1"	"1"	"2"	"46"	"4"	"1"	"3"	"1"	"6"	"0"	"1"	"1"	"2"	"375"	"0"	"375"	""	""
"76"	"63"	"11"	"3"	"305"	"3"	"1"	"16"	"32"	"2"	"1"	"3"	"0"	"1"	"1"	"8"	"1"	"0"	"388"	"0"	"388"	""	""
"77"	"64"	"47"	"3"	"344"	"6"	"1"	"1"	"83"	"3"	"4"	"2"	"0"	"4"	"1"	"3"	"1"	"1"	"504"	"0"	"504"	""	""
"78"	"65"	"148"	"1"	"76"	"7"	"1"	"3"	"44"	"2"	"0"	"1"	"0"	"1"	"2"	"3"	"2"	"6"	"297"	"0"	"297"	""	""
"79"	"66"	"20"	"7"	"210"	"1"	"1"	"2"	"45"	"1"	"16"	"1"	"2"	"2"	"2"	"6"	"3"	"6"	"325"	"0"	"325"	""	""
"80"	"67"	"68"	"3"	"338"	"2"	"2"	"4"	"35"	"2"	"6"	"0"	"1"	"5"	"1"	"8"	"0"	"8"	"483"	"0"	"483"	""	""
"81"	"68"	"76"	"72"	"254"	"4"	"1"	"10"	"144"	"4"	"4"	"2"	"1"	"3"	"0"	"3"	"1"	"3"	"582"	"0"	"582"	""	""
"82"	"69"	"26"	"78"	"193"	"6"	"1"	"2"	"160"	"0"	"1"	"0"	"2"	"0"	"0"	"2"	"0"	"3"	"474"	"0"	"474"	""	""
"83"	"70"	"20"	"3"	"432"	"4"	"3"	"3"	"56"	"1"	"6"	"3"	"1"	"3"	"1"	"2"	"0"	"0"	"538"	"0"	"538"	""	""
"84"	"Round- 5"	"2784"	"1485"	"15060"	"531"	"91"	"396"	"4865"	"140"	"177"	"146"	"73"	"323"	"89"	"205"	"81"	"197"	"26643"	"0"	"26643"	""	""
"85"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"86"	""	"Upendra Kumar Singh"	"Sita Sharan Bind"	"Sunil Kumar"	"Jitendra Kumar"	"Rakesh Kumar"	"Bishb Mohan Chaudhar y"	"Sudhir Kumar"	"Amar Kant Paswan"	"Arun Kumar Singh"	"Arun Kumar"	"Awadhesh Kumar Nirala"	"Jay Narayan Prasad Sinha"	"Ranjeet Kumar"	"Sindhu Devi"	"Surendra Prasad Akela"	"Surya Prakash Purusharthi"	""	""	""	""	""
"87"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"88"	"71"	"8"	"3"	"246"	"2"	"2"	"15"	"94"	"3"	"6"	"1"	"2"	"0"	"3"	"2"	"3"	"0"	"390"	"0"	"390"	""	""
"89"	"72"	"40"	"3"	"405"	"1"	"0"	"1"	"97"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"554"	"0"	"554"	""	""
"90"	"73"	"34"	"5"	"322"	"4"	"2"	"1"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"448"	"0"	"448"	""	""
"91"	"74"	"15"	"13"	"474"	"2"	"0"	"23"	"31"	"2"	"12"	"8"	"1"	"3"	"4"	"4"	"1"	"12"	"605"	"0"	"605"	""	""
"92"	"75"	"15"	"33"	"329"	"1"	"0"	"4"	"34"	"6"	"34"	"1"	"4"	"5"	"0"	"3"	"0"	"2"	"471"	"0"	"471"	""	""
"93"	"76"	"32"	"96"	"211"	"3"	"1"	"14"	"3"	"5"	"30"	"2"	"3"	"1"	"0"	"2"	"2"	"9"	"414"	"0"	"414"	""	""
"94"	"77"	"45"	"127"	"35"	"2"	"0"	"14"	"45"	"1"	"3"	"1"	"3"	"0"	"3"	"2"	"8"	"15"	"304"	"0"	"304"	""	""
"95"	"78"	"113"	"28"	"35"	"54"	"2"	"1"	"60"	"6"	"8"	"7"	"3"	"1"	"4"	"5"	"3"	"15"	"345"	"0"	"345"	""	""
"96"	"79"	"60"	"1"	"300"	"4"	"0"	"4"	"58"	"0"	"5"	"0"	"1"	"3"	"0"	"2"	"0"	"0"	"438"	"0"	"438"	""	""
"97"	"80"	"22"	"27"	"192"	"15"	"3"	"8"	"155"	"2"	"5"	"3"	"0"	"5"	"0"	"3"	"3"	"0"	"443"	"0"	"443"	""	""
"98"	"81"	"37"	"1"	"312"	"2"	"2"	"2"	"92"	"2"	"19"	"1"	"3"	"2"	"3"	"7"	"3"	"2"	"490"	"0"	"490"	""	""
"99"	"82"	"4"	"7"	"369"	"8"	"0"	"2"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"401"	"0"	"401"	""	""
"100"	"83"	"5"	"8"	"313"	"2"	"0"	"6"	"33"	"4"	"4"	"6"	"1"	"4"	"2"	"7"	"0"	"3"	"398"	"0"	"398"	""	""
"101"	"84"	"15"	"17"	"366"	"3"	"0"	"0"	"1"	"1"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"412"	"0"	"412"	""	""
"102"	"Round- 6"	"3229"	"1854"	"18969"	"634"	"103"	"491"	"5654"	"174"	"316"	"176"	"95"	"348"	"108"	"243"	"104"	"258"	"32756"	"0"	"32756"	""	""
"103"	"85"	"13"	"0"	"181"	"15"	"1"	"1"	"23"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"238"	"0"	"238"	""	""
"104"	"86"	"385"	"0"	"13"	"5"	"0"	"0"	"10"	"0"	"7"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"421"	"0"	"421"	""	""
"105"	"87"	"225"	"25"	"102"	"1"	"0"	"1"	"13"	"0"	"5"	"0"	"1"	"1"	"0"	"1"	"4"	"4"	"383"	"0"	"383"	""	""
"106"	"88"	"75"	"36"	"120"	"11"	"1"	"3"	"134"	"3"	"13"	"11"	"3"	"0"	"1"	"5"	"0"	"4"	"420"	"0"	"420"	""	""
"107"	"89"	"15"	"58"	"314"	"1"	"2"	"18"	"67"	"1"	"8"	"7"	"3"	"1"	"2"	"4"	"2"	"1"	"504"	"0"	"504"	""	""
"108"	"90"	"29"	"10"	"111"	"1"	"0"	"2"	"10"	"0"	"4"	"1"	"4"	"0"	"1"	"1"	"0"	"0"	"174"	"0"	"174"	""	""
