"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	"izfr{ksfir
erksa  dk la[;k"	""	""	""	";ksx"	""	""	""	""
"2"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	"eukst
dqekj"	""	""	"jke  ujs'k
jke"	""	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	"vuhy
dqekj cSBk"	""	""	"fnfXot;
dqekj"	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	"15"	""	""	""	"16"	""	""	""	""
"4"	"1"	""	"287"	""	""	"8"	""	"11"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"2"	""	""	"25"	""	""	"2"	""	""	"3"	""	"1"	""	""	"10"	""	""	"352"	""	""	""	""	""	"352"	""	""	""	""
"5"	"2"	""	"229"	""	""	"12"	""	"20"	""	""	"6"	""	""	"10"	""	""	"9"	""	""	"1"	""	""	"35"	""	""	"15"	""	""	"2"	""	"4"	""	""	"16"	""	""	"359"	""	""	""	""	""	"359"	""	""	""	""
"6"	"3"	""	"177"	""	""	"20"	""	"15"	""	""	"6"	""	""	"12"	""	""	"43"	""	""	"5"	""	""	"44"	""	""	"23"	""	""	"2"	""	"6"	""	""	"14"	""	""	"367"	""	""	""	""	""	"367"	""	""	""	""
"7"	"4"	""	"244"	""	""	"13"	""	"3"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"3"	""	""	"197"	""	""	"11"	""	""	"0"	""	"0"	""	""	"12"	""	""	"490"	""	""	""	""	""	"490"	""	""	""	""
"8"	"5"	""	"321"	""	""	"15"	""	"4"	""	""	"2"	""	""	"8"	""	""	"10"	""	""	"4"	""	""	"105"	""	""	"21"	""	""	"3"	""	"5"	""	""	"18"	""	""	"516"	""	""	""	""	""	"516"	""	""	""	""
"9"	"6"	""	"149"	""	""	"9"	""	"4"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	"7"	""	""	"109"	""	""	"34"	""	""	"3"	""	"1"	""	""	"2"	""	""	"323"	""	""	""	""	""	"323"	""	""	""	""
"10"	"7"	""	"403"	""	""	"6"	""	"4"	""	""	"1"	""	""	"4"	""	""	"0"	""	""	"5"	""	""	"116"	""	""	"10"	""	""	"2"	""	"2"	""	""	"4"	""	""	"557"	""	""	""	""	""	"557"	""	""	""	""
"11"	"8"	""	"408"	""	""	"15"	""	"6"	""	""	"4"	""	""	"4"	""	""	"7"	""	""	"4"	""	""	"66"	""	""	"28"	""	""	"1"	""	"2"	""	""	"6"	""	""	"551"	""	""	""	""	""	"551"	""	""	""	""
