"PS.NO"	"KAPIL.DEO.RAM"	"BASAWAN.PRASAD.BHAGAT"	"MANOJ.KUMAR.SINGH"	"KUMAR.VIJAY"	"VINAY.KUMAR.CHOUDHARY"	"SHAH.ALAM..SHABBU."	"ARUN.KUMAR.SINGH"	"CHANDESHWAR.RAI"	"DILIP.KUMAR"	"PRAMOD.KR..SHARMA"	"MAHESH.MAHTO"	"LAKHINDRA.PASWAN"	"BINOD.CHAUDHARY"	"BAIDYANATH.THAKUR"	"SHIV.SHANKAR.CHAUDHARY"	"SUDHIR.KUMAR"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"1"	1	10	202	46	5	5	8	0	3	2	1	1	2	144	6	5	15	-455	""	""
"2"	2	0	16	2	1	1	4	2	0	0	0	1	3	397	0	1	3	-431	""	""
"3"	3	2	11	8	4	1	1	1	1	2	0	3	7	289	2	6	5	-343	""	""
"4"	4	36	68	6	3	3	33	2	1	7	2	6	5	175	8	2	12	-369	""	""
"5"	5	4	24	18	1	1	3	0	1	1	3	6	6	242	5	2	9	-326	""	""
"6"	6	8	66	53	8	6	6	1	2	2	2	2	10	421	8	6	9	-610	""	""
"7"	7	0	75	14	2	6	36	4	1	10	4	18	9	201	4	5	3	-392	""	""
"8"	8	16	152	135	8	12	79	3	6	3	11	13	17	195	10	13	11	-684	""	""
"9"	9	17	124	152	13	6	19	5	8	6	13	4	11	110	5	5	8	-506	""	""
"10"	10	9	55	3	0	5	177	3	1	12	2	10	4	23	11	4	8	-327	""	""
"11"	11	10	152	69	1	5	176	1	0	7	2	12	8	83	12	5	18	-561	""	""
"12"	12	1	44	60	1	0	69	4	1	11	1	4	4	129	5	1	6	-341	""	""
"13"	13	13	43	15	2	6	224	0	3	5	6	8	9	124	8	4	8	-478	""	""
"14"	14	4	117	24	2	4	170	2	0	10	3	3	0	54	4	3	4	-404	""	""
"15"	15	11	44	6	3	4	111	3	2	11	3	11	10	195	8	6	9	-437	""	""
"16"	16	35	185	95	9	1	25	3	3	9	5	11	10	53	9	5	25	-483	""	""
"17"	17	43	46	42	8	15	160	10	7	7	12	29	16	54	12	16	26	-503	""	""
"18"	18	16	124	139	9	6	109	3	6	3	6	8	11	85	10	14	17	-566	""	""
"19"	19	1	398	21	1	0	2	0	0	0	0	0	0	3	0	0	7	-433	""	""
"20"	20	12	152	262	4	3	7	3	3	4	7	5	1	58	17	10	10	-558	""	""
"21"	21	17	95	83	9	2	57	3	5	4	8	9	3	7	15	7	8	-332	""	""
"22"	22	12	104	152	9	4	68	2	2	8	4	7	5	10	22	8	9	-426	""	""
"23"	23	3	72	96	5	2	24	1	3	0	3	5	3	166	10	2	4	-399	""	""
