"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[SEE  RULE 56(7) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 170- JAMUI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency- 2,48,526"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"6"	"polling Station"	"NARAYAN
RAO"	"PRAKASH"	"KUMAR
SINGH"	"MANDAL"	"KUMAR
MANDAL"	""	"NANDAN
SINGH"	"KUMAR
BHAGAT"	"RAM"	"CHANDRA
RAM"	"AHMAD"	"valid votes"	"rejected votes"	""	"tendered
votes"	""
"7"	"no."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"9"	"1"	"12"	"51"	"6"	"146"	"11"	""	"7"	"36"	"13"	"3"	"16"	"301"	"&"	"301"	"&"	""
"10"	"2"	"20"	"154"	"8"	"83"	"6"	""	"7"	"25"	"7"	"10"	"33"	"353"	"&"	"353"	"&"	""
"11"	"3"	"6"	"366"	"10"	"108"	"1"	""	"3"	"12"	"2"	"0"	"3"	"511"	"&"	"511"	"&"	""
"12"	"4"	"2"	"407"	"4"	"70"	"1"	""	"0"	"15"	"0"	"1"	"1"	"501"	"&"	"501"	"&"	""
"13"	"5"	"9"	"474"	"6"	"64"	"2"	""	"4"	"36"	"4"	"3"	"13"	"615"	"&"	"615"	"&"	""
"14"	"6"	"18"	"161"	"19"	"183"	"11"	""	"15"	"67"	"10"	"18"	"26"	"528"	"&"	"528"	"&"	""
"15"	"7"	"28"	"155"	"13"	"255"	"15"	""	"19"	"101"	"14"	"4"	"6"	"610"	"&"	"610"	"&"	""
"16"	"8"	"16"	"251"	"14"	"111"	"7"	""	"4"	"45"	"6"	"6"	"19"	"479"	"&"	"479"	"&"	""
"17"	"9"	"5"	"21"	"1"	"596"	"11"	""	"5"	"44"	"4"	"1"	"7"	"695"	"&"	"695"	"&"	""
"18"	"10"	"10"	"35"	"4"	"232"	"5"	""	"6"	"32"	"2"	"0"	"7"	"333"	"&"	"333"	"&"	""
"19"	"11"	"18"	"175"	"9"	"84"	"0"	""	"7"	"24"	"1"	"3"	"4"	"325"	"&"	"325"	"&"	""
"20"	"12"	"6"	"180"	"7"	"264"	"5"	""	"6"	"27"	"3"	"1"	"2"	"501"	"&"	"501"	"&"	""
"21"	"13"	"5"	"119"	"4"	"191"	"8"	""	"3"	"55"	"4"	"2"	"16"	"407"	"&"	"407"	"&"	""
"22"	"14"	"0"	"507"	"11"	"70"	"2"	""	"1"	"8"	"2"	"0"	"1"	"602"	"&"	"602"	"&"	""
"23"	"15"	"19"	"109"	"80"	"265"	"13"	""	"14"	"57"	"4"	"8"	"21"	"590"	"&"	"590"	"&"	""
"24"	"16"	"0"	"675"	"15"	"9"	"0"	""	"1"	"0"	"0"	"0"	"0"	"700"	"&"	"700"	"&"	""
"25"	"17"	"8"	"279"	"7"	"90"	"0"	""	"4"	"28"	"2"	"4"	"13"	"435"	"&"	"435"	"&"	""
"26"	"18"	"0"	"521"	"3"	"1"	"0"	""	"0"	"0"	"0"	"0"	"0"	"525"	"&"	"525"	"&"	""
"27"	"19"	"14"	"40"	"10"	"213"	"3"	""	"9"	"35"	"2"	"1"	"8"	"335"	"&"	"335"	"&"	""
"28"	"20"	"73"	"75"	"13"	"157"	"7"	""	"6"	"98"	"8"	"8"	"11"	"456"	"&"	"456"	"&"	""
"29"	"21"	"6"	"180"	"20"	"109"	"0"	""	"0"	"9"	"0"	"0"	"3"	"327"	"&"	"327"	"&"	""
"30"	"22"	"14"	"264"	"18"	"10"	"2"	""	"1"	"1"	"2"	"4"	"3"	"319"	"&"	"319"	"&"	""
"31"	"23"	"2"	"681"	"4"	"94"	"0"	""	"1"	"6"	"1"	"0"	"0"	"789"	"&"	"789"	"&"	""
"32"	"24"	"6"	"90"	"16"	"697"	"12"	""	"3"	"20"	"0"	"1"	"5"	"850"	"&"	"850"	"&"	""
"33"	"25"	"26"	"62"	"27"	"247"	"9"	""	"10"	"36"	"7"	"9"	"12"	"445"	"&"	"445"	"&"	""
"34"	"26"	"11"	"79"	"9"	"32"	"3"	""	"5"	"12"	"1"	"2"	"4"	"158"	"&"	"158"	"&"	""
"35"	"27"	"0"	"278"	"11"	"20"	"1"	""	"2"	"1"	"0"	"1"	"1"	"315"	"&"	"315"	"&"	""
"36"	"28"	"0"	"716"	"1"	"2"	"0"	""	"1"	"0"	"0"	"0"	"0"	"720"	"&"	"720"	"&"	""
"37"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"39"	"polling Station"	"NARAYAN
RAO"	"PRAKASH"	"KUMAR
SINGH"	"MANDAL"	"KUMAR
MANDAL"	""	"NANDAN
SINGH"	"KUMAR
BHAGAT"	"RAM"	"CHANDRA
RAM"	"AHMAD"	"valid votes"	"rejected votes"	""	"tendered
votes"	""
"40"	"no."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"42"	"29"	"1"	"784"	"1"	"12"	"1"	""	"0"	"0"	"0"	"0"	"1"	"800"	"&"	"800"	"&"	""
"43"	"30"	"2"	"681"	"2"	"7"	"0"	""	"0"	"1"	"0"	"0"	"0"	"693"	"&"	"693"	"&"	""
"44"	"31"	"0"	"764"	"1"	"4"	"0"	""	"0"	"0"	"0"	"0"	"1"	"770"	"&"	"770"	"&"	""
"45"	"32"	"14"	"66"	"7"	"282"	"15"	""	"14"	"65"	"5"	"5"	"28"	"501"	"&"	"501"	"&"	""
"46"	"33"	"0"	"797"	"0"	"0"	"0"	""	"0"	"2"	"0"	"1"	"4"	"804"	"&"	"804"	"&"	""
"47"	"34"	"10"	"161"	"10"	"91"	"0"	""	"3"	"18"	"0"	"4"	"9"	"306"	"&"	"306"	"&"	""
"48"	"35"	"14"	"216"	"5"	"219"	"1"	""	"4"	"22"	"1"	"1"	"3"	"486"	"&"	"486"	"&"	""
"49"	"36"	"2"	"545"	"39"	"141"	"6"	""	"1"	"36"	"0"	"3"	"7"	"780"	"&"	"780"	"&"	""
"50"	"37"	"99"	"316"	"9"	"14"	"0"	""	"2"	"8"	"1"	"0"	"0"	"449"	"&"	"449"	"&"	""
"51"	"38"	"28"	"357"	"23"	"34"	"2"	""	"5"	"13"	"0"	"3"	"3"	"468"	"&"	"468"	"&"	""
"52"	"39"	"16"	"218"	"14"	"368"	"1"	""	"1"	"57"	"3"	"1"	"9"	"688"	"&"	"688"	"&"	""
"53"	"40"	"2"	"607"	"1"	"3"	"0"	""	"1"	"0"	"0"	"0"	"1"	"615"	"&"	"615"	"&"	""
"54"	"41"	"53"	"315"	"39"	"256"	"18"	""	"7"	"51"	"8"	"5"	"9"	"761"	"&"	"761"	"&"	""
"55"	"42"	"24"	"165"	"26"	"543"	"9"	""	"6"	"49"	"6"	"5"	"17"	"850"	"&"	"850"	"&"	""
"56"	"43"	"11"	"111"	"7"	"175"	"5"	""	"4"	"16"	"1"	"1"	"1"	"332"	"&"	"332"	"&"	""
"57"	"44"	"8"	"110"	"21"	"131"	"3"	""	"3"	"48"	"3"	"6"	"14"	"347"	"&"	"347"	"&"	""
"58"	"45"	"10"	"232"	"38"	"228"	"5"	""	"11"	"48"	"9"	"4"	"11"	"596"	"&"	"596"	"&"	""
"59"	"46"	"16"	"130"	"23"	"292"	"15"	""	"12"	"64"	"9"	"6"	"10"	"577"	"&"	"577"	"&"	""
"60"	"47"	"29"	"247"	"12"	"78"	"11"	""	"9"	"25"	"5"	"15"	"30"	"461"	"&"	"461"	"&"	""
"61"	"48"	"16"	"175"	"17"	"68"	"6"	""	"8"	"35"	"7"	"4"	"25"	"361"	"&"	"361"	"&"	""
"62"	"49"	"2"	"391"	"4"	"22"	"0"	""	"0"	"3"	"1"	"0"	"0"	"423"	"&"	"423"	"&"	""
"63"	"50"	"3"	"690"	"4"	"68"	"1"	""	"2"	"15"	"0"	"0"	"1"	"784"	"&"	"784"	"&"	""
"64"	"51"	"3"	"187"	"15"	"209"	"1"	""	"3"	"16"	"11"	"0"	"1"	"446"	"&"	"446"	"&"	""
"65"	"52"	"26"	"51"	"13"	"307"	"9"	""	"19"	"81"	"8"	"7"	"26"	"547"	"&"	"547"	"&"	""
"66"	"53"	"16"	"191"	"15"	"48"	"2"	""	"0"	"6"	"7"	"6"	"8"	"299"	"&"	"299"	"&"	""
"67"	"54"	"0"	"519"	"0"	"9"	"1"	""	"0"	"2"	"0"	"0"	"0"	"531"	"&"	"531"	"&"	""
"68"	"55"	"9"	"99"	"8"	"180"	"11"	""	"14"	"52"	"5"	"3"	"19"	"400"	"&"	"400"	"&"	""
"69"	"56"	"12"	"263"	"10"	"162"	"8"	""	"4"	"29"	"3"	"1"	"8"	"500"	"&"	"500"	"&"	""
"70"	"57"	"3"	"118"	"19"	"130"	"2"	""	"5"	"20"	"0"	"0"	"4"	"301"	"&"	"301"	"&"	""
"71"	"58"	"16"	"149"	"6"	"104"	"5"	""	"4"	"30"	"2"	"3"	"10"	"329"	"&"	"329"	"&"	""
"72"	"59"	"7"	"116"	"3"	"132"	"3"	""	"2"	"29"	"3"	"4"	"14"	"313"	"&"	"313"	"&"	""
"73"	"60"	"9"	"254"	"7"	"102"	"3"	""	"7"	"36"	"8"	"6"	"1"	"433"	"&"	"433"	"&"	""
"74"	"61"	"7"	"75"	"2"	"19"	"1"	""	"1"	"6"	"0"	"0"	"2"	"113"	"&"	"113"	"&"	""
"75"	"62"	"1"	"362"	"1"	"2"	"0"	""	"0"	"0"	"0"	"0"	"0"	"366"	"&"	"366"	"&"	""
"76"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"78"	"polling Station"	"NARAYAN
RAO"	"PRAKASH"	"KUMAR
SINGH"	"MANDAL"	"KUMAR
MANDAL"	""	"NANDAN
SINGH"	"KUMAR
BHAGAT"	"RAM"	"CHANDRA
RAM"	"AHMAD"	"valid votes"	"rejected votes"	""	"tendered
votes"	""
"79"	"no."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"81"	"63"	"7"	"440"	"14"	"60"	"2"	""	"1"	"23"	"1"	"1"	"2"	"551"	"&"	"551"	"&"	""
"82"	"64"	"11"	"416"	"12"	"103"	"2"	""	"0"	"20"	"3"	"2"	"2"	"571"	"&"	"571"	"&"	""
"83"	"65"	"13"	"324"	"8"	"53"	"0"	""	"4"	"11"	"2"	"10"	"9"	"434"	"&"	"434"	"&"	""
"84"	"66"	"3"	"423"	"5"	"13"	"0"	""	"1"	"1"	"0"	"2"	"0"	"448"	"&"	"448"	"&"	""
"85"	"67"	"9"	"379"	"24"	"111"	"1"	""	"5"	"52"	"1"	"4"	"16"	"602"	"&"	"602"	"&"	""
