"PART.I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"4"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"5"	"1"	"122"	"4"	"163"	"159"	"13"	"1"	"3"	"14"	"479"	""	"479"	""
"6"	"2"	"42"	"11"	"158"	"106"	"12"	"13"	"10"	"42"	"394"	""	"394"	""
"7"	"3"	"112"	"3"	"162"	"18"	"1"	"6"	"1"	"12"	"315"	""	"315"	""
"8"	"4"	"140"	"16"	"232"	"123"	"28"	"16"	"16"	"49"	"620"	""	"620"	""
"9"	"5"	"160"	"12"	"292"	"56"	"10"	"11"	"8"	"21"	"570"	""	"570"	""
"10"	"6"	"117"	"20"	"262"	"40"	"7"	"7"	"3"	"11"	"467"	""	"467"	""
"11"	"7"	"206"	"12"	"230"	"11"	"3"	"4"	"0"	"2"	"468"	""	"468"	""
"12"	"8"	"149"	"12"	"111"	"17"	"3"	"5"	"5"	"8"	"310"	""	"310"	""
"13"	"9"	"270"	"7"	"45"	"4"	"4"	"8"	"6"	"14"	"358"	""	"358"	""
"14"	"10"	"117"	"6"	"371"	"17"	"3"	"6"	"4"	"8"	"532"	""	"532"	""
"15"	"11"	"195"	"11"	"214"	"6"	"2"	"2"	"6"	"18"	"454"	""	"454"	""
"16"	"12"	"276"	"16"	"265"	"12"	"7"	"6"	"14"	"17"	"613"	""	"613"	""
"17"	"13"	"143"	"4"	"123"	"11"	"2"	"5"	"3"	"17"	"308"	""	"308"	""
"18"	"14"	"153"	"9"	"505"	"9"	"8"	"1"	"4"	"8"	"697"	""	"697"	""
"19"	"Page Total"	"2202"	"143"	"3133"	"589"	"103"	"91"	"83"	"241"	"6585"	"0"	"6585"	"0"
"20"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"24"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"25"	"B.F."	"2202"	"143"	"3133"	"589"	"103"	"91"	"83"	"241"	"6585"	"0"	"6585"	"0"
"26"	"15"	"155"	"5"	"146"	"70"	"11"	"9"	"9"	"10"	"415"	""	"415"	""
"27"	"16"	"18"	"1"	"428"	"2"	"0"	"1"	"0"	"1"	"451"	""	"451"	""
"28"	"17"	"43"	"3"	"276"	"6"	"5"	"1"	"2"	"4"	"340"	""	"340"	""
"29"	"18"	"11"	"1"	"586"	"3"	"2"	"1"	"0"	"1"	"605"	""	"605"	""
"30"	"19"	"165"	"10"	"284"	"24"	"14"	"9"	"6"	"25"	"537"	""	"537"	""
"31"	"20"	"81"	"9"	"538"	"20"	"6"	"5"	"2"	"8"	"669"	""	"669"	""
"32"	"21"	"175"	"2"	"283"	"9"	"6"	"5"	"5"	"17"	"502"	""	"502"	""
"33"	"22"	"15"	"0"	"735"	"6"	"0"	"4"	"0"	"1"	"761"	""	"761"	""
"34"	"23"	"127"	"4"	"82"	"4"	"0"	"1"	"0"	"3"	"221"	""	"221"	""
"35"	"24"	"383"	"10"	"172"	"16"	"3"	"11"	"4"	"24"	"623"	""	"623"	""
"36"	"25"	"224"	"7"	"91"	"3"	"0"	"2"	"0"	"4"	"331"	""	"331"	""
"37"	"26"	"333"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"349"	""	"349"	""
"38"	"27"	"347"	"4"	"240"	"4"	"0"	"0"	"1"	"5"	"601"	""	"601"	""
"39"	"28"	"595"	"1"	"32"	"1"	"1"	"1"	"0"	"4"	"635"	""	"635"	""
"40"	"Page Total"	"4874"	"200"	"7042"	"757"	"151"	"141"	"112"	"348"	"13625"	"0"	"13625"	"0"
"41"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
