"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 53-PAROO  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 53-PAROO ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT……………………………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"211675"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"PS NO."	"ASHOK KUMAR SINGH"	"MITHILESH PRASAD     YADAV"	"SHANKAR MAHTO"	"JITESH KUMAR"	"MOHAMMAD UMAR ANSARI"	"SHAKTI SAMANT"	"SURENDRA THAKUR"	"DINESH CHAUDHARY"	"DUKHAN RAM"	"RAJENDRA BHAKTA"	"RAJESH KUMAR"	"RAMPRIT RAI"	"RAM VINOD PRASAD SINGH"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"7"	"1"	"101"	"227"	"10"	"13"	"16"	"2"	"5"	"4"	"4"	"8"	"12"	"43"	"33"	"-478"	"0"	"-478"	"NIL"	""
"8"	"2"	"199"	"181"	"64"	"36"	"0"	"0"	"4"	"0"	"1"	"3"	"2"	"1"	"2"	"-493"	"0"	"-493"	"NIL"	""
"9"	"3"	"121"	"201"	"36"	"21"	"1"	"4"	"1"	"2"	"1"	"4"	"9"	"12"	"19"	"-432"	"0"	"-432"	"NIL"	""
"10"	"4"	"70"	"212"	"16"	"32"	"17"	"1"	"4"	"1"	"4"	"4"	"14"	"12"	"16"	"-403"	"0"	"-403"	"NIL"	""
"11"	"5"	"43"	"346"	"33"	"13"	"20"	"3"	"3"	"1"	"2"	"1"	"8"	"4"	"5"	"-482"	"0"	"-482"	"NIL"	""
"12"	"6"	"81"	"291"	"42"	"29"	"8"	"3"	"3"	"2"	"6"	"4"	"13"	"9"	"27"	"-518"	"0"	"-518"	"NIL"	""
"13"	"7"	"51"	"135"	"26"	"8"	"3"	"2"	"2"	"1"	"1"	"3"	"2"	"3"	"0"	"-237"	"0"	"-237"	"NIL"	""
"14"	"8"	"143"	"102"	"5"	"32"	"3"	"6"	"4"	"1"	"6"	"7"	"9"	"9"	"10"	"-337"	"0"	"-337"	"NIL"	""
"15"	"9"	"470"	"42"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"-521"	"0"	"-521"	"NIL"	""
"16"	"10"	"455"	"24"	"4"	"2"	"1"	"0"	"1"	"1"	"2"	"0"	"2"	"10"	"2"	"-504"	"0"	"-504"	"NIL"	""
"17"	"11"	"112"	"181"	"11"	"24"	"4"	"1"	"1"	"2"	"3"	"4"	"4"	"13"	"23"	"-383"	"0"	"-383"	"NIL"	""
"18"	"12"	"16"	"563"	"7"	"3"	"2"	"2"	"1"	"0"	"0"	"0"	"5"	"20"	"2"	"-621"	"0"	"-621"	"NIL"	""
"19"	"13"	"5"	"101"	"4"	"20"	"1"	"4"	"5"	"2"	"1"	"2"	"2"	"1"	"0"	"-148"	"0"	"-148"	"NIL"	""
