"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET SEE RULE 56"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling stations other than notified polling stations) Election to the Vidhan Sabha from the 151-Gopalpur Assembly constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly constituency:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"7"	"1"	"309"	"82"	"9"	"61"	"4"	"2"	"3"	"3"	"2"	"3"	"12"	""	""	"490"	""
"8"	"2"	"489"	"85"	"6"	"26"	"4"	"1"	"3"	"3"	"5"	"6"	"22"	""	""	"650"	""
"9"	"3"	"164"	"154"	"1"	"9"	"1"	"0"	"2"	"2"	"2"	"3"	"15"	""	""	"353"	""
"10"	"4"	"578"	"75"	"2"	"13"	"2"	"4"	"3"	"6"	"6"	"3"	"10"	""	""	"702"	""
"11"	"5"	"405"	"19"	"4"	"31"	"12"	"0"	"0"	"2"	"1"	"5"	"5"	""	""	"484"	""
"12"	"6"	"407"	"11"	"4"	"113"	"3"	"5"	"8"	"1"	"0"	"6"	"14"	""	""	"572"	""
"13"	"7"	"314"	"12"	"2"	"82"	"5"	"6"	"15"	"6"	"4"	"6"	"13"	""	""	"465"	""
"14"	"8"	"237"	"177"	"6"	"18"	"9"	"2"	"3"	"2"	"11"	"15"	"49"	""	""	"529"	""
"15"	"9"	"662"	"45"	"4"	"4"	"3"	"3"	"7"	"0"	"1"	"5"	"16"	""	""	"750"	""
"16"	"10"	"758"	"60"	"7"	"13"	"0"	"0"	"0"	"1"	"3"	"4"	"5"	""	""	"851"	""
"17"	"11"	"521"	"107"	"1"	"4"	"0"	"1"	"1"	"1"	"1"	"3"	"1"	""	""	"641"	""
"18"	"12"	"336"	"285"	"15"	"21"	"2"	"5"	"5"	"5"	"3"	"2"	"5"	""	""	"684"	""
"19"	"13"	"587"	"164"	"5"	"1"	"3"	"3"	"3"	"4"	"9"	"7"	"12"	""	""	"798"	""
"20"	"14"	"763"	"103"	"3"	"0"	"20"	"3"	"0"	"3"	"1"	"0"	"0"	""	""	"896"	""
"21"	"15"	"948"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"966"	""
"22"	"16"	"578"	"57"	"0"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	""	""	"641"	""
"23"	"17"	"83"	"340"	"7"	"5"	"3"	"10"	"1"	"8"	"5"	"4"	"9"	""	""	"475"	""
"24"	"18"	"24"	"287"	"4"	"7"	"4"	"32"	"3"	"2"	"9"	"8"	"11"	""	""	"391"	""
"25"	"19"	"62"	"418"	"22"	"14"	"4"	"20"	"2"	"8"	"7"	"15"	"22"	""	""	"594"	""
"26"	"20"	"138"	"412"	"10"	"3"	"4"	"58"	"6"	"8"	"9"	"17"	"50"	""	""	"715"	""
"27"	"21"	"192"	"207"	"11"	"21"	"10"	"39"	"11"	"9"	"19"	"20"	"52"	""	""	"591"	""
"28"	"22"	"63"	"396"	"12"	"2"	"3"	"7"	"4"	"5"	"3"	"2"	"5"	""	""	"502"	""
"29"	"23"	"76"	"179"	"2"	"47"	"4"	"2"	"1"	"3"	"3"	"3"	"5"	""	""	"325"	""
"30"	"24"	"180"	"413"	"20"	"71"	"9"	"13"	"6"	"18"	"8"	"16"	"17"	""	""	"771"	""
"31"	"25"	"260"	"272"	"8"	"11"	"5"	"5"	"5"	"1"	"7"	"7"	"32"	""	""	"613"	""
"32"	"26"	"230"	"210"	"3"	"4"	"1"	"12"	"1"	"2"	"6"	"3"	"10"	""	""	"482"	""
"33"	"27"	"440"	"2"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"448"	""
"34"	"28"	"190"	"222"	"7"	"23"	"2"	"2"	"2"	"3"	"4"	"8"	"19"	""	""	"482"	""
"35"	"C F"	"9994"	"4812"	"175"	"613"	"118"	"237"	"95"	"106"	"129"	"171"	"411"	""	""	"16861"	""
"36"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"38"	"B F"	"9994"	"4812"	"175"	"613"	"118"	"237"	"95"	"106"	"129"	"171"	"411"	""	""	"16861"	""
"39"	"29"	"286"	"108"	"4"	"28"	"1"	"0"	"1"	"6"	"0"	"1"	"3"	""	""	"438"	""
"40"	"30"	"873"	"13"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"890"	""
"41"	"31"	"516"	"8"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	""	""	"545"	""
"42"	"32"	"49"	"445"	"11"	"59"	"2"	"7"	"7"	"5"	"10"	"17"	"20"	""	""	"632"	""
"43"	"33"	"99"	"222"	"8"	"18"	"1"	"9"	"7"	"6"	"14"	"1"	"25"	""	""	"410"	""
