"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Name of the Assembly :- 86 - GHANSHYAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)]"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"7"	""	""	"Dr. Mahavir Prasad"	"Bijay Shankar Chaudhary"	"Vidya Nand Ram"	"Izhar Ahmad"	"Lakshmi Nayak"	"Amar Nath Nayak"	"Ashok Paswan"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"9"	"1"	"1"	"155"	"130"	"14"	"182"	"17"	"10"	"19"	"527"	"-"	"527"	""
"10"	"2"	"2"	"162"	"208"	"6"	"83"	"8"	"9"	"9"	"485"	"-"	"485"	""
"11"	"3"	"3"	"95"	"437"	"20"	"53"	"1"	"2"	"1"	"609"	"-"	"609"	""
"12"	"4"	"4"	"64"	"330"	"3"	"33"	"4"	"6"	"10"	"450"	"-"	"450"	""
"13"	"5"	"5"	"108"	"173"	"6"	"49"	"4"	"12"	"23"	"375"	"-"	"375"	""
"14"	"6"	"6"	"133"	"50"	"8"	"121"	"16"	"10"	"21"	"359"	"-"	"359"	""
"15"	"7"	"7"	"456"	"58"	"24"	"66"	"9"	"21"	"32"	"666"	"-"	"666"	""
"16"	"8"	"8"	"105"	"319"	"16"	"26"	"12"	"16"	"30"	"524"	"-"	"524"	""
"17"	"9"	"9"	"106"	"261"	"22"	"143"	"16"	"11"	"27"	"586"	"-"	"586"	""
"18"	"10"	"10"	"177"	"211"	"9"	"32"	"11"	"15"	"11"	"466"	"-"	"466"	""
"19"	"11"	"11"	"226"	"16"	"9"	"96"	"8"	"7"	"9"	"371"	"-"	"371"	""
"20"	"12"	"12"	"227"	"120"	"20"	"257"	"23"	"8"	"25"	"680"	"-"	"680"	""
"21"	"13"	"13"	"124"	"38"	"17"	"155"	"9"	"3"	"7"	"353"	"-"	"353"	""
"22"	"14"	"14"	"233"	"131"	"6"	"53"	"6"	"4"	"20"	"453"	"-"	"453"	""
"23"	"15"	"15"	"164"	"15"	"4"	"184"	"14"	"9"	"19"	"409"	"-"	"409"	""
"24"	"16"	"16"	"328"	"32"	"16"	"172"	"13"	"10"	"23"	"594"	"-"	"594"	""
"25"	"17"	"17"	"74"	"241"	"14"	"83"	"7"	"9"	"20"	"448"	"-"	"448"	""
"26"	"18"	"18"	"82"	"293"	"11"	"102"	"7"	"9"	"6"	"510"	"-"	"510"	""
"27"	"19"	"19"	"146"	"225"	"16"	"137"	"18"	"14"	"19"	"575"	"-"	"575"	""
"28"	"20"	"20"	"170"	"162"	"21"	"147"	"13"	"2"	"10"	"525"	"-"	"525"	""
"29"	"21"	"21"	"103"	"381"	"7"	"122"	"7"	"11"	"16"	"647"	"-"	"647"	""
"30"	"22"	"22"	"239"	"16"	"9"	"272"	"22"	"6"	"18"	"582"	"-"	"582"	""
"31"	"23"	"23"	"220"	"22"	"15"	"226"	"12"	"9"	"31"	"535"	"-"	"535"	""
"32"	"24"	"24"	"222"	"19"	"10"	"364"	"15"	"8"	"11"	"649"	"-"	"649"	""
"33"	"25"	"25"	"95"	"380"	"17"	"154"	"10"	"16"	"20"	"692"	"-"	"692"	""
"34"	"26"	"26"	"153"	"67"	"15"	"364"	"33"	"13"	"25"	"670"	"-"	"670"	""
"35"	"27"	"27"	"146"	"36"	"9"	"81"	"8"	"12"	"38"	"330"	"-"	"330"	""
"36"	"28"	"28"	"82"	"33"	"10"	"157"	"15"	"15"	"45"	"357"	"-"	"357"	""
"37"	"29"	"29"	"466"	"40"	"15"	"73"	"14"	"9"	"26"	"643"	"-"	"643"	""
"38"	"30"	"30"	"237"	"17"	"11"	"280"	"23"	"7"	"38"	"613"	"-"	"613"	""
"39"	"31"	"31"	"285"	"68"	"27"	"70"	"12"	"14"	"41"	"517"	"-"	"517"	""
"40"	"32"	"32"	"217"	"197"	"9"	"37"	"7"	"2"	"12"	"481"	"-"	"481"	""
"41"	"33"	"33"	"172"	"13"	"28"	"143"	"14"	"9"	"27"	"406"	"-"	"406"	""
"42"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"43"	""	""	"Dr. Mahavir Prasad"	"Bijay Shankar Chaudhary"	"Vidya Nand Ram"	"Izhar Ahmad"	"Lakshmi Nayak"	"Amar Nath Nayak"	"Ashok Paswan"	""	""	""	""
"44"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"45"	"34"	"34"	"133"	"62"	"33"	"135"	"11"	"10"	"19"	"403"	"-"	"403"	""
