"Booths"	"CANDIDATES"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	231	8	170	15	6	6	6	147	12	4	32	2	7	9	16	-671
"4"	"2"	101	17	246	14	6	4	6	163	11	6	6	4	3	6	10	-603
"5"	"3"	153	6	98	2	1	1	2	100	4	1	4	2	0	3	2	-379
"6"	"4"	45	4	119	3	0	1	0	48	1	3	0	0	1	3	1	-229
"7"	"5"	90	1	42	4	1	2	1	79	10	3	3	0	2	1	7	-246
"8"	"6"	69	5	175	17	3	23	5	149	13	6	7	5	11	10	15	-513
"9"	"7"	124	7	278	11	2	5	4	194	7	3	9	3	17	12	21	-697
"10"	"8"	125	2	91	14	2	3	6	150	16	3	9	3	0	4	7	-435
"11"	"9"	160	6	56	3	2	1	2	167	9	3	21	4	3	7	10	-454
"12"	"10"	210	3	121	10	4	1	2	138	9	5	54	2	7	5	20	-591
"13"	"11"	466	14	194	18	2	3	1	125	7	1	4	3	3	6	10	-857
"14"	"12"	332	21	212	21	6	4	6	54	2	2	1	2	3	2	4	-672
"15"	"13"	32	2	189	3	2	37	2	105	8	1	0	1	2	1	2	-387
"16"	"14"	189	1	136	7	3	2	2	271	9	3	0	2	1	0	4	-630
"17"	"15"	240	29	147	8	1	6	3	253	13	7	23	3	7	28	3	-771
"18"	"16"	122	116	201	13	1	1	1	143	5	4	3	0	3	5	6	-624
"19"	"17"	305	49	122	10	5	1	3	96	4	4	2	5	7	9	20	-642
"20"	"18"	201	19	93	11	1	5	3	234	11	3	4	2	1	6	3	-597
"21"	"19"	55	1	598	4	0	0	1	29	2	2	0	0	1	0	1	-694
"22"	"20"	50	5	289	18	2	3	1	161	15	1	1	0	0	1	1	-548
"23"	"21"	133	3	136	8	1	1	3	52	2	1	3	3	2	2	2	-352
"24"	"22"	111	10	240	16	3	1	5	245	17	7	8	0	3	8	5	-679
"25"	"23"	201	3	24	2	0	0	2	15	2	0	3	1	1	0	1	-255
"26"	"24"	147	6	240	6	0	4	2	52	6	1	12	1	12	5	2	-496
"27"	"25"	317	12	144	4	5	4	4	92	2	1	11	4	10	6	21	-637
"28"	"26"	73	9	273	12	1	8	0	87	10	4	6	4	12	17	11	-527
"29"	"27"	90	1	72	3	1	9	5	450	23	5	3	2	7	7	17	-695
"30"	"28"	243	5	53	6	1	1	4	176	12	1	13	1	4	4	10	-534
"31"	"29"	98	8	167	6	0	0	4	102	2	7	8	1	1	7	3	-414
"32"	"30"	16	1	240	1	0	1	1	184	13	1	9	1	0	1	4	-473
"33"	"31"	161	6	123	1	2	2	1	104	5	6	16	2	2	3	4	-438
"34"	"32"	121	6	110	5	4	1	2	141	9	0	1	0	3	1	7	-411
"35"	"33"	183	6	114	4	14	5	3	97	5	4	10	1	2	3	7	-458
"36"	"34"	211	6	204	5	2	2	0	72	5	3	30	1	7	11	12	-571
"37"	"35"	43	2	106	4	1	0	2	34	1	1	9	3	3	4	1	-214
"38"	"36"	308	3	50	1	4	0	1	37	2	3	8	0	2	0	2	-421
"39"	"37"	93	12	218	11	3	2	2	229	21	6	3	2	7	8	9	-626
"40"	"38"	204	6	147	7	2	0	3	36	6	0	0	2	1	5	4	-423
"41"	"38A"	126	6	130	7	0	2	1	85	8	2	5	2	7	7	6	-394
"42"	"39"	336	3	165	5	0	0	1	77	7	5	0	2	4	4	13	-622
"43"	"40"	288	4	153	3	2	0	0	14	0	1	2	0	1	1	6	-475
"44"	"41"	475	6	234	6	0	0	0	20	1	0	1	1	0	3	0	-747
"45"	"42"	192	2	123	2	0	0	1	35	4	0	2	1	3	2	12	-379
"46"	"43"	82	6	377	20	2	1	0	55	2	1	0	4	9	6	5	-570
"47"	"44"	307	6	292	16	5	2	3	40	2	5	1	3	3	3	3	-691
"48"	"45"	328	0	125	3	1	0	0	1	1	0	1	0	0	2	2	-464
"49"	"46"	414	1	99	2	1	2	0	3	1	0	0	0	2	0	4	-529
"50"	"47"	610	4	215	4	0	1	2	10	0	0	0	1	1	0	4	-852
"51"	"48"	198	4	226	6	1	0	0	8	1	0	1	1	2	1	5	-454
"52"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"53"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
"54"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"55"	"49"	257	5	221	5	3	0	11	14	1	1	0	0	2	2	2	-524
"56"	"50"	154	4	135	7	1	1	14	23	0	0	1	2	0	1	1	-344
"57"	"51"	235	4	230	9	1	0	1	8	1	0	1	1	1	2	1	-495
"58"	"52"	140	2	261	8	0	2	1	67	4	2	1	0	2	4	4	-498
"59"	"53"	204	1	115	3	0	0	1	12	0	1	0	0	1	2	6	-346
"60"	"54"	196	9	186	5	0	0	2	74	0	0	2	1	1	2	4	-482
"61"	"55"	472	4	150	4	4	0	2	9	3	3	1	2	1	3	10	-668
"62"	"56"	290	1	125	6	0	0	1	8	0	1	2	0	2	4	8	-448
"63"	"57"	296	5	197	4	1	0	0	18	1	1	3	0	3	1	6	-536
"64"	"58"	247	1	71	1	5	1	0	37	2	0	0	1	0	1	4	-371
"65"	"59"	282	2	81	2	1	0	0	28	0	0	1	0	1	1	2	-401
"66"	"60"	303	13	140	12	5	5	4	84	9	3	1	3	4	5	16	-607
"67"	"61"	309	3	125	7	0	1	3	138	11	2	2	0	7	7	15	-630
"68"	"62"	321	4	258	3	4	1	1	47	3	1	6	2	9	5	14	-679
"69"	"63"	268	4	81	11	1	3	0	87	4	2	1	1	1	3	3	-470
"70"	"64"	389	5	105	8	3	2	8	98	7	3	5	6	7	10	10	-666
"71"	"65"	248	3	146	2	1	2	1	56	7	3	0	2	1	0	1	-473
"72"	"66"	472	5	195	6	0	4	0	12	2	0	2	2	1	4	3	-708
"73"	"67"	288	1	186	2	6	1	1	24	0	0	2	0	1	1	2	-515
"74"	"68"	61	2	437	4	1	1	0	77	1	1	0	2	1	2	5	-595
"75"	"69"	185	1	91	1	0	0	0	23	0	0	0	0	1	1	1	-304
"76"	"70"	56	3	397	6	0	0	0	54	2	1	1	1	5	3	1	-530
"77"	"71"	184	3	208	7	1	0	0	85	2	2	0	2	2	4	13	-513
"78"	"72"	374	4	83	5	7	1	1	19	1	2	2	1	2	0	2	-504
"79"	"73"	242	4	129	6	7	0	2	155	7	0	0	1	1	0	0	-554
"80"	"74"	75	1	45	4	0	0	0	26	0	0	0	0	0	0	0	-151
"81"	"75"	398	3	53	4	6	0	1	10	0	0	4	1	0	3	2	-485
"82"	"76"	384	0	40	0	0	23	0	17	0	0	0	0	0	1	1	-466
"83"	"77"	441	2	28	1	16	1	1	5	0	0	7	0	0	0	2	-504
"84"	"78"	387	2	34	2	2	1	0	28	2	0	1	0	0	0	0	-459
"85"	"79"	288	10	88	3	16	2	2	55	3	2	8	1	3	5	4	-490
"86"	"80"	406	3	57	3	6	2	0	64	7	3	3	0	2	1	0	-557
"87"	"81"	238	4	54	1	8	1	3	26	0	1	1	0	1	0	2	-340
"88"	"82"	230	0	86	2	3	1	1	53	3	0	3	0	1	2	2	-387
"89"	"83"	201	8	170	4	7	0	1	36	1	2	1	0	0	0	2	-433
"90"	"84"	413	1	117	4	16	0	1	25	1	0	4	0	1	1	1	-585
"91"	"85"	410	6	198	8	16	0	2	76	2	0	0	1	1	1	1	-722
"92"	"86"	588	2	62	9	19	0	1	88	7	3	0	0	2	7	5	-793
"93"	"87"	331	3	107	4	16	2	1	76	3	1	0	3	2	1	3	-553
"94"	"88"	424	5	47	0	2	1	0	33	0	0	2	1	0	2	1	-518
