"X.Statutory.Rules.and.Order........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"6"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"8"	"1"	"225"	"6"	"24"	"24"	"77"	"108"	"9"	"14"	"7"	"7"	"8"	"4"	"154"	"3"	"7"	"8"	"685"	""	"685"	""
"9"	"2"	"16"	"3"	"6"	"8"	"35"	"180"	"3"	"3"	"8"	"5"	"13"	"4"	"114"	"2"	"0"	"3"	"403"	""	"403"	""
"10"	"3"	"98"	"3"	"6"	"26"	"13"	"112"	"4"	"10"	"2"	"7"	"6"	"5"	"125"	"2"	"4"	"7"	"430"	""	"430"	""
"11"	"4"	"104"	"3"	"67"	"3"	"5"	"156"	"3"	"7"	"6"	"9"	"6"	"6"	"231"	"11"	"6"	"10"	"633"	""	"633"	""
"12"	"5"	"161"	"6"	"195"	"17"	"15"	"107"	"4"	"30"	"9"	"12"	"11"	"9"	"153"	"7"	"5"	"9"	"750"	""	"750"	""
"13"	"6"	"42"	"6"	"2"	"25"	"8"	"49"	"2"	"5"	"5"	"2"	"4"	"3"	"165"	"1"	"2"	"3"	"324"	""	"324"	""
"14"	"7"	"30"	"4"	"4"	"11"	"34"	"121"	"8"	"8"	"5"	"9"	"11"	"3"	"352"	"2"	"1"	"5"	"608"	""	"608"	""
"15"	"8"	"7"	"4"	"4"	"3"	"20"	"487"	"7"	"8"	"6"	"11"	"9"	"4"	"162"	"4"	"2"	"5"	"743"	""	"743"	""
"16"	"9"	"17"	"11"	"5"	"7"	"54"	"353"	"7"	"14"	"9"	"17"	"15"	"12"	"129"	"6"	"4"	"15"	"675"	""	"675"	""
"17"	"10"	"133"	"6"	"2"	"4"	"35"	"86"	"11"	"9"	"15"	"6"	"7"	"8"	"301"	"13"	"8"	"18"	"662"	""	"662"	""
"18"	"11"	"40"	"2"	"6"	"13"	"7"	"230"	"1"	"17"	"11"	"2"	"17"	"2"	"310"	"7"	"1"	"5"	"671"	""	"671"	""
"19"	"12"	"14"	"2"	"2"	"3"	"6"	"130"	"0"	"6"	"6"	"12"	"5"	"3"	"550"	"5"	"3"	"8"	"755"	""	"755"	""
"20"	"13"	"30"	"2"	"1"	"14"	"20"	"150"	"5"	"10"	"3"	"4"	"8"	"7"	"439"	"7"	"0"	"2"	"702"	""	"702"	""
"21"	"14"	"15"	"7"	"1"	"8"	"63"	"236"	"4"	"8"	"7"	"9"	"12"	"9"	"233"	"8"	"5"	"110"	"735"	""	"735"	""
"22"	"Current Round Total"	"932"	"65"	"325"	"166"	"392"	"2505"	"68"	"149"	"99"	"112"	"132"	"79"	"3418"	"78"	"48"	"208"	"8776"	"0"	"8776"	"0"
"23"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"131-SIKTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"(Statutory Rules and Order)                                                       ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"31"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"32"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"33"	"15"	"28"	"4"	"6"	"11"	"8"	"14"	"2"	"20"	"2"	"4"	"3"	"9"	"671"	"6"	"3"	"26"	"817"	""	"817"	""
"34"	"16"	"31"	"8"	"7"	"21"	"74"	"243"	"8"	"18"	"16"	"12"	"16"	"13"	"118"	"6"	"1"	"9"	"601"	""	"601"	""
"35"	"17"	"30"	"3"	"0"	"10"	"8"	"163"	"10"	"10"	"5"	"6"	"5"	"34"	"163"	"0"	"3"	"4"	"454"	""	"454"	""
"36"	"18"	"6"	"6"	"5"	"6"	"37"	"148"	"3"	"12"	"10"	"3"	"8"	"9"	"500"	"4"	"3"	"9"	"769"	""	"769"	""
