"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"3"	"1"	"115"	"163"	"11"	"265"	"22"	"15"	"5"	"10"	"8"	"81"	"695"	""	"695"	""
"4"	"2"	"79"	"233"	"17"	"284"	"15"	"9"	"3"	"11"	"7"	"54"	"712"	""	"712"	""
"5"	"3"	"92"	"156"	"14"	"137"	"13"	"6"	"5"	"4"	"5"	"97"	"529"	""	"529"	""
"6"	"4"	"57"	"267"	"12"	"70"	"1"	"2"	"1"	"1"	"3"	"3"	"417"	""	"417"	""
"7"	"5"	"43"	"295"	"23"	"105"	"6"	"8"	"7"	"5"	"7"	"79"	"578"	""	"578"	""
"8"	"6"	"54"	"380"	"21"	"10"	"2"	"3"	"1"	"8"	"14"	"38"	"531"	""	"531"	""
"9"	"7"	"58"	"469"	"32"	"36"	"3"	"8"	"7"	"6"	"7"	"24"	"650"	""	"650"	""
"10"	"8"	"25"	"519"	"19"	"32"	"2"	"3"	"4"	"2"	"0"	"9"	"615"	""	"615"	""
"11"	"9"	"28"	"694"	"27"	"125"	"16"	"6"	"5"	"0"	"1"	"8"	"910"	""	"910"	""
"12"	"10"	"57"	"194"	"13"	"47"	"7"	"7"	"6"	"4"	"5"	"13"	"353"	""	"353"	""
"13"	"11"	"5"	"84"	"4"	"11"	"1"	"2"	"2"	"2"	"1"	"222"	"334"	""	"334"	""
"14"	"12"	"24"	"211"	"32"	"182"	"8"	"4"	"7"	"2"	"3"	"6"	"479"	""	"479"	""
"15"	"13"	"50"	"304"	"14"	"88"	"8"	"14"	"13"	"18"	"13"	"125"	"647"	""	"647"	""
"16"	"14"	"23"	"154"	"11"	"211"	"23"	"7"	"4"	"4"	"7"	"91"	"535"	""	"535"	""
"17"	"Total Round 1"	"710"	"4123"	"250"	"1603"	"127"	"94"	"70"	"77"	"81"	"850"	"7985"	"0"	"7985"	"0"
