"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Final  Result Sheet [See Rule 56c(2)c]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Total No Electors in Assembly Constituency        236297"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly Constituency                 169-Surajgarha"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Booth"	"UDAYA"	"UPENDRA"	"PRAHLAD"	"PREM"	"ANIL"	"CHANDRA"	"MADAN"	"SATISH"	"ABADH"	"AWDHESH"	"CHANDA"	"NAGO"	"MANOJ"	"RAKESH"	"TOTAL"	"NO OF"	"TOTAL"	"NO OF"
"5"	"No"	"UDIT RAY"	"PRASAD"	"YADAV"	"RANJAN"	"KUMAR"	"DEO YADAV"	"MOHAN"	"KUMAR"	"KISHORE"	"KUMAR SINGH"	"DEVI"	"MISTIRI"	"KUMAR"	"PATEL"	"VALID"	"REJECTED"	""	"TENDER"
"6"	""	""	"SINGH"	""	"PATEL"	"SINGH"	""	"RAM"	""	"PRASAD"	""	""	""	""	""	"VOTES"	"VOTES"	""	"ED"
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VOTES"
"8"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"9"	"1"	"2"	"1"	"134"	"24"	"4"	"0"	"0"	"5"	"0"	"0"	"1"	"4"	"0"	"1"	"176"	"0"	"176"	"0"
"10"	"2"	"1"	"3"	"84"	"168"	"11"	"4"	"1"	"38"	"1"	"3"	"17"	"2"	"6"	"6"	"345"	"0"	"345"	"0"
"11"	"3"	"1"	"2"	"72"	"209"	"7"	"1"	"23"	"23"	"5"	"1"	"6"	"2"	"3"	"6"	"361"	"0"	"361"	"0"
"12"	"4"	"7"	"6"	"183"	"100"	"5"	"2"	"18"	"7"	"2"	"4"	"1"	"1"	"1"	"2"	"339"	"0"	"339"	"0"
"13"	"5"	"2"	"2"	"91"	"150"	"6"	"3"	"1"	"8"	"0"	"3"	"9"	"5"	"2"	"13"	"295"	"0"	"295"	"0"
"14"	"6"	"5"	"2"	"36"	"383"	"14"	"0"	"0"	"3"	"2"	"1"	"5"	"5"	"2"	"6"	"464"	"0"	"464"	"0"
"15"	"7"	"14"	"10"	"225"	"20"	"8"	"35"	"2"	"9"	"1"	"2"	"8"	"8"	"6"	"11"	"359"	"0"	"359"	"0"
"16"	"8"	"6"	"1"	"87"	"191"	"9"	"67"	"3"	"9"	"1"	"2"	"3"	"6"	"5"	"4"	"394"	"0"	"394"	"0"
"17"	"8A"	"1"	"4"	"52"	"153"	"2"	"24"	"1"	"3"	"0"	"0"	"3"	"2"	"0"	"3"	"248"	"0"	"248"	"0"
"18"	"9"	"1"	"2"	"20"	"367"	"11"	"0"	"3"	"79"	"0"	"0"	"8"	"2"	"2"	"0"	"495"	"0"	"495"	"0"
"19"	"10"	"4"	"1"	"73"	"160"	"10"	"1"	"1"	"34"	"1"	"0"	"4"	"2"	"0"	"1"	"292"	"0"	"292"	"0"
"20"	"11"	"5"	"8"	"6"	"295"	"12"	"3"	"3"	"18"	"4"	"9"	"18"	"9"	"5"	"16"	"411"	"0"	"411"	"0"
"21"	"12"	"3"	"5"	"9"	"325"	"19"	"1"	"4"	"2"	"2"	"10"	"89"	"5"	"2"	"2"	"478"	"0"	"478"	"0"
"22"	"13"	"3"	"3"	"14"	"402"	"5"	"0"	"0"	"5"	"0"	"1"	"9"	"0"	"1"	"4"	"447"	"0"	"447"	"0"
"23"	"14"	"5"	"3"	"211"	"62"	"9"	"2"	"1"	"18"	"1"	"5"	"9"	"1"	"3"	"12"	"342"	"0"	"342"	"0"
"24"	"15"	"1"	"3"	"25"	"118"	"5"	"1"	"2"	"8"	"2"	"4"	"9"	"0"	"1"	"3"	"182"	"0"	"182"	"0"
"25"	"16"	"1"	"0"	"68"	"299"	"20"	"1"	"1"	"18"	"0"	"1"	"9"	"1"	"0"	"2"	"421"	"0"	"421"	"0"
"26"	"17"	"3"	"2"	"57"	"233"	"8"	"4"	"18"	"101"	"2"	"6"	"37"	"4"	"4"	"6"	"485"	"0"	"485"	"0"
"27"	"18"	"1"	"0"	"13"	"5"	"5"	"0"	"1"	"28"	"2"	"3"	"9"	"8"	"2"	"5"	"82"	"0"	"82"	"0"
"28"	"19"	"5"	"3"	"116"	"153"	"11"	"4"	"6"	"205"	"7"	"9"	"51"	"19"	"8"	"15"	"612"	"0"	"612"	"0"
"29"	"20"	"7"	"4"	"226"	"107"	"6"	"4"	"0"	"23"	"1"	"7"	"4"	"5"	"4"	"16"	"414"	"0"	"414"	"0"
"30"	"21"	"31"	"17"	"323"	"44"	"16"	"9"	"6"	"27"	"3"	"14"	"16"	"12"	"10"	"38"	"566"	"0"	"566"	"0"
"31"	"22"	"11"	"6"	"353"	"67"	"5"	"15"	"1"	"18"	"4"	"4"	"5"	"8"	"7"	"18"	"522"	"0"	"522"	"0"
"32"	"23"	"9"	"8"	"330"	"33"	"5"	"31"	"4"	"50"	"8"	"8"	"13"	"17"	"5"	"19"	"540"	"0"	"540"	"0"
"33"	"24"	"20"	"3"	"133"	"28"	"2"	"2"	"3"	"7"	"0"	"3"	"4"	"4"	"1"	"9"	"219"	"0"	"219"	"0"
