"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"BOOTH    NO"	"ANIL KUMAR"	"MANINDRA KUMAR MANDAL"	"SIYARAM YADAV"	"RAMENDRA NARAYAN YADAV"	"SANJAY KUMAR YADAV"	"SURENDRA KUMAR"	"DR. ARUN KUMAR MANDAL"	"EKANAN KUWAR"	"CHANDRASHE KHAR YADAV"	"ZAHIR ABBAS"	"MITHILESH KUMAR"	"RAJEEV JOSHI"	"VANSHIDHAR SINGH"	"VIPIN KUMAR"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"2"	"1"	"4"	"9"	"55"	"8"	"4"	"5"	"22"	"13"	"203"	"5"	"3"	"3"	"3"	"16"	"353"	"0"	"0"	"353"	"0"
"3"	"2"	"1"	"10"	"180"	"4"	"2"	"2"	"10"	"6"	"98"	"2"	"2"	"6"	"4"	"15"	"342"	"0"	"0"	"342"	"0"
"4"	"3"	"8"	"71"	"134"	"3"	"3"	"4"	"12"	"9"	"174"	"7"	"3"	"9"	"5"	"3"	"445"	"0"	"0"	"445"	"0"
"5"	"4"	"3"	"45"	"227"	"8"	"5"	"0"	"14"	"1"	"162"	"6"	"1"	"5"	"2"	"7"	"486"	"0"	"0"	"486"	"0"
"6"	"5"	"12"	"356"	"82"	"39"	"11"	"3"	"15"	"9"	"33"	"9"	"4"	"21"	"8"	"17"	"619"	"0"	"0"	"619"	"0"
"7"	"6"	"7"	"130"	"70"	"11"	"7"	"3"	"7"	"4"	"55"	"3"	"1"	"6"	"3"	"5"	"312"	"0"	"0"	"312"	"0"
"8"	"7"	"8"	"163"	"100"	"10"	"5"	"11"	"18"	"10"	"79"	"6"	"5"	"33"	"1"	"5"	"454"	"0"	"0"	"454"	"0"
"9"	"8"	"1"	"415"	"112"	"15"	"14"	"8"	"21"	"2"	"135"	"2"	"1"	"13"	"2"	"1"	"742"	"0"	"0"	"742"	"0"
"10"	"9"	"2"	"80"	"85"	"7"	"3"	"0"	"18"	"2"	"45"	"1"	"1"	"3"	"2"	"3"	"252"	"0"	"0"	"252"	"0"
"11"	"10"	"34"	"146"	"241"	"24"	"8"	"6"	"24"	"7"	"41"	"1"	"8"	"19"	"9"	"3"	"571"	"0"	"0"	"571"	"0"
"12"	"11"	"17"	"97"	"178"	"7"	"0"	"13"	"2"	"2"	"72"	"1"	"8"	"3"	"3"	"4"	"407"	"0"	"0"	"407"	"0"
"13"	"12"	"33"	"94"	"182"	"13"	"27"	"5"	"37"	"4"	"48"	"0"	"4"	"4"	"2"	"6"	"459"	"0"	"0"	"459"	"0"
"14"	"13"	"2"	"45"	"271"	"12"	"4"	"5"	"117"	"8"	"114"	"3"	"5"	"18"	"8"	"24"	"636"	"0"	"0"	"636"	"0"
"15"	"14"	"3"	"48"	"145"	"7"	"25"	"4"	"90"	"4"	"186"	"4"	"4"	"12"	"5"	"10"	"547"	"0"	"0"	"547"	"0"
"16"	"ROUND 1"	"135"	"1709"	"2062"	"168"	"118"	"69"	"407"	"81"	"1445"	"50"	"50"	"155"	"57"	"119"	"6625"	"0"	"0"	"6625"	"0"
"17"	"15"	"9"	"44"	"236"	"7"	"2"	"10"	"70"	"5"	"119"	"6"	"3"	"15"	"3"	"7"	"536"	"0"	"0"	"536"	"0"
"18"	"16"	"26"	"448"	"12"	"12"	"4"	"5"	"39"	"0"	"35"	"0"	"3"	"5"	"3"	"23"	"615"	"0"	"0"	"615"	"0"
"19"	"17"	"12"	"271"	"61"	"23"	"38"	"9"	"12"	"5"	"80"	"8"	"7"	"22"	"1"	"11"	"560"	"0"	"0"	"560"	"0"
"20"	"18"	"13"	"135"	"119"	"15"	"31"	"7"	"11"	"5"	"114"	"2"	"8"	"117"	"4"	"5"	"586"	"0"	"0"	"586"	"0"
"21"	"19"	"15"	"250"	"43"	"12"	"10"	"53"	"7"	"4"	"124"	"3"	"7"	"8"	"2"	"18"	"556"	"0"	"0"	"556"	"0"
"22"	"20"	"21"	"129"	"28"	"13"	"5"	"6"	"63"	"7"	"220"	"5"	"2"	"9"	"9"	"4"	"521"	"0"	"0"	"521"	"0"
"23"	"21"	"9"	"44"	"85"	"6"	"1"	"8"	"5"	"7"	"248"	"7"	"5"	"4"	"3"	"13"	"445"	"0"	"0"	"445"	"0"
"24"	"22"	"1"	"79"	"66"	"3"	"1"	"37"	"35"	"1"	"27"	"1"	"4"	"4"	"0"	"8"	"267"	"0"	"0"	"267"	"0"
