"Election.to.the.Bihar.Legislative.Assembly.from.the.236.Barachatti..SC..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……           1"	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"4"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"6"	"1"	"1"	"706"	"89"	"2"	"3"	"8"	"809"	"0"	"809"	""
"7"	"2"	"1"	"529"	"144"	"3"	"9"	"7"	"693"	"0"	"693"	""
"8"	"3"	"100"	"197"	"547"	"27"	"52"	"32"	"955"	"0"	"955"	""
"9"	"4"	"38"	"182"	"433"	"28"	"25"	"57"	"763"	"0"	"763"	""
"10"	"5"	"163"	"117"	"104"	"18"	"55"	"45"	"502"	"0"	"502"	""
"11"	"6"	"119"	"94"	"204"	"24"	"85"	"64"	"590"	"0"	"590"	""
"12"	"7"	"106"	"116"	"55"	"21"	"117"	"78"	"493"	"0"	"493"	""
"13"	"8"	"4"	"705"	"27"	"1"	"3"	"3"	"743"	"0"	"743"	""
"14"	"9"	"121"	"500"	"33"	"8"	"17"	"131"	"810"	"0"	"810"	""
"15"	"10"	"36"	"152"	"90"	"19"	"79"	"30"	"406"	"0"	"406"	""
"16"	"11"	"76"	"27"	"125"	"8"	"19"	"22"	"277"	"0"	"277"	""
"17"	"12"	"2"	"606"	"84"	"3"	"6"	"8"	"709"	"0"	"709"	""
"18"	"13"	"6"	"285"	"266"	"4"	"57"	"8"	"626"	"0"	"626"	""
"19"	"14"	"35"	"567"	"91"	"5"	"38"	"15"	"751"	"0"	"751"	""
"20"	"Total"	"808"	"4783"	"2292"	"171"	"565"	"508"	"9127"	"0"	"9127"	""
"21"	"Place                 Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""
"22"	"Date                  27-02-2005                                                                                                                                                                   Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""
