"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"[ SEE RULE 56C (2) © ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 177 - Rajgir  ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[ To be used both for Parliamentary And Assembly Election ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment  :-  2005 Name of the Assembly Segment     :-          177  Rajgir"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"8"	""	"Arjun Paswan (Ajay Paswan)"	"Reshami Devi"	"Satyadeo Narayan Arya"	"Anil Roy"	"Gayatri Devi"	"Jay Ram Manjhi"	"Baldeo Das"	"Shailendra Kumar"	"Surendra Kumar Arya"	"Gageshw ar Ravidas"	"Tarni Kumar"	"Dinesh Chaudhary"	"Dukhan Das"	"Ram Bilas Manjhi"	"Shiv Kumar Paswan"	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"10"	"1"	"15"	"1"	"40"	"33"	"3"	"20"	"5"	"1"	"0"	"9"	"5"	"1"	"56"	"5"	"6"	"200"	"0"	"200"	""	""
"11"	"2"	"15"	"1"	"58"	"110"	"5"	"2"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"1"	"5"	"205"	"0"	"205"	""	""
"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"13"	"4"	"4"	"0"	"122"	"70"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"2"	"4"	"3"	"4"	"215"	"0"	"215"	""	""
"14"	"5"	"2"	"4"	"83"	"134"	"8"	"3"	"2"	"1"	"0"	"1"	"1"	"4"	"1"	"2"	"0"	"246"	"0"	"246"	""	""
"15"	"6"	"64"	"3"	"159"	"58"	"2"	"1"	"2"	"1"	"6"	"3"	"1"	"5"	"3"	"1"	"7"	"316"	"0"	"316"	""	""
"16"	"7"	"11"	"0"	"11"	"34"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"0"	"2"	"69"	"0"	"69"	""	""
"17"	"8"	"27"	"2"	"118"	"138"	"8"	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"2"	"2"	"2"	"306"	"0"	"306"	""	""
"18"	"9"	"9"	"1"	"134"	"81"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"3"	"2"	"0"	"0"	"235"	"0"	"235"	""	""
"19"	"10"	"55"	"1"	"205"	"12"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"2"	"283"	"0"	"283"	""	""
"20"	"11"	"44"	"2"	"45"	"25"	"7"	"6"	"2"	"3"	"0"	"10"	"90"	"11"	"5"	"3"	"19"	"272"	"0"	"272"	""	""
"21"	"12"	"77"	"2"	"131"	"49"	"5"	"4"	"0"	"0"	"1"	"1"	"11"	"5"	"11"	"8"	"8"	"313"	"0"	"313"	""	""
"22"	"13"	"17"	"1"	"227"	"16"	"5"	"2"	"0"	"2"	"0"	"0"	"0"	"2"	"14"	"0"	"2"	"288"	"0"	"288"	""	""
"23"	"14"	"4"	"2"	"180"	"67"	"4"	"2"	"2"	"1"	"1"	"0"	"0"	"5"	"2"	"0"	"1"	"271"	"0"	"271"	""	""
"24"	"Round-1"	"344"	"20"	"1513"	"827"	"57"	"44"	"21"	"10"	"8"	"27"	"112"	"45"	"107"	"26"	"58"	"3219"	"0"	"3219"	""	""
"25"	"15"	"115"	"24"	"202"	"165"	"8"	"2"	"3"	"1"	"0"	"0"	"0"	"6"	"5"	"3"	"5"	"539"	"0"	"539"	""	""
"26"	"16"	"65"	"2"	"31"	"61"	"10"	"2"	"3"	"2"	"1"	"1"	"0"	"3"	"2"	"3"	"9"	"195"	"0"	"195"	""	""
