"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Final Result Sheet [SEE RULE 56C(2)( C )]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Assembly Election) Total No. of Electors in Assembly Constituency / Segment     :-   261141"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment               :-  198  Arrah"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(In the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"9"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"10"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"11"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"12"	"1"	"M/S SALEMPUR"	"71"	"4"	"69"	"196"	"5"	"4"	"2"	"1"	"9"	"0"	"1"	"1"	"3"	"5"	"1"	"372"	"0"	"372"	"0"
"13"	"2"	"URDU PRIMARY SCHOOL,IJARI TOLA,(EASTERN P"	"74"	"0"	"56"	"105"	"2"	"1"	"2"	"1"	"140"	"1"	"0"	"2"	"1"	"3"	"1"	"389"	"0"	"389"	"0"
