"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"BABAR ALI"	"RAMRATAN PRASAD"	"RAMASHRAY PRASAD"	"ARUNA DEVI"	"PRAMOD KUMAR"	"ARJUN PRASAD"	"CHANDO RAVIDAS"	"TANIK MOCHI"	"PRATIMA DEVI"	"PRADIP KUMAR"	"SHAMBHU SHARAN PRASAD"	"SHEETAL PRASAD"	"SITARAM PRASAD"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"11"	"1"	"1"	"4"	"0"	"7"	"428"	"7"	"0"	"1"	"0"	"6"	"55"	"9"	"8"	"9"	"9"	"543"	"0"	"543"	"0"
"12"	"2"	"2"	"9"	"3"	"5"	"406"	"6"	"4"	"6"	"0"	"7"	"82"	"10"	"13"	"3"	"15"	"569"	"0"	"569"	"0"
"13"	"3"	"3"	"0"	"2"	"0"	"485"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"489"	"0"	"489"	"0"
"14"	"4"	"4"	"2"	"0"	"4"	"561"	"2"	"0"	"0"	"0"	"0"	"29"	"1"	"0"	"0"	"3"	"602"	"0"	"602"	"0"
"15"	"5"	"5"	"5"	"2"	"10"	"507"	"6"	"1"	"3"	"1"	"2"	"12"	"7"	"10"	"6"	"2"	"574"	"0"	"574"	"0"
"16"	"6"	"6"	"0"	"0"	"4"	"587"	"4"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"599"	"0"	"599"	"0"
"17"	"7"	"7"	"0"	"1"	"3"	"909"	"9"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"929"	"0"	"929"	"0"
"18"	"8"	"8"	"0"	"0"	"2"	"363"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"365"	"0"	"365"	"0"
"19"	"9"	"9"	"11"	"4"	"19"	"163"	"14"	"2"	"9"	"9"	"20"	"139"	"18"	"15"	"6"	"23"	"452"	"0"	"452"	"0"
"20"	"10"	"10R"	"31"	"2"	"6"	"50"	"8"	"4"	"7"	"4"	"30"	"146"	"8"	"8"	"8"	"7"	"319"	"0"	"319"	"0"
"21"	"11"	"11"	"7"	"0"	"9"	"126"	"7"	"2"	"3"	"2"	"12"	"135"	"11"	"9"	"4"	"2"	"329"	"0"	"329"	"0"
