"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(CHAPTER XIV,PARA-26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 30-MAIRWA(S.C) ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 30-Mairwa (S.C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No.of Electores in Assembly Constituency 170371                                                  Round No.-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"9"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"10"	"1"	"23"	"77"	"13"	"132"	"28"	"6"	"15"	"80"	"14"	"15"	"49"	"452"	"0"	"452"	"0"
"11"	"2"	"36"	"33"	"7"	"150"	"41"	"6"	"5"	"130"	"6"	"12"	"45"	"471"	"0"	"471"	"0"
"12"	"3"	"34"	"32"	"11"	"38"	"16"	"6"	"5"	"118"	"5"	"13"	"41"	"319"	"0"	"319"	"0"
"13"	"4"	"20"	"11"	"9"	"136"	"21"	"7"	"9"	"198"	"15"	"18"	"59"	"503"	"0"	"503"	"0"
"14"	"5"	"38"	"79"	"3"	"81"	"34"	"6"	"3"	"80"	"9"	"3"	"35"	"371"	"0"	"371"	"0"
"15"	"6"	"12"	"9"	"6"	"66"	"9"	"3"	"3"	"137"	"12"	"4"	"21"	"282"	"0"	"282"	"0"
"16"	"7"	"17"	"18"	"5"	"78"	"19"	"8"	"15"	"257"	"10"	"11"	"70"	"508"	"0"	"508"	"0"
"17"	"8"	"18"	"46"	"30"	"150"	"9"	"3"	"8"	"47"	"7"	"3"	"9"	"330"	"0"	"330"	"0"
"18"	"9"	"17"	"19"	"5"	"90"	"23"	"3"	"8"	"238"	"13"	"8"	"44"	"468"	"0"	"468"	"0"
"19"	"10"	"22"	"39"	"11"	"56"	"6"	"3"	"11"	"157"	"6"	"8"	"29"	"348"	"0"	"348"	"0"
"20"	"11"	"18"	"21"	"4"	"70"	"17"	"3"	"3"	"86"	"5"	"9"	"39"	"275"	"0"	"275"	"0"
