"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 163-PARBATTA ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment : 210871"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 163-PARBATTA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"9"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHI NANDAN KUMAR"	"KRISHNADAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"11"	"1"	"8"	"167"	"89"	"27"	"2"	"16"	"2"	"1"	"3"	"1"	"1"	"21"	"338"	""	"338"	""
"12"	"2"	"24"	"197"	"94"	"39"	"7"	"13"	"4"	"5"	"7"	"10"	"12"	"24"	"436"	""	"436"	""
"13"	"3"	"24"	"137"	"316"	"54"	"7"	"7"	"2"	"2"	"8"	"5"	"8"	"11"	"581"	""	"581"	""
"14"	"4"	"6"	"276"	"166"	"39"	"8"	"14"	"3"	"11"	"6"	"14"	"13"	"61"	"617"	""	"617"	""
"15"	"5"	"19"	"79"	"409"	"35"	"8"	"3"	"3"	"3"	"5"	"8"	"13"	"23"	"608"	""	"608"	""
"16"	"6"	"12"	"317"	"107"	"26"	"8"	"14"	"4"	"8"	"3"	"5"	"6"	"12"	"522"	""	"522"	""
"17"	"7"	"5"	"199"	"131"	"8"	"0"	"6"	"3"	"0"	"4"	"4"	"10"	"23"	"393"	""	"393"	""
"18"	"8"	"12"	"305"	"98"	"19"	"5"	"8"	"3"	"3"	"5"	"4"	"3"	"20"	"485"	""	"485"	""
"19"	"9"	"35"	"187"	"349"	"22"	"12"	"13"	"5"	"1"	"6"	"16"	"10"	"45"	"701"	""	"701"	""
"20"	"10"	"22"	"160"	"140"	"56"	"3"	"11"	"6"	"5"	"3"	"7"	"9"	"39"	"461"	""	"461"	""
"21"	"11"	"9"	"163"	"115"	"23"	"7"	"10"	"4"	"5"	"10"	"9"	"4"	"22"	"381"	""	"381"	""
"22"	"12"	"7"	"333"	"147"	"18"	"2"	"9"	"0"	"3"	"1"	"3"	"8"	"11"	"542"	""	"542"	""
"23"	"13"	"5"	"18"	"345"	"38"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"3"	"414"	""	"414"	""
"24"	"14"	"3"	"24"	"530"	"31"	"1"	"1"	"0"	"2"	"1"	"0"	"2"	"4"	"599"	""	"599"	""
"25"	"TOTAL"	"191"	"2562"	"3036"	"435"	"70"	"125"	"40"	"49"	"62"	"87"	"102"	"319"	"7078"	"0"	"7078"	"0"
"26"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"27"	""	"PREM KUMAR"	"RAMANAND PRASAD SINGH"	"RAKESH KUMAR"	"SUSIL KUMAR"	"NARESH KR. YADAV"	"SUSHIL CHANDRA SINGH"	"ABHINANDAN KUMAR"	"KRISHNA DAS CHOUDHARY"	"BULLET KUMAR ROY"	"RAJENDRA YADAW"	"BIRENDRA KUMAR CHOUDHARY"	"SHIV KUMAR MISHRA"	""	""	""	""
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"29"	"15"	"8"	"171"	"437"	"66"	"4"	"2"	"2"	"2"	"2"	"5"	"5"	"5"	"709"	""	"709"	""
"30"	"16"	"5"	"341"	"202"	"12"	"0"	"8"	"6"	"1"	"3"	"3"	"3"	"6"	"590"	""	"590"	""
"31"	"17"	"26"	"242"	"317"	"18"	"10"	"7"	"4"	"2"	"8"	"3"	"1"	"14"	"652"	""	"652"	""
"32"	"18"	"10"	"44"	"751"	"18"	"6"	"7"	"2"	"1"	"2"	"3"	"1"	"6"	"851"	""	"851"	""
