"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"2"	"1"	"6"	"80"	"554"	"6"	"3"	"1"	"1"	"2"	"2"	"3"	"0"	"2"	"1"	"18"	"7"	"5"	"691"	""	"691"	""
"3"	"2"	"4"	"47"	"461"	"5"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"0"	"1"	"1"	"7"	"531"	""	"531"	""
"4"	"3"	"2"	"38"	"471"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"2"	"3"	"2"	"525"	""	"525"	""
"5"	"4"	"9"	"157"	"430"	"5"	"0"	"18"	"0"	"1"	"1"	"1"	"4"	"2"	"2"	"1"	"3"	"3"	"637"	""	"637"	""
"6"	"5"	"7"	"127"	"242"	"3"	"3"	"9"	"1"	"1"	"0"	"1"	"2"	"7"	"1"	"1"	"1"	"1"	"407"	""	"407"	""
"7"	"6"	"5"	"162"	"4"	"1"	"1"	"67"	"0"	"1"	"0"	"1"	"4"	"11"	"0"	"1"	"1"	"3"	"262"	""	"262"	""
"8"	"7"	"29"	"66"	"433"	"4"	"1"	"41"	"3"	"4"	"3"	"4"	"6"	"2"	"7"	"9"	"7"	"15"	"634"	""	"634"	""
"9"	"8"	"6"	"220"	"160"	"2"	"0"	"16"	"2"	"0"	"1"	"1"	"3"	"0"	"4"	"4"	"3"	"7"	"429"	""	"429"	""
"10"	"9"	"0"	"84"	"349"	"5"	"2"	"7"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"452"	""	"452"	""
"11"	"10"	"11"	"15"	"415"	"7"	"1"	"5"	"2"	"0"	"1"	"1"	"3"	"0"	"0"	"1"	"2"	"1"	"465"	""	"465"	""
"12"	"11"	"11"	"24"	"427"	"2"	"1"	"36"	"1"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"3"	"2"	"513"	""	"513"	""
"13"	"12"	"2"	"17"	"411"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"439"	""	"439"	""
"14"	"13"	"2"	"22"	"818"	"3"	"3"	"7"	"0"	"1"	"1"	"1"	"2"	"2"	"2"	"6"	"3"	"6"	"879"	""	"879"	""
"15"	"14"	"4"	"24"	"411"	"7"	"1"	"26"	"4"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"483"	""	"483"	""
"16"	"Grand
Total"	"98"	"1083"	"5586"	"54"	"16"	"237"	"16"	"14"	"10"	"17"	"26"	"34"	"20"	"47"	"36"	"53"	"7347"	"0"	"7347"	"0"
"17"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"18"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"19"	"15"	"2"	"36"	"449"	"2"	"1"	"5"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"499"	""	"499"	""
"20"	"16"	"1"	"10"	"491"	"8"	"0"	"48"	"2"	"0"	"2"	"1"	"1"	"1"	"0"	"1"	"3"	"3"	"572"	""	"572"	""
"21"	"17"	"0"	"4"	"440"	"1"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"455"	""	"455"	""
"22"	"18"	"2"	"17"	"501"	"3"	"4"	"29"	"2"	"1"	"0"	"0"	"2"	"1"	"2"	"1"	"2"	"3"	"570"	""	"570"	""
"23"	"19"	"4"	"25"	"366"	"0"	"3"	"50"	"1"	"0"	"3"	"1"	"7"	"0"	"2"	"2"	"1"	"3"	"468"	""	"468"	""
