"Table.No"	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"No..of.Rejected.Votes"	"Total.Votes"	"Initials.of.RO"	"Initials.of.Obs"
"1"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"3"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"1"	"1"	"47"	"233"	"17"	"199"	"17"	"4"	"14"	""	"531"	""	""
"5"	"2"	"2"	"239"	"226"	"6"	"67"	"29"	"4"	"8"	""	"579"	""	""
"6"	"3"	"3"	"22"	"202"	"11"	"168"	"7"	"14"	"8"	""	"432"	""	""
"7"	"4"	"4"	"206"	"200"	"17"	"171"	"23"	"12"	"43"	""	"672"	""	""
"8"	"5"	"5"	"216"	"132"	"6"	"193"	"14"	"9"	"13"	""	"583"	""	""
"9"	"6"	"6"	"79"	"613"	"17"	"170"	"16"	"9"	"10"	""	"914"	""	""
"10"	"7"	"7"	"99"	"288"	"15"	"81"	"23"	"10"	"6"	""	"522"	""	""
"11"	"8"	"8"	"37"	"167"	"15"	"232"	"25"	"7"	"14"	""	"497"	""	""
"12"	"9"	"9"	"72"	"230"	"11"	"181"	"32"	"13"	"8"	""	"547"	""	""
"13"	"10"	"10"	"88"	"29"	"5"	"42"	"20"	"6"	"2"	""	"192"	""	""
"14"	"11"	"11"	"192"	"173"	"14"	"213"	"64"	"17"	"19"	""	"692"	""	""
"15"	"12"	"12"	"216"	"40"	"9"	"183"	"40"	"5"	"8"	""	"501"	""	""
"16"	"13"	"13"	"79"	"137"	"15"	"279"	"11"	"2"	"19"	""	"542"	""	""
"17"	"14"	"14"	"120"	"203"	"6"	"230"	"15"	"20"	"12"	""	"606"	""	""
"18"	""	"Total Round 1"	"1712"	"2873"	"164"	"2409"	"336"	"132"	"184"	"0"	"7810"	""	""
"19"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"20"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"21"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"22"	"1"	"15"	"96"	"58"	"5"	"161"	"10"	"5"	"10"	""	"345"	""	""
"23"	"2"	"16"	"10"	"51"	"3"	"358"	"3"	"1"	"0"	""	"426"	""	""
"24"	"3"	"17"	"70"	"198"	"15"	"59"	"144"	"10"	"6"	""	"502"	""	""
"25"	"4"	"18"	"7"	"17"	"1"	"435"	"3"	"0"	"1"	""	"464"	""	""
"26"	"5"	"19"	"56"	"242"	"17"	"209"	"23"	"9"	"10"	""	"566"	""	""
"27"	"6"	"20"	"101"	"275"	"3"	"73"	"17"	"7"	"15"	""	"491"	""	""
"28"	"7"	"21"	"96"	"306"	"4"	"19"	"32"	"1"	"0"	""	"458"	""	""
"29"	"8"	"22"	"92"	"220"	"22"	"81"	"83"	"9"	"14"	""	"521"	""	""
"30"	"9"	"23"	"186"	"80"	"7"	"144"	"40"	"2"	"3"	""	"462"	""	""
"31"	"10"	"24"	"131"	"48"	"12"	"171"	"18"	"2"	"3"	""	"385"	""	""
"32"	"11"	"25"	"24"	"97"	"115"	"225"	"13"	"9"	"10"	""	"493"	""	""
"33"	"12"	"26"	"95"	"123"	"9"	"221"	"100"	"14"	"14"	""	"576"	""	""
"34"	"13"	"27"	"126"	"183"	"13"	"227"	"47"	"13"	"21"	""	"630"	""	""
"35"	"14"	"28"	"134"	"280"	"5"	"175"	"52"	"9"	"6"	""	"661"	""	""
"36"	""	"Total Round 2"	"1224"	"2178"	"231"	"2558"	"585"	"91"	"113"	"0"	"6980"	""	""
"37"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
"38"	""	""	"ARUN SHANKER PRASAD"	"RAM NARESH PANDEY"	"SHISHIR KUMARI"	"SITARAM YADAV"	"GIRISH PANDEY"	"KISHORI PASWAN"	"VISHWANATH YADAV"	""	""	""	""
"39"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"40"	"1"	"29"	"144"	"254"	"9"	"305"	"34"	"18"	"33"	""	"797"	""	""
"41"	"2"	"30"	"29"	"148"	"6"	"63"	"31"	"6"	"2"	""	"285"	""	""
"42"	"3"	"31"	"8"	"245"	"3"	"194"	"57"	"1"	"0"	""	"508"	""	""
"43"	"4"	"32"	"47"	"313"	"6"	"77"	"34"	"4"	"2"	""	"483"	""	""
"44"	"5"	"33"	"17"	"405"	"10"	"232"	"32"	"4"	"6"	""	"706"	""	""
"45"	"6"	"34"	"118"	"146"	"20"	"254"	"90"	"17"	"32"	""	"677"	""	""
"46"	"7"	"35"	"72"	"182"	"11"	"225"	"78"	"10"	"11"	""	"589"	""	""
"47"	"8"	"36"	"15"	"248"	"6"	"265"	"25"	"10"	"14"	""	"583"	""	""
"48"	"9"	"37"	"135"	"133"	"10"	"157"	"20"	"6"	"10"	""	"471"	""	""
"49"	"10"	"38"	"131"	"130"	"10"	"176"	"38"	"13"	"12"	""	"510"	""	""
"50"	"11"	"39"	"55"	"148"	"8"	"325"	"72"	"9"	"7"	""	"624"	""	""
"51"	"12"	"40"	"149"	"318"	"12"	"38"	"25"	"23"	"23"	""	"588"	""	""
"52"	"13"	"41"	"187"	"186"	"14"	"196"	"40"	"5"	"8"	""	"636"	""	""
"53"	"14"	"42"	"32"	"290"	"13"	"98"	"21"	"8"	"9"	""	"471"	""	""
"54"	""	"Total Round 3"	"1139"	"3146"	"138"	"2605"	"597"	"134"	"169"	"0"	"7928"	""	""
"55"	"Table No"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"Initials of RO"	"Initials of Obs"
