"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.106.ABARAUNI.A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"4"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"6"	"1"	"327"	"6"	"152"	"10"	"30"	"2"	"10"	"36"	"573"	"0"	"573"	"0"
"7"	"2"	"129"	"9"	"183"	"15"	"132"	"10"	"13"	"22"	"513"	"0"	"513"	"0"
"8"	"3"	"255"	"11"	"125"	"12"	"143"	"12"	"26"	"28"	"612"	"0"	"612"	"0"
"9"	"4"	"199"	"9"	"201"	"7"	"53"	"6"	"3"	"28"	"506"	"0"	"506"	"0"
"10"	"5"	"546"	"8"	"134"	"3"	"2"	"4"	"2"	"12"	"711"	"0"	"711"	"0"
"11"	"6"	"709"	"4"	"45"	"4"	"2"	"2"	"5"	"5"	"776"	"0"	"776"	"0"
"12"	"7"	"154"	"10"	"69"	"2"	"4"	"0"	"1"	"8"	"248"	"0"	"248"	"0"
"13"	"7A"	"400"	"9"	"114"	"6"	"21"	"5"	"6"	"26"	"587"	"0"	"587"	"0"
"14"	"8"	"274"	"8"	"168"	"6"	"9"	"8"	"8"	"21"	"502"	"0"	"502"	"0"
"15"	"9"	"340"	"20"	"79"	"4"	"8"	"3"	"1"	"11"	"466"	"0"	"466"	"0"
"16"	"10"	"175"	"3"	"125"	"2"	"5"	"3"	"3"	"12"	"328"	"0"	"328"	"0"
"17"	"11"	"531"	"16"	"114"	"9"	"7"	"5"	"18"	"30"	"730"	"0"	"730"	"0"
"18"	"12"	"252"	"10"	"170"	"13"	"4"	"9"	"9"	"54"	"521"	"0"	"521"	"0"
"19"	"13"	"251"	"8"	"155"	"11"	"4"	"4"	"18"	"21"	"472"	"0"	"472"	"0"
"20"	"Total"	"4542"	"131"	"1834"	"104"	"424"	"73"	"123"	"314"	"7545"	"0"	"7545"	"0"
"21"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
