"No..and.Name.of.Assembly.segment..........46..Raghopur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"4"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"5"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"7"	"1"	"23"	"55"	"1"	"4"	"13"	"5"	"221"	"7"	"5"	"6"	"3"	"2"	"70"	"415"	"0"	"415"	"0"
"8"	"2"	"51"	"41"	"2"	"5"	"20"	"2"	"156"	"5"	"4"	"1"	"3"	"2"	"43"	"335"	"0"	"335"	"0"
"9"	"3"	"48"	"147"	"8"	"15"	"25"	"19"	"331"	"12"	"5"	"8"	"5"	"1"	"11"	"635"	"0"	"635"	"0"
"10"	"4"	"19"	"183"	"7"	"11"	"17"	"44"	"164"	"6"	"4"	"3"	"0"	"2"	"4"	"464"	"0"	"464"	"0"
"11"	"5"	"20"	"118"	"5"	"6"	"16"	"19"	"225"	"10"	"3"	"2"	"0"	"6"	"5"	"435"	"0"	"435"	"0"
"12"	"6"	"5"	"300"	"1"	"1"	"4"	"1"	"55"	"4"	"0"	"1"	"0"	"1"	"1"	"374"	"0"	"374"	"0"
"13"	"7"	"65"	"113"	"14"	"11"	"25"	"58"	"383"	"12"	"8"	"10"	"4"	"1"	"15"	"719"	"0"	"719"	"0"
"14"	"8"	"21"	"406"	"14"	"12"	"7"	"8"	"188"	"1"	"0"	"1"	"1"	"0"	"2"	"661"	"0"	"661"	"0"
"15"	"9"	"25"	"60"	"7"	"14"	"32"	"111"	"363"	"15"	"8"	"18"	"1"	"2"	"7"	"663"	"0"	"663"	"0"
"16"	"10"	"21"	"184"	"16"	"6"	"20"	"18"	"234"	"11"	"4"	"1"	"3"	"3"	"27"	"548"	"0"	"548"	"0"
"17"	"11"	"35"	"147"	"16"	"4"	"6"	"165"	"126"	"7"	"1"	"4"	"4"	"7"	"24"	"546"	"0"	"546"	"0"
"18"	"12"	"37"	"137"	"10"	"10"	"27"	"113"	"265"	"15"	"3"	"7"	"3"	"8"	"7"	"642"	"0"	"642"	"0"
"19"	"13"	"15"	"84"	"8"	"16"	"26"	"14"	"235"	"5"	"5"	"12"	"4"	"6"	"23"	"453"	"0"	"453"	"0"
"20"	"14"	"14"	"63"	"1"	"0"	"6"	"5"	"156"	"1"	"1"	"2"	"0"	"2"	"11"	"262"	"0"	"262"	"0"
"21"	"15"	"15"	"159"	"6"	"6"	"19"	"8"	"260"	"6"	"3"	"2"	"0"	"0"	"1"	"485"	"0"	"485"	"0"
"22"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"25"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"26"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"27"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"29"	"16"	"9"	"175"	"1"	"2"	"6"	"5"	"221"	"4"	"0"	"4"	"3"	"1"	"6"	"437"	"0"	"437"	"0"
"30"	"17"	"8"	"10"	"1"	"1"	"8"	"0"	"370"	"10"	"0"	"5"	"1"	"2"	"7"	"423"	"0"	"423"	"0"
"31"	"18"	"4"	"93"	"5"	"3"	"2"	"0"	"346"	"2"	"1"	"0"	"0"	"0"	"4"	"460"	"0"	"460"	"0"
"32"	"19"	"4"	"11"	"1"	"1"	"1"	"2"	"445"	"1"	"3"	"4"	"0"	"1"	"4"	"478"	"0"	"478"	"0"
