"FORM..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"BOOTH    NO"	"JINSI MEHTA"	"DINESH KUMAR YADAV"	"RAMESHWAR PD. YADAV"	"KAUSHAR ALAM"	"MD. PARVEZ ALAM"	"YUNUS KHAN"	"MD. ISLAM"	"KAILU MUSHAR"	"DOMI RAM"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"2"	"1"	"11"	"221"	"152"	"10"	"8"	"78"	"6"	"10"	"9"	"505"	"0"	"0"	"505"	"0"
"3"	"2"	"4"	"135"	"357"	"27"	"4"	"40"	"7"	"6"	"24"	"604"	"0"	"0"	"604"	"0"
"4"	"3"	"4"	"32"	"348"	"22"	"2"	"36"	"6"	"5"	"8"	"463"	"0"	"0"	"463"	"0"
"5"	"4"	"17"	"113"	"300"	"30"	"26"	"45"	"16"	"7"	"16"	"570"	"0"	"0"	"570"	"0"
"6"	"5"	"15"	"73"	"314"	"21"	"6"	"40"	"7"	"8"	"19"	"503"	"0"	"0"	"503"	"0"
"7"	"6"	"32"	"233"	"278"	"20"	"9"	"102"	"7"	"11"	"9"	"701"	"0"	"0"	"701"	"0"
"8"	"7"	"6"	"196"	"246"	"18"	"9"	"60"	"7"	"6"	"3"	"551"	"0"	"0"	"551"	"0"
"9"	"8"	"12"	"112"	"275"	"7"	"8"	"19"	"7"	"6"	"7"	"453"	"0"	"0"	"453"	"0"
"10"	"9"	"11"	"85"	"465"	"20"	"12"	"18"	"5"	"7"	"27"	"650"	"0"	"0"	"650"	"0"
"11"	"10"	"9"	"77"	"375"	"21"	"9"	"107"	"11"	"5"	"7"	"621"	"0"	"0"	"621"	"0"
"12"	"11"	"10"	"10"	"308"	"9"	"1"	"58"	"3"	"1"	"4"	"404"	"0"	"0"	"404"	"0"
"13"	"12"	"17"	"69"	"315"	"22"	"5"	"18"	"3"	"3"	"8"	"460"	"0"	"0"	"460"	"0"
