"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"AADITYA SINGH"	"GANESH SHANKAR VIDYARTHI"	"JITENDRA KUMAR"	"BIJAY KUMAR SINHA"	"RAMESH PRASAD"	"AJAY KUMAR"	"ANIL SINGH"	"ASHOK YADAV"	"MD. KURBAN ALI"	"GIRANI CHAUDHARI"	"CHANDRASHWAR PRASAD GUPT"	"CHANDRIKA YADAV"	"TRIPIT SINGH"	"NAVIN KUMAR PASWAN"	"MANOJ KUMAR"	"SHASHIKANT SINGH"	"SATYENDRA KUMAR"	"SURENDRA PRASAD"	"SURENDRA RAJBANSHI"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"11"	"1"	"1"	"78"	"7"	"4"	"21"	"10"	"1"	"92"	"6"	"1"	"5"	"9"	"392"	"4"	"2"	"2"	"2"	"0"	"0"	"1"	"637"	"0"	"637"	"0"
"12"	"2"	"2"	"45"	"27"	"3"	"24"	"11"	"0"	"113"	"7"	"8"	"13"	"4"	"7"	"1"	"7"	"2"	"6"	"3"	"0"	"0"	"281"	"0"	"281"	"0"
"13"	"3"	"3"	"87"	"21"	"1"	"2"	"20"	"1"	"0"	"1"	"0"	"6"	"6"	"423"	"1"	"1"	"0"	"3"	"3"	"4"	"0"	"580"	"0"	"580"	"0"
"14"	"4"	"4"	"280"	"11"	"0"	"6"	"33"	"3"	"59"	"0"	"2"	"3"	"1"	"9"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"412"	"0"	"412"	"0"
"15"	"5"	"5"	"91"	"33"	"10"	"25"	"49"	"4"	"29"	"3"	"4"	"5"	"3"	"23"	"0"	"2"	"1"	"7"	"0"	"0"	"1"	"290"	"0"	"290"	"0"
"16"	"6"	"6"	"71"	"13"	"3"	"17"	"30"	"1"	"105"	"4"	"6"	"2"	"1"	"3"	"1"	"0"	"0"	"16"	"0"	"2"	"1"	"276"	"0"	"276"	"0"
"17"	"7"	"7"	"66"	"35"	"1"	"15"	"12"	"2"	"168"	"2"	"4"	"4"	"4"	"1"	"2"	"0"	"0"	"4"	"6"	"2"	"4"	"332"	"0"	"332"	"0"
