"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"
"1"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	";ksx"	""	""	""
"2"	""	""	"Mk0
vnuku  [kk°"	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	""	"2"	""	"3"	""	""	"4"	""	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	"15"	""	""	""
"4"	"1"	""	"92"	""	"3"	""	""	"130"	""	""	"166"	""	"13"	""	""	"4"	""	""	"3"	""	""	"2"	""	""	"17"	""	"1"	""	"59"	""	""	"490"	""	""	""	""	"490"	""	""	""
"5"	"2"	""	"172"	""	"31"	""	""	"246"	""	""	"48"	""	"8"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	"38"	""	"7"	""	"8"	""	""	"563"	""	""	""	""	"563"	""	""	""
"6"	"3"	""	"224"	""	"31"	""	""	"62"	""	""	"96"	""	"9"	""	""	"4"	""	""	"3"	""	""	"3"	""	""	"21"	""	"7"	""	"35"	""	""	"495"	""	""	""	""	"495"	""	""	""
"7"	"4"	""	"46"	""	"76"	""	""	"51"	""	""	"144"	""	"63"	""	""	"11"	""	""	"5"	""	""	"4"	""	""	"8"	""	"8"	""	"13"	""	""	"429"	""	""	""	""	"429"	""	""	""
"8"	"5"	""	"336"	""	"36"	""	""	"16"	""	""	"43"	""	"13"	""	""	"5"	""	""	"1"	""	""	"1"	""	""	"4"	""	"7"	""	"4"	""	""	"466"	""	""	""	""	"466"	""	""	""
"9"	"6"	""	"178"	""	"69"	""	""	"16"	""	""	"30"	""	"49"	""	""	"2"	""	""	"1"	""	""	"6"	""	""	"23"	""	"5"	""	"25"	""	""	"404"	""	""	""	""	"404"	""	""	""
"10"	"7"	""	"17"	""	"41"	""	""	"162"	""	""	"18"	""	"14"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"64"	""	"5"	""	"12"	""	""	"337"	""	""	""	""	"337"	""	""	""
"11"	"8"	""	"50"	""	"2"	""	""	"22"	""	""	"211"	""	"15"	""	""	"5"	""	""	"2"	""	""	"1"	""	""	"0"	""	"3"	""	"26"	""	""	"337"	""	""	""	""	"337"	""	""	""
