"inamnailaiKt.AByaiqa.yaaoM.ko.pxa.maoM.ide.gae.ivaiQamaanya.mataoM.kI.saM.yaa"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"2"	"1"	"255"	"23"	"9"	"5"	"2"	"78"	"2"	"3"	"8"	"385"	""	"385"	""
"3"	"2"	"338"	"37"	"5"	"7"	"2"	"49"	"6"	"5"	"16"	"465"	""	"465"	""
"4"	"3"	"332"	"24"	"11"	"4"	"5"	"114"	"5"	"1"	"19"	"515"	""	"515"	""
"5"	"4"	"33"	"67"	"5"	"7"	"4"	"374"	"8"	"6"	"19"	"523"	""	"523"	""
"6"	"5"	"51"	"67"	"16"	"5"	"2"	"81"	"7"	"3"	"1"	"233"	""	"233"	""
"7"	"6"	"236"	"57"	"4"	"10"	"7"	"236"	"10"	"7"	"33"	"600"	""	"600"	""
"8"	"7"	"222"	"15"	"12"	"1"	"2"	"34"	"0"	"1"	"8"	"295"	""	"295"	""
"9"	"8"	"110"	"7"	"5"	"5"	"3"	"589"	"3"	"3"	"10"	"735"	""	"735"	""
"10"	"9"	"17"	"40"	"4"	"3"	"3"	"489"	"6"	"4"	"23"	"589"	""	"589"	""
"11"	"10"	"501"	"10"	"5"	"9"	"5"	"109"	"5"	"4"	"14"	"662"	""	"662"	""
"12"	"11"	"184"	"11"	"4"	"6"	"5"	"91"	"6"	"5"	"20"	"332"	""	"332"	""
"13"	"12"	"1"	"0"	"0"	"0"	"2"	"490"	"0"	"0"	"0"	"493"	""	"493"	""
"14"	"13"	"20"	"7"	"2"	"0"	"5"	"505"	"9"	"2"	"9"	"559"	""	"559"	""
"15"	"14"	"247"	"52"	"32"	"13"	"9"	"396"	"10"	"5"	"29"	"793"	""	"793"	""
"16"	"TOTAL-I"	"2547"	"417"	"114"	"75"	"56"	"3635"	"77"	"49"	"209"	"7179"	""	"7179"	""
"17"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"19"	"15"	"103"	"11"	"4"	"10"	"4"	"197"	"12"	"4"	"12"	"357"	""	"357"	""
"20"	"16"	"166"	"41"	"13"	"8"	"6"	"302"	"5"	"4"	"25"	"570"	""	"570"	""
"21"	"17"	"8"	"4"	"0"	"3"	"3"	"337"	"1"	"2"	"8"	"366"	""	"366"	""
"22"	"18"	"60"	"40"	"4"	"3"	"1"	"179"	"6"	"6"	"16"	"315"	""	"315"	""
"23"	"19"	"110"	"25"	"18"	"2"	"13"	"302"	"11"	"6"	"21"	"508"	""	"508"	""
