"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[ SEE RULE 56C (2) © ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 179 - Islampur   ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[ To be used both for Parliamentary And Assembly Election ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment  :- 2,30,374 Name of the Assembly Segment     :-          179  Islampur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"8"	""	"Rakesh Kumar Roshan"	"Ramswaroop Prasad"	"Md. Sahabuddin"	"Ajay Kumar"	"Dilip Chaudhary"	"Virendra Prasad"	"Satendra Sao"	"Surendra Prasad"	"Chandrika Paswan"	"Naresh Kumar Yadav"	"Bharat Prasad Singh"	"Vidya Paswan"	"Shivanand Singh"	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"10"	"1"	"175"	"240"	"5"	"1"	"17"	"126"	"12"	"3"	"3"	"66"	"1"	"12"	"14"	"675"	"0"	"675"	""	""
"11"	"2"	"52"	"138"	"8"	"2"	"4"	"5"	"2"	"1"	"1"	"6"	"5"	"20"	"14"	"258"	"0"	"258"	""	""
"12"	"3"	"62"	"70"	"42"	"4"	"17"	"0"	"3"	"6"	"2"	"0"	"7"	"6"	"25"	"244"	"0"	"244"	""	""
"13"	"4"	"99"	"185"	"6"	"4"	"132"	"7"	"2"	"1"	"4"	"6"	"6"	"15"	"16"	"483"	"0"	"483"	""	""
"14"	"5"	"187"	"8"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"0"	"197"	""	""
"15"	"6"	"300"	"313"	"6"	"2"	"16"	"1"	"2"	"1"	"6"	"14"	"2"	"13"	"16"	"692"	"0"	"692"	""	""
"16"	"7"	"46"	"239"	"4"	"1"	"3"	"87"	"1"	"1"	"3"	"35"	"2"	"8"	"12"	"442"	"0"	"442"	""	""
"17"	"8"	"117"	"248"	"7"	"4"	"7"	"13"	"19"	"3"	"2"	"37"	"2"	"22"	"4"	"485"	"0"	"485"	""	""
"18"	"9"	"79"	"338"	"12"	"0"	"45"	"6"	"6"	"1"	"2"	"30"	"5"	"18"	"16"	"558"	"0"	"558"	""	""
"19"	"10"	"49"	"247"	"7"	"1"	"4"	"30"	"2"	"2"	"0"	"12"	"4"	"12"	"2"	"372"	"0"	"372"	""	""
"20"	"11"	"95"	"241"	"54"	"6"	"8"	"34"	"5"	"4"	"0"	"7"	"2"	"10"	"4"	"470"	"0"	"470"	""	""
"21"	"12"	"196"	"67"	"1"	"3"	"13"	"1"	"15"	"1"	"1"	"16"	"2"	"6"	"9"	"331"	"0"	"331"	""	""
"22"	"13"	"79"	"59"	"3"	"1"	"3"	"1"	"1"	"4"	"0"	"3"	"0"	"4"	"4"	"162"	"0"	"162"	""	""
"23"	"14"	"39"	"96"	"47"	"6"	"15"	"167"	"8"	"3"	"4"	"31"	"5"	"6"	"18"	"445"	"0"	"445"	""	""
"24"	"Round-1"	"1575"	"2489"	"202"	"36"	"284"	"478"	"79"	"31"	"28"	"263"	"43"	"152"	"154"	"5814"	"0"	"5814"	""	""
"25"	"15"	"47"	"94"	"4"	"2"	"35"	"98"	"14"	"6"	"2"	"42"	"2"	"4"	"3"	"353"	"0"	"353"	""	""
"26"	"16"	"128"	"110"	"32"	"5"	"52"	"1"	"9"	"4"	"6"	"11"	"6"	"15"	"36"	"415"	"0"	"415"	""	""
"27"	"17"	"120"	"191"	"3"	"0"	"12"	"14"	"2"	"1"	"1"	"21"	"7"	"9"	"15"	"396"	"0"	"396"	""	""
"28"	"18"	"65"	"178"	"10"	"9"	"80"	"8"	"12"	"5"	"6"	"50"	"14"	"8"	"25"	"470"	"0"	"470"	""	""
"29"	"19"	"20"	"178"	"4"	"2"	"28"	"3"	"33"	"1"	"1"	"10"	"2"	"1"	"8"	"291"	"0"	"291"	""	""
"30"	"20"	"63"	"69"	"0"	"0"	"10"	"4"	"0"	"0"	"0"	"5"	"0"	"1"	"2"	"154"	"0"	"154"	""	""
"31"	"21"	"21"	"60"	"24"	"6"	"8"	"254"	"24"	"8"	"5"	"35"	"0"	"9"	"10"	"464"	"0"	"464"	""	""
"32"	"22"	"14"	"181"	"3"	"2"	"11"	"77"	"17"	"10"	"6"	"9"	"8"	"11"	"20"	"369"	"0"	"369"	""	""
"33"	"23"	"92"	"113"	"1"	"1"	"4"	"29"	"2"	"7"	"2"	"10"	"2"	"4"	"16"	"283"	"0"	"283"	""	""
"34"	"24"	"13"	"68"	"18"	"1"	"56"	"59"	"3"	"7"	"5"	"10"	"5"	"9"	"6"	"260"	"0"	"260"	""	""
"35"	"25"	"64"	"237"	"21"	"1"	"30"	"32"	"1"	"1"	"0"	"5"	"4"	"7"	"4"	"407"	"0"	"407"	""	""
"36"	"26"	"60"	"244"	"21"	"2"	"18"	"0"	"1"	"3"	"2"	"4"	"1"	"2"	"9"	"367"	"0"	"367"	""	""
"37"	"27"	"325"	"58"	"23"	"2"	"2"	"4"	"1"	"2"	"2"	"15"	"3"	"2"	"20"	"459"	"0"	"459"	""	""
"38"	"28"	"8"	"400"	"3"	"0"	"18"	"0"	"0"	"0"	"0"	"12"	"3"	"0"	"0"	"444"	"0"	"444"	""	""
"39"	"Round-2"	"2615"	"4670"	"369"	"69"	"648"	"1061"	"198"	"86"	"66"	"502"	"100"	"234"	"328"	"10946"	"0"	"10946"	""	""
"40"	"29"	"11"	"271"	"39"	"2"	"69"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"11"	"409"	"0"	"409"	""	""
"41"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"42"	""	"Rakesh Kumar Roshan"	"Ramswaroop Prasad"	"Md. Sahabuddin"	"Ajay Kumar"	"Dilip Chaudhary"	"Virendra Prasad"	"Satendra Sao"	"Surendra Prasad"	"Chandrika Paswan"	"Naresh Kumar Yadav"	"Bharat Prasad Singh"	"Vidya Paswan"	"Shivanand Singh"	""	""	""	""	""
"43"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"44"	"30"	"28"	"145"	"3"	"1"	"16"	"0"	"2"	"1"	"2"	"0"	"9"	"2"	"5"	"214"	"0"	"214"	""	""
"45"	"31"	"30"	"230"	"6"	"1"	"53"	"9"	"0"	"2"	"0"	"23"	"6"	"3"	"7"	"370"	"0"	"370"	""	""
"46"	"32"	"217"	"140"	"14"	"3"	"20"	"11"	"4"	"1"	"4"	"32"	"2"	"13"	"35"	"496"	"0"	"496"	""	""
"47"	"33"	"111"	"76"	"5"	"3"	"4"	"10"	"0"	"2"	"1"	"8"	"2"	"4"	"7"	"233"	"0"	"233"	""	""
