"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.Valid.Votes"	"No..of.Rejecte.d.Votes"	"Total"	"No..Tender.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"3"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"4"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	"16"	"17"	"18"	"19"
"5"	"1"	5	219	59	5	0	2	2	0	3	3	4	6	11	5	"324"	"0"	"324"	"0"
"6"	"2"	3	192	53	1	2	0	1	0	0	1	9	3	2	7	"274"	"0"	"274"	"0"
"7"	"3"	4	178	51	0	1	1	1	1	1	0	0	6	6	0	"250"	"0"	"250"	"0"
"8"	"4"	16	76	262	11	7	4	4	4	5	4	5	20	14	13	"445"	"0"	"445"	"0"
"9"	"5"	3	199	102	6	4	43	2	0	5	2	7	6	10	1	"390"	"0"	"390"	"0"
"10"	"6"	8	129	93	3	2	1	4	0	2	2	3	5	10	1	"263"	"0"	"263"	"0"
"11"	"7"	54	81	100	8	4	6	5	2	5	8	4	12	15	7	"311"	"0"	"311"	"0"
"12"	"8"	42	154	207	9	7	8	7	9	8	6	6	29	18	22	"532"	"0"	"532"	"0"
"13"	"9"	48	217	103	1	3	15	5	7	3	5	25	24	13	31	"500"	"0"	"500"	"0"
"14"	"10"	71	222	134	14	10	4	4	5	4	3	6	14	17	7	"515"	"0"	"515"	"0"
"15"	"11"	40	60	300	3	0	2	0	0	0	0	1	12	0	0	"418"	"0"	"418"	"0"
"16"	"12"	36	121	127	3	2	4	2	0	0	0	1	11	4	5	"316"	"0"	"316"	"0"
"17"	"13"	34	170	119	10	2	0	1	3	14	5	6	29	18	33	"444"	"0"	"444"	"0"
"18"	"14"	12	76	141	3	3	5	2	0	2	4	2	22	14	6	"292"	"0"	"292"	"0"
"19"	"15"	40	425	58	9	2	9	1	2	6	2	0	2	3	3	"562"	"0"	"562"	"0"
"20"	"16"	14	50	258	3	2	1	0	0	0	5	2	8	4	4	"351"	"0"	"351"	"0"
"21"	"17"	12	419	39	0	0	0	0	0	1	0	0	5	0	1	"477"	"0"	"477"	"0"
"22"	"18"	0	575	3	0	0	0	0	0	0	0	0	1	0	0	"579"	"0"	"579"	"0"
"23"	"19"	0	26	304	0	0	1	0	0	0	1	1	0	1	0	"334"	"0"	"334"	"0"
"24"	"20"	30	261	34	5	2	1	3	2	7	4	5	4	8	1	"367"	"0"	"367"	"0"
"25"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"26"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	""	""	""	""
"27"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"28"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"29"	"21"	1	373	36	0	2	2	0	1	4	0	13	2	1	0	"435"	"0"	"435"	"0"
"30"	"22"	21	159	85	3	2	7	6	6	39	10	4	6	9	12	"369"	"0"	"369"	"0"
"31"	"23"	36	31	59	5	6	4	11	12	103	3	11	13	15	17	"326"	"0"	"326"	"0"
"32"	"24"	43	211	85	7	0	1	5	3	13	5	5	38	9	22	"447"	"0"	"447"	"0"
"33"	"25"	16	185	88	1	1	3	4	2	28	1	0	5	4	18	"356"	"0"	"356"	"0"
"34"	"26"	19	134	226	4	12	5	8	3	8	0	4	30	28	10	"491"	"0"	"491"	"0"
"35"	"27"	50	157	130	9	2	3	1	2	7	2	1	9	16	3	"392"	"0"	"392"	"0"
"36"	"28"	10	189	58	4	2	15	4	4	9	7	10	12	20	25	"369"	"0"	"369"	"0"
"37"	"29"	26	181	132	16	3	5	3	3	2	4	3	8	22	19	"427"	"0"	"427"	"0"
"38"	"30"	8	76	89	3	5	38	0	0	1	5	4	13	18	12	"272"	"0"	"272"	"0"
"39"	"31"	18	100	138	6	6	6	5	4	11	5	9	16	33	23	"380"	"0"	"380"	"0"
