"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Annexure.XLI..CHAPTER.XIV.PARA.26.9."	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"5"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"7"	"R
o u n d
1"	"1"	"118"	"38"	"100"	"5"	"1"	"19"	"1"	"9"	"29"	"1"	"2"	"2"	"2"	""	"0"	"-327"	"0"	""	"-327"	"0"	""
"8"	""	"2"	"64"	"88"	"1"	"2"	"0"	"18"	"1"	"61"	"34"	"2"	"1"	"0"	"0"	""	"0"	"-272"	"0"	""	"-272"	"0"	""
"9"	""	"3"	"188"	"45"	"16"	"1"	"2"	"58"	"2"	"59"	"2"	"1"	"9"	"0"	"0"	""	"2"	"-385"	"0"	""	"-385"	"0"	""
"10"	""	"4"	"105"	"147"	"126"	"3"	"0"	"27"	"3"	"35"	"4"	"2"	"4"	"2"	"2"	""	"5"	"-465"	"0"	""	"-465"	"0"	""
"11"	""	"5"	"132"	"180"	"15"	"0"	"8"	"77"	"14"	"9"	"17"	"5"	"25"	"5"	"1"	""	"15"	"-503"	"0"	""	"-503"	"0"	""
"12"	""	"6"	"60"	"86"	"1"	"2"	"4"	"12"	"6"	"6"	"0"	"2"	"0"	"0"	"4"	""	"7"	"-190"	"0"	""	"-190"	"0"	""
"13"	""	"7"	"172"	"73"	"50"	"11"	"3"	"18"	"3"	"6"	"19"	"7"	"8"	"1"	"9"	""	"13"	"-393"	"0"	""	"-393"	"0"	""
"14"	""	"8"	"473"	"5"	"9"	"0"	"3"	"159"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"1"	"-652"	"0"	""	"-652"	"0"	""
"15"	""	"9"	"166"	"6"	"58"	"1"	"0"	"232"	"4"	"2"	"0"	"0"	"1"	"0"	"0"	""	"0"	"-470"	"0"	""	"-470"	"0"	""
"16"	""	"10"	"74"	"82"	"59"	"1"	"0"	"12"	"4"	"31"	"16"	"1"	"6"	"0"	"0"	""	"0"	"-286"	"0"	""	"-286"	"0"	""
