"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"11"	"1"	"1"	"12"	"6"	"1"	"0"	"0"	"0"	"0"	"2"	"335"	"0"	"0"	"0"	"0"	"0"	"0"	"356"	"0"	"356"	"0"
"12"	"2"	"2"	"2"	"17"	"16"	"0"	"21"	"0"	"1"	"1"	"426"	"1"	"1"	"0"	"0"	"0"	"0"	"486"	"0"	"486"	"0"
"13"	"3"	"3"	"3"	"30"	"0"	"0"	"3"	"1"	"2"	"3"	"85"	"2"	"0"	"3"	"1"	"2"	"2"	"137"	"0"	"137"	"0"
"14"	"4"	"4"	"7"	"29"	"19"	"4"	"385"	"7"	"0"	"2"	"329"	"8"	"1"	"2"	"2"	"1"	"5"	"801"	"0"	"801"	"0"
"15"	"5"	"5"	"0"	"7"	"2"	"4"	"205"	"1"	"0"	"0"	"271"	"6"	"1"	"0"	"0"	"0"	"0"	"497"	"0"	"497"	"0"
"16"	"6"	"6"	"37"	"53"	"103"	"1"	"11"	"0"	"1"	"2"	"380"	"1"	"0"	"0"	"1"	"0"	"1"	"591"	"0"	"591"	"0"
"17"	"7"	"7"	"20"	"10"	"24"	"2"	"4"	"0"	"2"	"3"	"812"	"0"	"0"	"1"	"4"	"0"	"0"	"882"	"0"	"882"	"0"
"18"	"8"	"8R"	"24"	"7"	"17"	"2"	"43"	"2"	"10"	"8"	"182"	"12"	"3"	"3"	"6"	"4"	"10"	"333"	"0"	"333"	"0"
"19"	"9"	"9"	"0"	"14"	"10"	"0"	"1"	"1"	"1"	"0"	"403"	"0"	"0"	"0"	"0"	"0"	"0"	"430"	"0"	"430"	"0"
"20"	"10"	"10"	"59"	"10"	"103"	"1"	"29"	"3"	"2"	"7"	"371"	"4"	"1"	"1"	"2"	"3"	"7"	"603"	"0"	"603"	"0"
