"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendere.d.Votes"
"1"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"3"	"1"	"57"	"15"	"3"	"1"	"2"	"1"	"4"	"2"	"126"	"1"	"0"	"4"	"4"	"4"	"2"	"12"	"4"	"1"	"1"	"146"	"390"	""	"390"	""
"4"	"2"	"116"	"2"	"10"	"0"	"0"	"1"	"2"	"5"	"169"	"3"	"6"	"11"	"0"	"3"	"0"	"15"	"1"	"1"	"0"	"22"	"367"	""	"367"	""
"5"	"3"	"64"	"4"	"49"	"3"	"2"	"2"	"5"	"6"	"2"	"5"	"5"	"53"	"9"	"9"	"5"	"16"	"34"	"14"	"13"	"243"	"543"	""	"543"	""
"6"	"4"	"0"	"0"	"20"	"3"	"0"	"0"	"11"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"11"	"6"	"1"	"2"	"439"	"498"	""	"498"	""
"7"	"5"	"7"	"2"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"36"	"4"	"1"	"4"	"35"	"13"	"1"	"2"	"304"	"415"	""	"415"	""
"8"	"6"	"8"	"6"	"86"	"2"	"2"	"2"	"27"	"3"	"1"	"2"	"6"	"4"	"0"	"6"	"3"	"26"	"4"	"6"	"4"	"225"	"423"	""	"423"	""
"9"	"7"	"2"	"1"	"19"	"1"	"0"	"0"	"11"	"1"	"0"	"1"	"1"	"3"	"2"	"7"	"6"	"27"	"2"	"1"	"3"	"301"	"389"	""	"389"	""
"10"	"8"	"3"	"0"	"5"	"0"	"0"	"0"	"2"	"5"	"3"	"1"	"0"	"2"	"1"	"1"	"1"	"3"	"0"	"0"	"2"	"600"	"629"	""	"629"	""
"11"	"9"	"270"	"21"	"19"	"6"	"4"	"2"	"6"	"9"	"5"	"5"	"2"	"9"	"7"	"2"	"12"	"22"	"25"	"13"	"7"	"177"	"623"	""	"623"	""
"12"	"10"	"10"	"0"	"35"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"5"	"2"	"5"	"330"	"396"	""	"396"	""
"13"	"11"	"26"	"2"	"8"	"5"	"3"	"0"	"9"	"40"	"10"	"5"	"9"	"200"	"10"	"15"	"12"	"39"	"14"	"6"	"4"	"48"	"465"	""	"465"	""
"14"	"12"	"50"	"4"	"19"	"2"	"1"	"31"	"94"	"6"	"6"	"5"	"6"	"20"	"7"	"3"	"10"	"9"	"7"	"8"	"31"	"50"	"369"	""	"369"	""
"15"	"13"	"11"	"0"	"8"	"0"	"1"	"0"	"0"	"36"	"6"	"4"	"1"	"25"	"2"	"3"	"11"	"16"	"20"	"11"	"20"	"232"	"407"	""	"407"	""
"16"	"14"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"273"	"1"	"1"	"1"	"122"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"1"	"407"	""	"407"	""
"17"	"Total Round 1"	"625"	"57"	"282"	"24"	"19"	"40"	"172"	"388"	"330"	"34"	"39"	"490"	"49"	"54"	"70"	"236"	"135"	"65"	"94"	"3118"	"6321"	"0"	"6321"	"0"
"18"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"19"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"20"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"21"	"15"	"76"	"2"	"6"	"5"	"1"	"240"	"4"	"3"	"3"	"2"	"10"	"25"	"0"	"0"	"3"	"5"	"0"	"1"	"30"	"27"	"443"	""	"443"	""
"22"	"16"	"64"	"0"	"0"	"0"	"0"	"7"	"0"	"1"	"0"	"2"	"1"	"389"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"470"	""	"470"	""
"23"	"17"	"29"	"4"	"2"	"3"	"2"	"1"	"1"	"38"	"4"	"6"	"5"	"158"	"5"	"3"	"6"	"35"	"6"	"4"	"2"	"28"	"342"	""	"342"	""
"24"	"18"	"60"	"9"	"7"	"1"	"2"	"0"	"1"	"45"	"1"	"1"	"1"	"54"	"2"	"0"	"2"	"50"	"8"	"7"	"3"	"79"	"333"	""	"333"	""
"25"	"19"	"50"	"72"	"4"	"1"	"4"	"1"	"3"	"71"	"2"	"3"	"1"	"115"	"6"	"1"	"4"	"5"	"5"	"6"	"1"	"92"	"447"	""	"447"	""
"26"	"20"	"214"	"10"	"8"	"0"	"1"	"0"	"1"	"8"	"1"	"2"	"2"	"66"	"5"	"1"	"0"	"5"	"19"	"11"	"3"	"47"	"404"	""	"404"	""
"27"	"21"	"43"	"3"	"9"	"2"	"1"	"0"	"2"	"29"	"4"	"1"	"2"	"124"	"1"	"4"	"3"	"13"	"12"	"21"	"16"	"211"	"501"	""	"501"	""
"28"	"22"	"17"	"22"	"10"	"0"	"1"	"0"	"2"	"9"	"0"	"1"	"0"	"3"	"0"	"1"	"3"	"13"	"6"	"9"	"2"	"291"	"390"	""	"390"	""
"29"	"23"	"25"	"336"	"15"	"0"	"0"	"2"	"1"	"2"	"2"	"2"	"0"	"0"	"1"	"0"	"15"	"16"	"3"	"6"	"3"	"86"	"515"	""	"515"	""
"30"	"24"	"11"	"667"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"687"	""	"687"	""
"31"	"25"	"32"	"78"	"11"	"1"	"0"	"0"	"3"	"19"	"2"	"2"	"2"	"18"	"3"	"3"	"6"	"9"	"26"	"9"	"12"	"377"	"613"	""	"613"	""
"32"	"26"	"14"	"3"	"60"	"10"	"4"	"0"	"21"	"29"	"3"	"10"	"1"	"50"	"15"	"2"	"8"	"5"	"10"	"30"	"12"	"150"	"437"	""	"437"	""
"33"	"27"	"219"	"9"	"2"	"1"	"0"	"1"	"2"	"56"	"15"	"3"	"0"	"88"	"2"	"0"	"2"	"11"	"7"	"5"	"4"	"18"	"445"	""	"445"	""
"34"	"28"	"129"	"11"	"103"	"8"	"2"	"3"	"4"	"40"	"5"	"8"	"7"	"6"	"4"	"6"	"10"	"16"	"2"	"1"	"11"	"85"	"461"	""	"461"	""
"35"	"Total Round 2"	"983"	"1226"	"241"	"32"	"18"	"255"	"46"	"350"	"42"	"44"	"32"	"1096"	"46"	"21"	"63"	"183"	"105"	"110"	"99"	"1496"	"6488"	"0"	"6488"	"0"
"36"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"37"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"38"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"39"	"29"	"88"	"1"	"146"	"4"	"1"	"2"	"1"	"18"	"0"	"3"	"2"	"0"	"0"	"2"	"1"	"2"	"2"	"1"	"22"	"113"	"409"	""	"409"	""
"40"	"30"	"59"	"58"	"44"	"8"	"7"	"0"	"7"	"52"	"8"	"8"	"1"	"8"	"13"	"1"	"6"	"10"	"10"	"5"	"9"	"337"	"651"	""	"651"	""
"41"	"31"	"197"	"11"	"137"	"7"	"2"	"0"	"3"	"44"	"1"	"5"	"11"	"1"	"1"	"8"	"3"	"11"	"5"	"1"	"7"	"109"	"564"	""	"564"	""
"42"	"32"	"58"	"4"	"184"	"7"	"0"	"2"	"11"	"62"	"5"	"1"	"4"	"6"	"1"	"3"	"3"	"13"	"2"	"15"	"7"	"13"	"401"	""	"401"	""
"43"	"33"	"64"	"4"	"0"	"0"	"3"	"1"	"1"	"3"	"2"	"0"	"0"	"0"	"2"	"1"	"2"	"4"	"12"	"0"	"4"	"214"	"317"	""	"317"	""
"44"	"34"	"38"	"9"	"9"	"1"	"2"	"0"	"5"	"3"	"3"	"1"	"1"	"10"	"3"	"4"	"8"	"39"	"26"	"3"	"14"	"309"	"488"	""	"488"	""
"45"	"35"	"43"	"4"	"9"	"2"	"1"	"1"	"2"	"10"	"0"	"2"	"0"	"5"	"2"	"1"	"2"	"5"	"10"	"1"	"1"	"428"	"529"	""	"529"	""
"46"	"36"	"22"	"6"	"26"	"0"	"2"	"2"	"5"	"10"	"0"	"5"	"1"	"7"	"4"	"1"	"5"	"17"	"12"	"7"	"14"	"330"	"476"	""	"476"	""
"47"	"37"	"14"	"14"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"2"	"0"	"1"	"2"	"6"	"1"	"432"	"476"	""	"476"	""
"48"	"38"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"652"	"660"	""	"660"	""
"49"	"39"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"7"	"2"	"4"	"580"	"610"	""	"610"	""
"50"	"40"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"0"	"1"	"669"	"688"	""	"688"	""
"51"	"41"	"38"	"4"	"6"	"0"	"2"	"2"	"9"	"2"	"1"	"4"	"0"	"17"	"10"	"3"	"1"	"4"	"3"	"0"	"0"	"315"	"421"	""	"421"	""
"52"	"42"	"86"	"7"	"0"	"1"	"8"	"1"	"0"	"48"	"1"	"12"	"0"	"383"	"5"	"1"	"2"	"74"	"0"	"0"	"0"	"1"	"630"	""	"630"	""
"53"	"Total Round 3"	"720"	"123"	"562"	"30"	"28"	"11"	"47"	"266"	"21"	"41"	"20"	"440"	"41"	"28"	"34"	"186"	"94"	"42"	"84"	"4502"	"7320"	"0"	"7320"	"0"
"54"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"55"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"57"	"43"	"9"	"2"	"8"	"3"	"2"	"9"	"10"	"18"	"4"	"5"	"5"	"27"	"8"	"7"	"14"	"111"	"19"	"12"	"10"	"216"	"499"	""	"499"	""
"58"	"44"	"104"	"18"	"5"	"1"	"1"	"0"	"0"	"2"	"2"	"7"	"4"	"283"	"5"	"0"	"3"	"16"	"2"	"0"	"0"	"10"	"463"	""	"463"	""
"59"	"45"	"29"	"5"	"4"	"4"	"1"	"25"	"0"	"2"	"2"	"2"	"3"	"113"	"4"	"3"	"7"	"35"	"10"	"2"	"3"	"225"	"479"	""	"479"	""
"60"	"46"	"7"	"1"	"0"	"3"	"3"	"0"	"1"	"57"	"6"	"3"	"2"	"74"	"1"	"4"	"11"	"204"	"3"	"0"	"3"	"5"	"388"	""	"388"	""
"61"	"47"	"5"	"3"	"3"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"1"	"140"	"1"	"1"	"7"	"40"	"1"	"8"	"4"	"20"	"239"	""	"239"	""
"62"	"48"	"8"	"13"	"1"	"2"	"1"	"0"	"1"	"225"	"1"	"6"	"0"	"148"	"0"	"1"	"1"	"17"	"0"	"11"	"0"	"0"	"436"	""	"436"	""
"63"	"49"	"4"	"0"	"5"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"517"	"3"	"0"	"531"	""	"531"	""
"64"	"50"	"70"	"7"	"53"	"7"	"1"	"2"	"35"	"14"	"1"	"10"	"5"	"144"	"7"	"5"	"9"	"8"	"6"	"58"	"17"	"26"	"485"	""	"485"	""
"65"	"51"	"6"	"77"	"222"	"4"	"6"	"11"	"2"	"2"	"0"	"1"	"8"	"3"	"15"	"1"	"0"	"9"	"6"	"4"	"3"	"6"	"386"	""	"386"	""
"66"	"52"	"85"	"7"	"129"	"4"	"3"	"4"	"15"	"108"	"5"	"15"	"2"	"7"	"3"	"9"	"6"	"28"	"2"	"1"	"2"	"27"	"462"	""	"462"	""
