"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"2"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"3"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"4"	"1"	"4"	"49"	"13"	"661"	"5"	"10"	"742"	""	"742"	""
"5"	"2"	"11"	"45"	"17"	"321"	"6"	"5"	"405"	""	"405"	""
"6"	"3"	"5"	"4"	"69"	"345"	"15"	"15"	"453"	""	"453"	""
"7"	"4"	"49"	"26"	"114"	"262"	"22"	"35"	"508"	""	"508"	""
"8"	"5"	"35"	"23"	"137"	"326"	"21"	"17"	"559"	""	"559"	""
"9"	"6"	"31"	"42"	"83"	"462"	"27"	"46"	"691"	""	"691"	""
"10"	"7"	"7"	"12"	"47"	"343"	"9"	"7"	"425"	""	"425"	""
"11"	"8"	"10"	"11"	"96"	"342"	"12"	"13"	"484"	""	"484"	""
"12"	"9"	"25"	"108"	"51"	"346"	"35"	"47"	"612"	""	"612"	""
"13"	"10"	"22"	"140"	"36"	"287"	"21"	"14"	"520"	""	"520"	""
"14"	"11"	"17"	"62"	"59"	"225"	"12"	"23"	"398"	""	"398"	""
"15"	"12"	"10"	"114"	"13"	"277"	"13"	"8"	"435"	""	"435"	""
"16"	"13"	"6"	"18"	"48"	"87"	"7"	"13"	"179"	""	"179"	""
"17"	"14"	"26"	"74"	"36"	"227"	"22"	"20"	"405"	""	"405"	""
"18"	"Page Total"	"258"	"728"	"819"	"4511"	"227"	"273"	"6816"	"0"	"6816"	"0"
"19"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"20"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"21"	"Serial No.of Polling Station*"	"Devendra Kumar Das"	"Rana Gangeshwar Prasad Singh"	"Ramchandra Rai"	"Ajay Kumar Bulganin"	"Ramvivek Paswan"	"Sunil Kumar Rai"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"22"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"23"	"B.F."	"258"	"728"	"819"	"4511"	"227"	"273"	"6816"	"0"	"6816"	"0"
"24"	"15"	"12"	"150"	"32"	"369"	"13"	"7"	"583"	""	"583"	""
"25"	"16"	"13"	"94"	"24"	"253"	"14"	"14"	"412"	""	"412"	""
"26"	"17"	"0"	"17"	"11"	"493"	"4"	"4"	"529"	""	"529"	""
