"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"Total.of.valid.Votes"	"X..45"	"No..of.rejected.votes"	"X..46"	"TOTAL"	"X..47"	"No..of.tendered.Votes"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"
"1"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"1"	"119"	"15"	""	"10"	""	"11"	""	"117"	""	"20"	""	""	"76"	""	""	"24"	""	""	"231"	""	""	"24"	""	""	"14"	""	"10"	"15"	""	"7"	""	"11"	""	"34"	""	"16"	""	"12"	""	"4"	""	"3"	""	""	"9"	""	"782"	""	"0"	""	"782"	""	"0"	""	""	""	""	""
"3"	"2"	"111"	"2"	""	"7"	""	"7"	""	"142"	""	"10"	""	""	"14"	""	""	"7"	""	""	"111"	""	""	"4"	""	""	"0"	""	"3"	"3"	""	"3"	""	"2"	""	"9"	""	"1"	""	"1"	""	"0"	""	"2"	""	""	"5"	""	"444"	""	"0"	""	"444"	""	"0"	""	""	""	""	""
"4"	"3"	"71"	"11"	""	"8"	""	"9"	""	"67"	""	"11"	""	""	"50"	""	""	"12"	""	""	"210"	""	""	"6"	""	""	"8"	""	"1"	"5"	""	"2"	""	"5"	""	"7"	""	"11"	""	"1"	""	"1"	""	"0"	""	""	"0"	""	"496"	""	"0"	""	"496"	""	"0"	""	""	""	""	""
"5"	"4"	"233"	"21"	""	"10"	""	"4"	""	"27"	""	"14"	""	""	"22"	""	""	"10"	""	""	"90"	""	""	"8"	""	""	"9"	""	"3"	"6"	""	"7"	""	"5"	""	"26"	""	"4"	""	"1"	""	"0"	""	"0"	""	""	"6"	""	"506"	""	"0"	""	"506"	""	"0"	""	""	""	""	""
"6"	"5"	"67"	"1"	""	"8"	""	"1"	""	"6"	""	"12"	""	""	"23"	""	""	"2"	""	""	"226"	""	""	"13"	""	""	"6"	""	"2"	"3"	""	"3"	""	"2"	""	"7"	""	"3"	""	"1"	""	"0"	""	"1"	""	""	"4"	""	"391"	""	"0"	""	"391"	""	"0"	""	""	""	""	""
"7"	"6"	"60"	"9"	""	"3"	""	"10"	""	"325"	""	"22"	""	""	"13"	""	""	"4"	""	""	"54"	""	""	"3"	""	""	"3"	""	"4"	"0"	""	"1"	""	"3"	""	"6"	""	"0"	""	"0"	""	"3"	""	"0"	""	""	"2"	""	"525"	""	"0"	""	"525"	""	"0"	""	""	""	""	""
"8"	"7"	"38"	"6"	""	"4"	""	"6"	""	"40"	""	"12"	""	""	"65"	""	""	"10"	""	""	"188"	""	""	"17"	""	""	"6"	""	"9"	"14"	""	"4"	""	"3"	""	"11"	""	"26"	""	"5"	""	"1"	""	"2"	""	""	"8"	""	"475"	""	"0"	""	"475"	""	"0"	""	""	""	""	""
"9"	"8"	"28"	"9"	""	"6"	""	"2"	""	"84"	""	"27"	""	""	"25"	""	""	"5"	""	""	"224"	""	""	"14"	""	""	"3"	""	"4"	"2"	""	"2"	""	"2"	""	"4"	""	"7"	""	"4"	""	"1"	""	"1"	""	""	"3"	""	"457"	""	"0"	""	"457"	""	"0"	""	""	""	""	""
"10"	"9"	"57"	"5"	""	"3"	""	"0"	""	"333"	""	"14"	""	""	"12"	""	""	"73"	""	""	"31"	""	""	"7"	""	""	"2"	""	"2"	"3"	""	"9"	""	"3"	""	"19"	""	"32"	""	"0"	""	"0"	""	"5"	""	""	"7"	""	"617"	""	"0"	""	"617"	""	"0"	""	""	""	""	""
"11"	"10"	"44"	"2"	""	"17"	""	"9"	""	"61"	""	"20"	""	""	"35"	""	""	"6"	""	""	"277"	""	""	"5"	""	""	"5"	""	"1"	"2"	""	"4"	""	"1"	""	"11"	""	"6"	""	"1"	""	"0"	""	"0"	""	""	"1"	""	"508"	""	"0"	""	"508"	""	"0"	""	""	""	""	""
"12"	"11"	"28"	"1"	""	"0"	""	"4"	""	"171"	""	"4"	""	""	"16"	""	""	"21"	""	""	"50"	""	""	"8"	""	""	"13"	""	"5"	"4"	""	"0"	""	"2"	""	"18"	""	"15"	""	"0"	""	"2"	""	"0"	""	""	"5"	""	"367"	""	"0"	""	"367"	""	"0"	""	""	""	""	""
"13"	"12"	"13"	"4"	""	"1"	""	"4"	""	"87"	""	"8"	""	""	"33"	""	""	"16"	""	""	"165"	""	""	"13"	""	""	"7"	""	"0"	"6"	""	"3"	""	"4"	""	"7"	""	"20"	""	"1"	""	"2"	""	"2"	""	""	"11"	""	"407"	""	"0"	""	"407"	""	"0"	""	""	""	""	""
"14"	"13"	"121"	"8"	""	"6"	""	"6"	""	"163"	""	"16"	""	""	"24"	""	""	"10"	""	""	"83"	""	""	"24"	""	""	"18"	""	"8"	"10"	""	"7"	""	"4"	""	"23"	""	"15"	""	"9"	""	"7"	""	"9"	""	""	"16"	""	"587"	""	"0"	""	"587"	""	"0"	""	""	""	""	""
"15"	"14"	"29"	"14"	""	"19"	""	"12"	""	"124"	""	"23"	""	""	"65"	""	""	"26"	""	""	"272"	""	""	"20"	""	""	"13"	""	"9"	"9"	""	"4"	""	"1"	""	"15"	""	"14"	""	"5"	""	"3"	""	"9"	""	""	"5"	""	"691"	""	"0"	""	"691"	""	"0"	""	""	""	""	""
"16"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"17"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"29"	"8"	"2"	""	"3"	""	"3"	""	"80"	""	"8"	""	""	"26"	""	""	"6"	""	""	"185"	""	""	"3"	""	""	"2"	""	"3"	"1"	""	"3"	""	"2"	""	"9"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"1"	""	"345"	""	"0"	""	"345"	""	"0"	""	""	""	""	""
"19"	"30"	"30"	"3"	""	"4"	""	"2"	""	"26"	""	"12"	""	""	"37"	""	""	"5"	""	""	"215"	""	""	"7"	""	""	"12"	""	"1"	"5"	""	"2"	""	"1"	""	"11"	""	"4"	""	"1"	""	"1"	""	"2"	""	""	"2"	""	"383"	""	"0"	""	"383"	""	"0"	""	""	""	""	""
"20"	"31"	"31"	"4"	""	"6"	""	"4"	""	"51"	""	"9"	""	""	"30"	""	""	"6"	""	""	"352"	""	""	"3"	""	""	"16"	""	"3"	"2"	""	"0"	""	"1"	""	"4"	""	"14"	""	"4"	""	"1"	""	"4"	""	""	"1"	""	"546"	""	"0"	""	"546"	""	"0"	""	""	""	""	""
"21"	"32"	"11"	"1"	""	"2"	""	"1"	""	"19"	""	"4"	""	""	"23"	""	""	"7"	""	""	"189"	""	""	"4"	""	""	"6"	""	"0"	"0"	""	"2"	""	"2"	""	"3"	""	"1"	""	"3"	""	"2"	""	"0"	""	""	"3"	""	"283"	""	"0"	""	"283"	""	"0"	""	""	""	""	""
"22"	"33"	"32"	"12"	""	"36"	""	"11"	""	"188"	""	"22"	""	""	"46"	""	""	"6"	""	""	"70"	""	""	"12"	""	""	"9"	""	"5"	"4"	""	"2"	""	"3"	""	"2"	""	"2"	""	"5"	""	"0"	""	"0"	""	""	"0"	""	"467"	""	"0"	""	"467"	""	"0"	""	""	""	""	""
"23"	"34"	"20"	"2"	""	"2"	""	"5"	""	"377"	""	"10"	""	""	"19"	""	""	"59"	""	""	"181"	""	""	"1"	""	""	"4"	""	"2"	"3"	""	"1"	""	"2"	""	"9"	""	"5"	""	"2"	""	"2"	""	"4"	""	""	"6"	""	"716"	""	"0"	""	"716"	""	"0"	""	""	""	""	""
"24"	"35"	"25"	"8"	""	"11"	""	"11"	""	"66"	""	"22"	""	""	"85"	""	""	"14"	""	""	"366"	""	""	"14"	""	""	"9"	""	"3"	"15"	""	"7"	""	"2"	""	"10"	""	"16"	""	"9"	""	"7"	""	"7"	""	""	"12"	""	"719"	""	"0"	""	"719"	""	"0"	""	""	""	""	""
"25"	"36"	"68"	"1"	""	"2"	""	"5"	""	"253"	""	"3"	""	""	"6"	""	""	"1"	""	""	"31"	""	""	"4"	""	""	"1"	""	"0"	"2"	""	"0"	""	"3"	""	"8"	""	"56"	""	"3"	""	"1"	""	"2"	""	""	"2"	""	"452"	""	"0"	""	"452"	""	"0"	""	""	""	""	""
"26"	"37"	"91"	"4"	""	"9"	""	"1"	""	"77"	""	"3"	""	""	"31"	""	""	"9"	""	""	"193"	""	""	"7"	""	""	"1"	""	"1"	"5"	""	"1"	""	"0"	""	"5"	""	"4"	""	"2"	""	"0"	""	"1"	""	""	"1"	""	"446"	""	"0"	""	"446"	""	"0"	""	""	""	""	""
"27"	"38"	"18"	"1"	""	"5"	""	"2"	""	"37"	""	"8"	""	""	"26"	""	""	"13"	""	""	"206"	""	""	"15"	""	""	"4"	""	"1"	"3"	""	"1"	""	"1"	""	"6"	""	"11"	""	"8"	""	"4"	""	"9"	""	""	"16"	""	"395"	""	"0"	""	"395"	""	"0"	""	""	""	""	""
"28"	"39"	"35"	"2"	""	"9"	""	"4"	""	"142"	""	"6"	""	""	"19"	""	""	"52"	""	""	"54"	""	""	"4"	""	""	"3"	""	"1"	"6"	""	"2"	""	"5"	""	"15"	""	"43"	""	"3"	""	"5"	""	"9"	""	""	"4"	""	"423"	""	"0"	""	"423"	""	"0"	""	""	""	""	""
"29"	"40"	"102"	"4"	""	"10"	""	"3"	""	"111"	""	"0"	""	""	"12"	""	""	"46"	""	""	"34"	""	""	"2"	""	""	"5"	""	"0"	"43"	""	"0"	""	"3"	""	"7"	""	"13"	""	"2"	""	"1"	""	"8"	""	""	"3"	""	"409"	""	"0"	""	"409"	""	"0"	""	""	""	""	""
"30"	"41"	"47"	"3"	""	"5"	""	"14"	""	"243"	""	"10"	""	""	"19"	""	""	"119"	""	""	"18"	""	""	"10"	""	""	"13"	""	"12"	"15"	""	"4"	""	"10"	""	"22"	""	"33"	""	"3"	""	"1"	""	"7"	""	""	"1"	""	"609"	""	"0"	""	"609"	""	"0"	""	""	""	""	""
"31"	"42"	"14"	"3"	""	"6"	""	"8"	""	"163"	""	"12"	""	""	"20"	""	""	"206"	""	""	"60"	""	""	"11"	""	""	"8"	""	"15"	"8"	""	"10"	""	"8"	""	"25"	""	"9"	""	"1"	""	"2"	""	"20"	""	""	"14"	""	"623"	""	"0"	""	"623"	""	"0"	""	""	""	""	""
"32"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Election to the Legislative assembly from the 144-BARSOI constituency.                  Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"(To be used both for Parliamentary and Assembly elections                                      Total No. of Electors in Assembly constituency/Segment Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"
