"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"ernku dsUnz dh Øe la[;k"	"bljkbZy jkbZu"	"ca'kef.k flag"	"eks0 cjdr vyh jkbZ"	"fctsUnz izlkn ;kno"	"eks0 dekym)hu"	"ukjk;.k eaMy"	"cklqnso eaMy"	"f'ko 'kadj flag"	"QfyUnz dqekj lkg"	"jke fdadj eaMy"	"lqjs'k dqekj vktkn"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"2"	"1"	"60"	"47"	"4"	"38"	"1"	"0"	"2"	"1"	"0"	"11"	"7"	"171"	""	"171"	""
"3"	"2"	"163"	"38"	"11"	"130"	"12"	"7"	"13"	"13"	"8"	"41"	"17"	"453"	""	"453"	""
"4"	"3"	"76"	"124"	"9"	"47"	"10"	"8"	"4"	"6"	"3"	"44"	"7"	"338"	""	"338"	""
"5"	"4"	"96"	"42"	"10"	"163"	"11"	"5"	"8"	"8"	"8"	"32"	"17"	"400"	""	"400"	""
"6"	"5"	"208"	"13"	"0"	"58"	"2"	"1"	"3"	"1"	"0"	"9"	"3"	"298"	""	"298"	""
"7"	"6"	"220"	"23"	"6"	"99"	"7"	"1"	"5"	"0"	"6"	"37"	"11"	"415"	""	"415"	""
"8"	"7"	"175"	"27"	"3"	"25"	"2"	"4"	"4"	"4"	"1"	"3"	"7"	"255"	""	"255"	""
"9"	"8"	"458"	"57"	"10"	"26"	"0"	"3"	"2"	"2"	"1"	"4"	"8"	"571"	""	"571"	""
"10"	"9"	"48"	"72"	"11"	"195"	"6"	"3"	"13"	"7"	"10"	"51"	"13"	"429"	""	"429"	""
"11"	"10"	"151"	"12"	"5"	"231"	"8"	"6"	"4"	"3"	"4"	"31"	"13"	"468"	""	"468"	""
"12"	"11"	"128"	"65"	"9"	"200"	"18"	"7"	"19"	"2"	"15"	"77"	"13"	"553"	""	"553"	""
"13"	"12"	"9"	"74"	"4"	"152"	"3"	"2"	"2"	"2"	"4"	"9"	"1"	"262"	""	"262"	""
