"X."	"vH.fFkZ.ksa.ds..i.k..esa..Mkys.x.s..oS...erksa..dh..la..k"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"ernku   dsUnz la0"	"nhukukFk jke"	"ujs'k jke"	"iw.kZeklh jke"	"NksVsyky jke"	"jEHkk nsoh"	"jkeizos'k jke"	"lqxzhe jke"	"lqjs'k jke"	"fnus'k     pUnz jke"	"jkek'kadj Hkxr"	"jkek'kh\"k cSBk"	"fo'oukFk jke"	"oS|  erksa  dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr eri=ksa     dh la[;k"
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"5"	"182"	"493"	"3"	"16"	"3"	"1"	"39"	"1"	"7"	"4"	"15"	"769"	""	"769"	""
"4"	"2"	"12"	"58"	"271"	"7"	"79"	"11"	"4"	"6"	"3"	"14"	"9"	"10"	"484"	""	"484"	""
"5"	"3"	"22"	"59"	"259"	"10"	"108"	"31"	"5"	"11"	"4"	"17"	"7"	"9"	"542"	""	"542"	""
"6"	"4"	"3"	"35"	"142"	"2"	"85"	"0"	"1"	"15"	"1"	"3"	"4"	"3"	"294"	""	"294"	""
"7"	"5"	"23"	"135"	"363"	"7"	"14"	"13"	"8"	"8"	"5"	"7"	"9"	"20"	"612"	""	"612"	""
"8"	"6"	"12"	"223"	"241"	"6"	"17"	"8"	"2"	"12"	"3"	"6"	"8"	"11"	"549"	""	"549"	""
"9"	"7"	"18"	"67"	"338"	"13"	"11"	"13"	"10"	"24"	"10"	"14"	"12"	"46"	"576"	""	"576"	""
"10"	"8"	"6"	"135"	"233"	"8"	"42"	"11"	"10"	"6"	"10"	"12"	"11"	"15"	"499"	""	"499"	""
"11"	"9"	"27"	"114"	"162"	"5"	"71"	"12"	"4"	"9"	"2"	"4"	"6"	"3"	"419"	""	"419"	""
"12"	"10"	"36"	"147"	"218"	"17"	"44"	"14"	"7"	"28"	"5"	"4"	"7"	"8"	"535"	""	"535"	""
